ShopId	CurrencyType	ServerRunDayNeeded	MapType
1	1	0	city|village
2	1	0	city|village
3	1	0	city|village
4	1	0	city|village
5	1	0	city|village
6	1	0	city|village
7	1	0	city|village
8	1	0	city|village
9	1	0	city|village
10	1	0	city|village
11	1	0	city|village
12	1	0	city|village
13	1	0	city|village
14	1	0	city|village
15	1	0	city|village
16	1	0	city|village
17	1	0	city|village
18	1	0	city|village
19	1	0	city|village
20	1	0	city|village
21	1	0	city|village
22	1	0	city|village
23	1	0	city|village
24	1	0	city|village
25	1	0	city|village
26	1	0	city|village
27	1	0	city|village
28	1	0	city|village
29	1	0	city|village
30	1	0	city|village
31	1	0	city|village
32	1	0	city|village
33	1	0	city|village
34	1	0	city|village
35	1	0	city|village
36	1	0	city|village
37	1	0	city|village
38	1	0	city|village
39	1	0	city|village
40	1	0	city|village
41	1	0	city|village
42	1	0	city|village
43	1	0	city|village
44	1	0	city|village
45	1	0	city|village
46	1	0	city|village
47	1	0	city|village
48	1	0	city|village
49	1	0	city|village
50	1	0	city|village
51	1	0	city|village
52	1	0	city|village
53	1	0	city|village
54	1	0	city|village
55	1	0	city|village
56	1	0	city|village
57	1	0	city|village
58	1	0	city|village
59	1	0	city|village
60	1	0	city|village
61	1	0	city|village
62	1	0	city|village
63	1	0	city|village
64	1	0	city|village
65	1	0	city|village
66	1	0	city|village
67	1	0	city|village
68	1	0	city|village
69	1	0	city|village
70	1	0	city|village
71	1	0	city|village
72	1	0	city|village
73	1	0	city|village
74	1	0	city|village
75	1	0	city|village
76	1	0	city|village
77	1	0	city|village
78	1	0	city|village
79	1	0	city|village
80	1	0	city|village
81	1	0	city|village
82	1	0	city|village
83	1	0	city|village
84	1	0	city|village
85	1	0	city|village
86	1	0	city|village
87	1	0	city|village
88	1	0	city|village
89	1	0	city|village
90	1	0	city|village
91	1	0	city|village
92	1	0	city|village
93	1	0	city|village
94	1	0	city|village
95	1	0	city|village
96	1	0	city|village
97	1	0	city|village
98	1	0	city|village
99	1	0	city|village
100	1	0	city|village
101	1	0	city|village
102	1	0	city|village
103	1	0	city|village
104	1	0	city|village
105	1	0	city|village
106	1	0	city|village
107	1	0	city|village
108	1	0	city|village
109	1	0	city|village
110	1	0	city|village
111	1	0	city|village
112	1	0	city|village
113	1	0	city|village
114	1	0	city|village
115	1	0	city|village
116	1	0	city|village
117	1	0	city|village
118	1	0	city|village
119	1	0	city|village
120	1	0	city|village
121	1	0	city|village
122	1	0	city|village
123	1	0	city|village
124	1	0	city|village
125	1	0	city|village
126	1	0	city|village
127	1	0	city|village
128	1	0	city|village
129	10	0	city|village
130	1	0	city|village
131	1	0	city|village
132	1	0	city|village
133	1	0	city|village
134	1	0	city|village
135	1	0	city|village
136	1	0	city|village
137	1	0	city|village
138	1	0	city|village
139	1	0	city|village
140	1	0	city|village
141	1	0	city|village
142	1	0	city|village
143	1	0	city|village
144	1	0	city|village
145	1	0	city|village
146	1	0	city|village
147	1	0	city|village
148	1	0	city|village
149	1	0	city|village
150	1	0	city|village
151	1	0	city|village
152	1	0	city|village
153	1	0	city|village
154	1	0	city|village
155	1	0	city|village
156	1	0	city|village
157	1	0	city|village
158	1	0	city|village
159	1	0	city|village
160	1	0	city|village
161	1	0	city|village
162	1	0	city|village
163	1	0	city|village
164	1	0	city|village
165	1	0	city|village
166	1	0	city|village
167	1	0	city|village
