Kind	Name	FactionId	RouteId	Skill10	Skill20	Skill30	Skill40	Skill50	Skill60	Skill70	Skill80	Skill90	Skill100	Skill110	LeftSkill	RightSkill
等级段(69,89,109)	名称	门派Id	路线Id	10级技能（数值20|4 表示 技能等级20 4表示技能快捷键为4）	20级技能	30级技能	40级技能	50级技能	60级技能	70级技能	80级技能	90级技能	100级技能	110级技能	左快捷键（数值50表示左快捷键放置对应的门派50级技能 填0表示不放置 右快捷键同理）	右快捷键
89	刀少林	1	1	20|4	10	10	20|6	20|3	10	20|5	10	0	0	0	50	-1
89	棍少林	1	2	20|4	10	10|5	20|6	20|3	10	20	10	0	0	0	50	-1
89	枪天王	2	1	20|4	10	10|6	20	20|3	10	20|5	10	0	0	0	50	-1
89	锤天王	2	2	20|4	10	10|6	20	20|3	10	20|5	10	0	0	0	50	-1
89	陷阱唐门	3	1	20|4	10	10|6	20	20|3	10	20|5	10	0	0	0	50	-1
89	袖箭唐门	3	2	20|4	10	10|5	20|7	20|3	10|6	20	10	0	0	0	50	-1
89	刀五毒	4	1	20|4	10	10|6	20	20|3	10|5	20|7	10	0	0	0	50	-1
89	掌五毒	4	2	20|4	10	10	20	20|3	10	20|5	10	0	0	0	50	-1
89	掌峨嵋	5	1	20|4	10	10	20	20|3	10	20	10	0	0	0	50	-1
89	辅助峨嵋	5	2	20|3	10	10|4	20	20|7	10|5	20|6	10	0	0	0	10	-1
89	剑翠烟	6	1	20|4	10	10	20|5	20|3	10	20	10	0	0	0	50	-1
89	刀翠烟	6	2	20|4	10	10|6	20|5	20|3	10	20	10	0	0	0	50	-1
89	掌丐帮	7	1	20|4	10	10	20|5	20|3	10|6	20	10	0	0	0	50	-1
89	棍丐帮	7	2	20|4	10	10	20|6	20|3	10|5	20	10	0	0	0	50	-1
89	战天忍	8	1	20|4	10	10	20	20|3	10	20|5	10	0	0	0	50	-1
89	魔天忍	8	2	20|4	10	10|5	20	20|3	10|7	20|6	10	0	0	0	50	-1
89	气武当	9	1	20|4	10	10|6	20	20|3	10|5	20|7	10	0	0	0	50	-1
89	剑武当	9	2	20|4	10	10|5	20	20|3	10	20|6	10	0	0	0	50	-1
89	刀昆仑	10	1	20|4	10	10	20|6	20|3	10|5	20|7	10	0	0	0	50	-1
89	剑昆仑	10	2	20|4	10	10	20|6	20|3	10|5	20|7	10	0	0	0	50	-1
89	锤明教	11	1	20|4	10	10	20|5	20|3	10|6	20	10	0	0	0	50	-1
89	剑明教	11	2	20|4	10	10	20	20|3	10|5	20	10	0	0	0	50	-1
89	指段氏	12	1	20|4	10	10|5	20|6	20|3	10	20	10	0	0	0	50	-1
89	气段氏	12	2	20|4	10	10|5	20|6	20|3	10	20	10	0	0	0	50	-1
110	刀少林	1	1	1|5	10	10	20|7	1|4	10	17|6	20	20|3	10	0	90	-1
110	棍少林	1	2	1|5	10	10|6	20|7	1|4	7	20	20	20|3	10	0	90	-1
110	枪天王	2	1	1|5	10	10|7	17	1|4	10	20|6	20	20|3	10	0	90	-1
110	锤天王	2	2	1|5	10	10|7	17	1|4	10	20|6	20	20|3	10	0	90	-1
110	陷阱唐门	3	1	20|5	10	10|7	0	20|4	0	9|6	20	20|3	10	0	90	-1
110	袖箭唐门	3	2	1|5	10	10|6	20|7	1|4	10|8	20	17	20|3	10	0	90	-1
110	刀五毒	4	1	1|5	10	10|7	20	1|4	10|6	20|8	17	20|3	10	0	90	-1
110	掌五毒	4	2	1|5	10	10	18	20|4	10	0	20	20|3	10	0	90	-1
110	掌峨嵋	5	1	1|5	10	10	20	1|4	10	17	20	20|3	10	0	90	-1
110	辅助峨嵋	5	2	20|3	10	10|4	20	20|6	0	9|5	0	20	10	0	10	-1
110	剑翠烟	6	1	1|5	10	10	17|6	1|4	10	20	20	20|3	10	0	90	-1
110	刀翠烟	6	2	17|5	10	10|6	20|7	1|4	10	20	1	20|3	10	0	90	-1
110	掌丐帮	7	1	1|5	10	10	1|6	17|4	10|7	20	20	20|3	10	0	90	-1
110	棍丐帮	7	2	1|5	10	10	17|6	1|4	10|7	20	20	20|3	10	0	90	-1
110	战天忍	8	1	1|5	10	0	20	8|4	10|6	20|7	20	20|3	10	0	90	-1
110	魔天忍	8	2	1|5	10	10|6	20	8|4	10|7	10|8	20	20|3	10	0	90	-1
110	气武当	9	1	1|5	10	7|7	20	1|4	10|6	20|8	20	20|3	10	0	90	-1
110	剑武当	9	2	1|5	10	7|6	20	1|4	10	20|7	20	20|3	10	0	90	-1
110	刀昆仑	10	1	1|5	10	10	20|7	1|4	10|6	20|8	17	20|3	10	0	90	-1
110	剑昆仑	10	2	1|5	10	10	16|7	20|4	1|6	20|8	11	20|3	10	0	90	-1
110	锤明教	11	1	1|5	10	1|6	20	7|4	10|7	20	20	20|3	10	0	90	-1
110	剑明教	11	2	1|5	10	10	18	20|4	10|6	0	20	20|3	10	0	90	-1
110	指段氏	12	1	1|5	10	10|6	20|7	1|4	10	17	20	20|3	10	0	90	-1
110	气段氏	12	2	1|5	10	10|6	8|7	20|4	0	20	20	20|3	10	0	90	-1
119	刀少林	1	1	0	10	10	20|9	0	10	20|8	20	20|2	10	10|3	90	110
119	棍少林	1	2	0	10	10|3	20|9	0	10	20	20	20|2	10	10|5	90	110
119	枪天王	2	1	0	10	10|3	20	0	10	20|8	20	20|2	10	10|5	90	30
119	锤天王	2	2	0	10	10|3	20	0	10	20|8	20	20|2	10	10	90	30
119	陷阱唐门	3	1	20|2	10	10	0	1	10|5	20|5	20	20|2	10	10	50	30
119	袖箭唐门	3	2	0	10	10	20|9	0	10|3	20	20	20|2	10	10	90	110
119	刀五毒	4	1	0	10	10|9	20	0	10|7	20|5	20	20|2	10	10|3	90	110
119	掌五毒	4	2	0	10	10	20	0	10	20|5	20	20|2	10	10|3	90	110
119	掌峨嵋	5	1	0	10	10|3	20|9	0	10	20	20	20|2	10	10|8	90	90
119	辅助峨嵋	5	2	0	1	10|3	20	20|9	0	20	20	20	10	10|2	110	50
119	剑翠烟	6	1	0	10	10	20|8	0	10	20|9	20	20|2	10	10|5	90	110
119	刀翠烟	6	2	0	10	10|3	20|8	0	10	20	20	20|2	10	10	90	110
119	掌丐帮	7	1	0	10	10	20|8	7|2	10|5	20	20	20|3	10	10	90	60
119	棍丐帮	7	2	0	10	10	20|8	0	10|3	20	20	20	10	10|2	90	110
119	战天忍	8	1	0	10	10|7	20	0	10	20|3	20	20|2	10	10|5	90	30
119	魔天忍	8	2	1|4	10	10|5	20	0	10|5	20|3	20	20|2	10	10	90	70
119	气武当	9	1	0	10	6|8	20	0	10|3	20|9	20	20|2	10	10|5	90	90
119	剑武当	9	2	0	10	4|8	20	0	10	20|9	20	20|2	10	10	90	-1
119	刀昆仑	10	1	0	10	10	20|8	0	10|7	20|8	20	20|2	10	10|9	90	110
119	剑昆仑	10	2	1	10	10	1|8	20|2	10|5	20|8	20	20|3	10	10|9	10	50
119	锤明教	11	1	0	10	1|3	20	20|5	10|9	11	20	20|2	10	10	90	50
119	剑明教	11	2	1	10	10	20	1|2	10|5	20	20	20|3	10	10|5	10	70
119	指段氏	12	1	0	10	10	20|3	0	10	20	20	20|2	10	10|5	90	30
119	气段氏	12	2	20|7	10	10|9	1|8	15|2	0	20	20	20|3	10	6|5	90	110
