TASK_GROUP	TASK_ID_FIRST	TASK_ID_LAST	TASK_NAME	TASK_OVERDATE	SYNC_FLAG	CLIENT_FLAG	TASK_DESCRIBE
分组ID（ID占用不连续请空行）	开始ID	结束ID	任务名称	过期年月日(20091010)	0：不同步，1：同步到客户端	0:不可；1:客户端可决定	任务描述
0			兼容旧脚本				
0	2389	2389	江湖威望保存		0	0	
0	2341	2341	帮会贡献度		1	0	
0	2342	2342	玩家领取周贡献度奖励的时间		1	0	
0	2042	2042	百炼丹道具的使用次数		0	0	
0	2043	2043	最近一次申请关闭帐号锁的时间(废除)		1	0	
0	2046	2046	被抓进桃源天牢的时间				
0	2047	2047	在桃源天牢呆多久				
0	2080	2080	技能随机种子		1	0	
0	3000	3000	查BUG用				
1			*危险地带，别用也别删*		0	0	
2	1	1	角色洗点标志		1	0	
3	1	21	快捷栏纪录(第21号按位从低到高每3位标志着对应快捷方式的类型)		1	1	
4	1	13	技能快捷栏纪录(每4位对应一项记录 ) 高位用来存当前显示技能		1	1	
5			离线托管		0	0	
5	1	4	离线托管记录白驹丸时间		1	0	
5	18	18	某天已使用的离线托管时间		1		
5	23	23	给合服玩家补偿离线托管时间之后是否再次领取补偿的标记		0	0	
5	24	24	领取合服奖励的时间		0	0	
6	1	100	门派任务链（备份）		1	0	
6	101	101	已通过老包领取的威望数		1	0	
7			转门派、门派多修相关		1		
8			门派多修备份数据-门派1		1	0	
9			门派多修备份数据-门派2		1	0	
10			门派多修备份数据-门派3		1	0	
11			门派多修备份数据-门派4		1	0	
12			门派多修备份数据-门派5		1	0	
13			门派多修备份数据-门派6		1	0	
14			门派多修备份数据-门派7		1	0	
15			门派多修备份数据-门派8		1	0	
16			门派多修备份数据-门派9		1	0	
17			门派多修备份数据-门派10		1	0	
18			门派多修备份数据-门派11		1	0	
19			门派多修备份数据-门派12		1	0	
20			门派多修备份数据-门派13		1	0	
31			门派多修备份数据-五行1		1	0	
32			门派多修备份数据-五行2		1	0	
33			门派多修备份数据-五行3		1	0	
34			门派多修备份数据-五行4		1	0	
35			门派多修备份数据-五行5		1	0	
1000			任务引擎任务完成标记				
1001			任务引擎-任务1				
1002			任务引擎-任务2				
1003			任务引擎-任务3				
1004			任务引擎-任务4				
1005			任务引擎-任务5				
1006			任务引擎-任务6				
1007			任务引擎-任务7				
1008			任务引擎-任务8				
1009			任务引擎-任务9				
1010			任务引擎-任务10				
1011			任务引擎-任务11				
1012			任务引擎-任务12				
1013			任务引擎-任务13				
1014			任务引擎-任务14				
1015			任务引擎-任务15				
1016			任务引擎-任务16				
1017			任务引擎-任务17				
1018			任务引擎-任务18				
1019			任务引擎-任务19				
1020			任务引擎-任务20				
1021	1	1	使用神秘家书的个数		1		
1021	2	2	是否经过陈碧娘的指导		1		
1021	3	3	是否做过门派任务		1		
1021	4	4	置值为1则表示已经完成了十大门派掌门处的教育任务，可以继续做新手村教育任务了		1		
1021	5	5	置值为1则表示教育任务身世之谜的子任务奇珍之谜已完成，可以接进入3条主线的教育任务了		1		
1021	6	6	新手第一次进入游戏会给他一个任务		1		
1021	7	7	陈璧娘的门派路线推荐		1		
1021	8	8	是否做了教育任务结束推荐三个路线的选择		1		
1022	1	1	地牢		1		
1022	2	2	裴翼飞房间		1		
1022	3	3	裘止水房间		1		
1022	4	4	商人头领房间		1		
1022	5	5	神秘小径		1		
1022	6	6	刑天岭		1		
1022	7	7	主营房		1		
1022	8	8	船舱2层		1		
1022	9	9	船舱3层		1		
1022	10	10	结绳码头船夫传送		1		
1022	11	11	天王to丐帮		1		
1022	12	12	丐帮接到主线		1		
1022	13	13	镜月岩传送		1		
1022	14	14	白山石场		1		
1022	15	15	猛虎巷		1		
1022	16	16	藏云轩		1		
1022	17	17	滴水洞		1		
1022	18	18	猴岛		1		
1022	19	19	柳鬼		1		
1022	20	20	听涛阁		1		
1022	21	21	外冢		1		
1022	22	22	鹰隼角		1		
1022	23	23	丐帮to五毒		1		
1022	24	24	五毒男女主线分支		1		
1022	25	25	群雄宴室内		1		
1022	26	26	鱼藏锋房间		1		
1022	27	27	殷方		1		
1022	28	28	殷童		1		
1022	29	29	勿归谷		1		
1022	30	30	甘露谷		1		
1022	31	31	定陶岭		1		
1022	32	32	女巫首领		1		
1022	33	33	葛霞岭		1		
1022	34	34	闭月山塘		1		
1022	35	35	行在内营		1		
1022	36	36	慈云庵		1		
1022	37	37	仇雪卧室		1		
1022	38	38	见雪亭		1		
1022	39	39	吴曦传送		1		
1022	40	40	后山小径		1		
1022	41	41	峨嵋to唐门		1		
1022	42	42	唐门接到主线		1		
1022	43	43	西厢		1		
1022	44	44	正厅		1		
1022	45	45	拙者居		1		
1022	46	46	布衣阁		1		
1022	47	47	见龙洞		1		
1022	48	48	猎场		1		
1022	49	49	唐门to翠烟门		1		
1022	50	50	翠烟门接到主线		1		
1022	51	51	春梅雅筑		1		
1022	52	52	春梅雅筑后宅		1		
1022	53	53	馆驿		1		
1022	54	54	馆驿后院		1		
1022	55	55	品荷塘		1		
1022	56	56	下层阵法		1		
1022	57	57	飘萍剑客		1		
1022	58	58	耶律仇		1		
1022	59	59	昆仑to武当		1		
1022	60	60	武当派接到主线		1		
1022	61	61	解剑池		1		
1022	62	62	青虚真室		1		
1022	63	63	陶永昌居所		1		
1022	64	64	魏长风居所		1		
1022	65	65	云麓水居		1		
1022	66	66	王重阳		1		
1022	67	67	武当to少林		1		
1022	68	68	少林派接到主线		1		
1022	69	69	回风角草堂		1		
1022	70	70	金刚岭		1		
1022	71	71	澄惠粥铺		1		
1022	72	72	少林to天忍		1		
1022	73	73	天忍教接到主线		1		
1022	74	74	兀萨居所		1		
1022	75	75	天刑殿		1		
1022	76	76	鱼藏锋传送		1		
1022	77	77	姬铸传送问心		1		
1022	78	78	钟灵秀传送玄月		1		
1022	79	79	石轩辕传送		1		
1022	80	80	守门童子传送蛇洞		1		
1022	81	81	石碑传送1		1		
1022	82	82	石碑传送2		1		
1022	83	83	石碑传送3		1		
1022	84	84	区域任务限制		1		
1022	85	85	天王LC任务		1		
1022	86	86	香螺花		1		
1022	87	87	天王弟子的委托		1		
1022	88	88	鳄鱼之灾		1		
1022	89	89	如意的嫁妆		1		
1022	90	90	行商护卫		1		
1022	91	91	峨嵋LC任务		1		
1022	92	92	三万只恶猿		1		
1022	93	93	唐门LC任务		1		
1022	94	94	物是人非		1		
1022	95	95	皮甲衣		1		
1022	96	96	虎穴迷踪		1		
1022	97	97	橡实		1		
1022	98	98	夺回法器		1		
1022	99	99	共抗官军		1		
1022	100	100	螳螂拳师		1		
1022	101	101	影社英灵		1		
1022	102	102	机关兽骨		1		
1022	103	103	惩治囚犯		1		
1022	104	104	草船借箭		1		
1022	105	105	无辜山民		1		
