DATE	MAX_LEVEL
1	100
2	101
3	101
4	102
5	102
6	103
7	103
8	104
9	104
10	105
11	105
12	106
13	106
14	107
15	107
16	108
17	108
18	109
19	109
20	110
21	110
22	111
23	111
24	111
25	112
26	112
27	112
28	113
29	113
30	113
31	114
32	114
33	114
34	115
35	115
36	115
37	116
38	116
39	116
40	117
41	117
42	117
43	118
44	118
45	118
46	119
47	119
48	119
49	120
50	120
51	120
52	121
53	121
54	121
55	122
56	122
57	122
58	123
59	123
60	123
61	124
62	124
63	124
64	125
65	125
66	125
67	126
68	126
69	126
70	127
71	127
72	127
73	128
74	128
75	128
76	129
77	129
78	129
79	130
80	130
81	130
82	130
83	131
84	131
85	131
86	131
87	132
88	132
89	132
90	132
91	133
92	133
93	133
94	133
95	134
96	134
97	134
98	134
99	135
100	135
101	135
102	135
103	136
104	136
105	136
106	136
107	137
108	137
109	137
110	137
111	138
112	138
113	138
114	138
115	139
116	139
117	139
118	139
119	140
120	140
121	140
122	140
123	141
124	141
125	141
126	141
127	142
128	142
129	142
130	142
131	143
132	143
133	143
134	143
135	144
136	144
137	144
138	144
139	145
140	145
141	145
142	145
143	146
144	146
145	146
146	146
147	147
148	147
149	147
150	147
151	148
152	148
153	148
154	148
155	149
156	149
157	149
158	149
159	150
160	150
