nMapId	TRAPX	TRAPY
27	47584	102368
27	47360	102592
27	48064	103136
27	48224	102912
27	48960	100608
27	48768	103488
27	49024	105408
27	49088	105152
27	49280	100544
27	49376	100960
27	49632	103168
27	49280	104160
27	49248	104544
27	50112	100096
27	50048	106432
27	50336	102080
27	50624	102336
27	50272	105216
27	50432	105824
27	50304	106176
27	50272	106688
27	50496	106688
27	50976	99776
27	50912	102208
27	51072	103936
27	51264	99968
27	51296	101248
27	51360	104096
27	51328	106528
27	51648	106688
27	52064	100352
27	51904	108384
27	52384	101184
27	52384	107424
27	52352	108800
27	52672	109184
27	53088	100288
27	52800	101440
27	53056	106880
27	53280	100544
27	53408	100416
27	53248	101760
27	53568	102720
27	53536	104032
27	53376	104608
27	54112	103040
27	53920	102560
27	54016	105312
27	53952	105920
27	54176	105568
27	53888	105664
27	54368	103136
27	54656	104544
27	54944	104224
27	55104	104448
27	48896	103712
27	50080	102176
27	51168	104160
27	51488	103008
27	52000	102144
27	51744	103808
27	52640	101184
27	52576	103168
27	53344	104256
27	54016	102752
24	49568	111008
24	49792	111104
24	50208	111104
24	50624	110784
24	50432	111680
24	51072	110272
24	51168	112352
24	50816	112064
24	51168	112832
24	51552	113120
24	51424	112640
24	51936	109376
24	52000	113184
24	51936	113568
24	51776	112896
24	52448	107872
24	52288	108896
24	52704	114176
24	52256	113856
24	52896	108000
24	53216	114336
24	53216	114720
24	53472	107776
24	53536	108832
24	53664	114944
24	53920	106080
24	54144	115360
24	54464	106208
24	54432	107744
24	54656	115712
24	55168	107424
24	54784	107584
24	55232	114880
24	54880	116480
24	55552	105824
24	55520	107520
24	55424	107744
24	55328	107648
24	55328	116448
24	56128	108832
24	55904	117440
24	56544	109088
24	56992	105792
24	57152	115200
24	57248	118464
24	57376	105600
24	57504	108256
24	57728	108448
24	57824	113120
24	57600	115264
24	57824	117760
24	58016	108448
24	58208	112000
24	58208	117440
24	58528	108800
24	58848	108736
24	58688	112416
24	58560	117312
24	59168	108480
24	59200	108992
24	58976	117760
24	59456	109440
24	59872	109472
24	59712	117664
24	59392	118240
24	59712	118272
24	60160	109952
24	60032	113568
24	60256	117632
24	59936	117888
24	60576	109184
24	60704	110240
24	60640	110784
24	60864	114016
24	60544	117376
24	61216	107456
24	61312	108000
24	61024	108672
24	60928	110720
24	61280	111744
24	61280	114528
24	61216	116544
24	61696	107808
24	61536	107616
24	61728	112256
24	61696	115104
24	61888	115808
24	61504	116032
24	62208	112576
24	62336	114304
24	62848	113248
24	62560	113088
24	62592	114208
24	63264	113600
24	63776	112896
24	64160	112448
24	64768	112064
24	64512	112160
24	65216	111360
24	54560	112672
24	56064	113248
24	56320	112032
24	56832	111008
24	57280	115008
24	57632	111776
24	57408	113472
24	58752	112320
24	59712	109632
24	59744	118080
24	60768	110752
24	61920	115456
