POSX	POSY
1629	3951
1623	3961
1616	3974	
1607	3985
1601	3991
1592	4000
1590	4007
1596	4018
1603	4025
1617	4038
1629	4053
1643	4065
1654	4075
1659	4077
1668	4069
1678	4057
1689	4048
1701	4037
1711	4025
1716	4020
1705	4008
1694	3996
1681	3984
1668	3971
1656	3957
1648	3948
1648	3932
1664	3929
1675	3916
1686	3903
1696	3893
1704	3881
1714	3872
1704	3862
1692	3850
1678	3837
1666	3825
1652	3810
1639	3798
1631	3803
1624	3818
1611	3832
1599	3844
1588	3855
1578	3863
1578	3874
1588	3876
1595	3889
1603	3900
1615	3913
1628	3928
1629	3951
