ID	Picture	Des
1	\image\effect\other\tanhao_map.spr	主线小地图叹号
2	\image\effect\other\wenhao_map.spr	主线小地图问号
3	\image\effect\other\tanhao_mapII.spr	支线小地图叹号
4	\image\effect\other\tanhao_mapII.spr	支线小地图问号
5	\image\ui\001a\battle\map_icon\attack.spr	攻击
6	\image\ui\001a\battle\map_icon\dead.spr	死亡
7	\image\ui\001a\battle\map_icon\flag_song.spr	宋方战旗
8	\image\ui\001a\battle\map_icon\flag_jin.spr	金方战旗
9	\image\ui\001a\battle\map_icon\normal.spr	普通点
10	\image\ui\001a\mail\training.spr	师徒邮件底图
11	\image\ui\001a\battle\map_icon\flag_neutral.spr	 中立战旗
12	\image\effect\other\kuafusongjin_blue.spr	跨服宋金__蓝点
13	\image\ui\002a\chariot\mapicon_jianta1.spr	箭塔1
14	\image\ui\002a\chariot\mapicon_longmai.spr	龙脉
15	\image\ui\002a\chariot\mapicon_paota1.spr	炮塔
16	\image\ui\002a\chariot\mapicon_zhanche1.spr	战车1
17	\image\ui\002a\chariot\mapicon_jianta3.spr	箭塔3
18	\image\ui\002a\chariot\mapicon_zhanche3.spr	战车3
