Level	NeedExp	BaseExpPerHour	BaseExpPerMin	LevelValue
1	100	1200	20	0
2	100	1200	20	0
3	100	1200	20	0
4	100	1200	20	0
5	100	1200	20	0
6	100	1200	20	0
7	100	1200	20	0
8	100	1200	20	0
9	100	1200	20	0
10	200	2400	40	0
11	200	2400	40	0
12	200	2400	40	0
13	200	2400	40	0
14	200	2400	40	0
15	200	2400	40	0
16	200	2400	40	0
17	200	2400	40	0
18	200	2400	40	0
19	200	2400	40	0
20	300	3600	60	0
21	300	3600	60	0
22	300	3600	60	0
23	300	3600	60	0
24	300	3600	60	0
25	300	3600	60	0
26	300	3600	60	0
27	300	3600	60	0
28	300	3600	60	0
29	300	3600	60	0
30	400	4800	80	0
31	400	4800	80	0
32	400	4800	80	0
33	400	4800	80	0
34	400	4800	80	0
35	400	4800	80	0
36	400	4800	80	0
37	400	4800	80	0
38	400	4800	80	0
39	400	4800	80	0
40	500	6000	100	0
41	500	6000	100	0
42	500	6000	100	0
43	500	6000	100	0
44	500	6000	100	0
45	500	6000	100	0
46	500	6000	100	0
47	500	6000	100	0
48	500	6000	100	0
49	500	6000	100	0
50	600	7200	120	0
51	600	7200	120	0
52	600	7200	120	0
53	600	7200	120	0
54	600	7200	120	0
55	600	7200	120	0
56	600	7200	120	0
57	600	7200	120	0
58	600	7200	120	0
59	600	7200	120	0
60	700	8400	140	0
61	700	8400	140	0
62	700	8400	140	0
63	700	8400	140	0
64	700	8400	140	0
65	700	8400	140	0
66	700	8400	140	0
67	700	8400	140	0
68	700	8400	140	0
69	700	8400	140	0
70	800	9600	160	0
71	800	9600	160	0
72	800	9600	160	0
73	800	9600	160	0
74	800	9600	160	0
75	800	9600	160	0
76	800	9600	160	0
77	800	9600	160	0
78	800	9600	160	0
79	800	9600	160	0
80	900	10800	180	0
81	900	10800	180	0
82	900	10800	180	0
83	900	10800	180	0
84	900	10800	180	0
85	900	10800	180	0
86	900	10800	180	0
87	900	10800	180	0
88	900	10800	180	0
89	900	10800	180	0
90	1000	12000	200	0
91	1000	12000	200	0
92	1000	12000	200	0
93	1000	12000	200	0
94	1000	12000	200	0
95	1000	12000	200	0
96	1000	12000	200	0
97	1000	12000	200	0
98	1000	12000	200	0
99	1000	12000	200	0
100	1100	13200	220	0
101	1100	13200	220	0
102	1100	13200	220	0
103	1100	13200	220	0
104	1100	13200	220	0
105	1100	13200	220	0
106	1100	13200	220	0
107	1100	13200	220	0
108	1100	13200	220	0
109	1100	13200	220	0
110	1200	14400	240	0
111	1200	14400	240	0
112	1200	14400	240	0
113	1200	14400	240	0
114	1200	14400	240	0
115	1200	14400	240	0
116	1200	14400	240	0
117	1200	14400	240	0
118	1200	14400	240	0
119	1200	14400	240	0
120	0	0	0	0
