AttribId	Desc	TipText	TipDesc	MaxValue	Weight	StarLevel1Value	StarLevel2Value	StarLevel3Value	StarLevel4Value	StarLevel5Value	StarLevel6Value	StarLevel7Value	StarLevel8Value	StarLevel9Value	StarLevel10Value	StarLevel11Value	StarLevel12Value	StarLevel13Value	StarLevel14Value	StarLevel15Value	StarLevel16Value	StarLevel17Value	StarLevel18Value	StarLevel19Value	StarLevel20Value	StarLevel1Growth	StarLevel2Growth	StarLevel3Growth	StarLevel4Growth	StarLevel5Growth	StarLevel6Growth	StarLevel7Growth	StarLevel8Growth	StarLevel9Growth	StarLevel10Growth	StarLevel11Growth	StarLevel12Growth	StarLevel13Growth	StarLevel14Growth	StarLevel15Growth	StarLevel16Growth	StarLevel17Growth	StarLevel18Growth	StarLevel19Growth	StarLevel20Growth
1	lifemax_p	Diên Dương	Tăng sinh lực tối đa	27	1	5000	14000	30200	59360	111848	206326.4	376387.52	682497.536	1233495.565	2225292.017	4010525.63	7223946.134	13008103.04	23419585.47	42160253.85	75893456.94	136613222.5	245908800.5	442640840.8	796758513.5	0.054	0.108	0.162	0.216	0.27	0.324	0.378	0.432	0.486	0.54	0.594	0.648	0.702	0.756	0.81	0.864	0.918	0.972	1.026	1.08
2	manamax_p	Hoàng Quang	Tăng nội lực tối đa	40	1	5000	14000	30200	59360	111848	206326.4	376387.52	682497.536	1233495.565	2225292.017	4010525.63	7223946.134	13008103.04	23419585.47	42160253.85	75893456.94	136613222.5	245908800.5	442640840.8	796758513.5	0.08	0.16	0.24	0.32	0.4	0.48	0.56	0.64	0.72	0.8	0.88	0.96	1.04	1.12	1.2	1.28	1.36	1.44	1.52	1.6
3	fastlifereplenish_v	Cường thân	Tăng tốc độ hồi sinh lực	188	1	5000	14000	30200	59360	111848	206326.4	376387.52	682497.536	1233495.565	2225292.017	4010525.63	7223946.134	13008103.04	23419585.47	42160253.85	75893456.94	136613222.5	245908800.5	442640840.8	796758513.5	0.376	0.752	1.128	1.504	1.88	2.256	2.632	3.008	3.384	3.76	4.136	4.512	4.888	5.264	5.64	6.016	6.392	6.768	7.144	7.52
4	fastmanareplenish_v	Quy Chân	Tăng tốc độ hồi nội lực	281	1	5000	14000	30200	59360	111848	206326.4	376387.52	682497.536	1233495.565	2225292.017	4010525.63	7223946.134	13008103.04	23419585.47	42160253.85	75893456.94	136613222.5	245908800.5	442640840.8	796758513.5	0.562	1.124	1.686	2.248	2.81	3.372	3.934	4.496	5.058	5.62	6.182	6.744	7.306	7.868	8.43	8.992	9.554	10.116	10.678	11.24
5	damage_all_resist	Vô Song	Tăng kháng tất cả	50	1	5000	14000	30200	59360	111848	206326.4	376387.52	682497.536	1233495.565	2225292.017	4010525.63	7223946.134	13008103.04	23419585.47	42160253.85	75893456.94	136613222.5	245908800.5	442640840.8	796758513.5	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	2
6	skilldamageptrim	Tinh Võ	Tăng lực tấn công	12	1	5000	14000	30200	59360	111848	206326.4	376387.52	682497.536	1233495.565	2225292.017	4010525.63	7223946.134	13008103.04	23419585.47	42160253.85	75893456.94	136613222.5	245908800.5	442640840.8	796758513.5	0.024	0.048	0.072	0.096	0.12	0.144	0.168	0.192	0.216	0.24	0.264	0.288	0.312	0.336	0.36	0.384	0.408	0.432	0.456	0.48
7	defencedeadlystrikedamagetrim	Tạ Kình	Giảm sát thương chí mạng	30	1	5000	14000	30200	59360	111848	206326.4	376387.52	682497.536	1233495.565	2225292.017	4010525.63	7223946.134	13008103.04	23419585.47	42160253.85	75893456.94	136613222.5	245908800.5	442640840.8	796758513.5	0.06	0.12	0.18	0.24	0.3	0.36	0.42	0.48	0.54	0.6	0.66	0.72	0.78	0.84	0.9	0.96	1.02	1.08	1.14	1.2
8	deadlystrikedamageenhance_p	Tuyệt Sát	Tăng sát thương chí mạng	30	1	5000	14000	30200	59360	111848	206326.4	376387.52	682497.536	1233495.565	2225292.017	4010525.63	7223946.134	13008103.04	23419585.47	42160253.85	75893456.94	136613222.5	245908800.5	442640840.8	796758513.5	0.06	0.12	0.18	0.24	0.3	0.36	0.42	0.48	0.54	0.6	0.66	0.72	0.78	0.84	0.9	0.96	1.02	1.08	1.14	1.2
9	allseriesstateresisttime	Bá Thể	Giảm thời gian hiệu ứng ngũ hành	133	1	5000	14000	30200	59360	111848	206326.4	376387.52	682497.536	1233495.565	2225292.017	4010525.63	7223946.134	13008103.04	23419585.47	42160253.85	75893456.94	136613222.5	245908800.5	442640840.8	796758513.5	0.266	0.532	0.798	1.064	1.33	1.596	1.862	2.128	2.394	2.66	2.926	3.192	3.458	3.724	3.99	4.256	4.522	4.788	5.054	5.32
10	allseriesstateresistrate	Ngự Khí	Giảm tỷ lệ hiệu ứng ngũ hành	133	1	5000	14000	30200	59360	111848	206326.4	376387.52	682497.536	1233495.565	2225292.017	4010525.63	7223946.134	13008103.04	23419585.47	42160253.85	75893456.94	136613222.5	245908800.5	442640840.8	796758513.5	0.266	0.532	0.798	1.064	1.33	1.596	1.862	2.128	2.394	2.66	2.926	3.192	3.458	3.724	3.99	4.256	4.522	4.788	5.054	5.32
