TRAPX	TRAPY
50048	105024	
49792	105376	
49888	105504	
49984	105600	
50112	105696	
50592	103232	
50496	103328	
50368	103456	
50496	103552	
50592	103648	
50592	104288	
50496	104384	
50368	104512	
50272	104608	
50368	104736	
50464	104832	
50368	104928	
50272	105024	
50176	105120	
50432	105376	
50528	105280	
50624	105184	
50208	105792	
50304	105920	
50528	105472	
51136	102720	
51008	102816	
50912	102912	
50816	103008	
50688	103136	
51136	103328	
50688	103776	
50816	103872	
50912	103968	
50816	104096	
50688	104192	
51040	103424	
51136	103552	
51136	104384	
50720	105056	
50816	105152	
50912	105248	
51040	105152	
51136	105024	
51648	102592	
51552	102496	
51424	102400	
51328	102496	
51232	102592	
51680	103232	
51552	103104	
51456	103008	
51360	103104	
51232	103232	
51648	104096	
51552	103968	
51232	103648	
51328	103744	
51424	103872	
51456	104096	
51360	104192	
51232	104288	
51232	104928	
51360	104832	
51456	104704	
51552	104608	
51648	104704	
52064	103040	
51968	102944	
51872	102816	
51744	102720	
51776	103328	
52192	103776	
51872	104320	
51776	104192	
51776	103552	
51872	103648	
52000	103776	
51776	104832	
51872	104928	
52000	105056	
52096	105152	
52192	105056	
52096	104512	
52000	104416	
52704	103648	
52608	103552	
52480	103456	
52320	103872	
52416	104000	
52544	104096	
52416	104192	
52320	104320	
52320	104960	
52416	104832	
52512	104736	
52608	104608	
52224	104416	
52928	104320	
53024	104224	
53120	104096	
53024	103968	
52928	103872	
52800	103776	
52736	104512	
52832	104416	
