typeid	level	power
1	1	45
1	2	44
1	3	43
1	4	42
1	5	41
1	6-10	40
1	11-20	39
1	21-30	38
1	31-40	37
1	41-50	36
1	51-60	35
1	61-70	34
1	71-80	33
1	81-90	32
1	91-100	31
1	101-300	30-26
1	301-600	25-21
1	601-1000	20-16
1	1001-1500	15-11
1	1501-2000	10-6
1	2001-3000	5-1
2	1	30
2	2	28
2	3	27
2	4	26
2	5-10	25
2	11-20	24
2	21-30	23
2	31-40	22
2	41-50	21
2	51-150	20-16
2	151-300	15-11
2	301-500	10-6
2	501-1000	5-1
3	1	50
3	2	49
3	3	48
3	4	47
3	5	46
3	6-10	45
3	11-20	44
3	21-30	43
3	31-40	42
3	41-50	41
3	51-60	40
3	61-70	39
3	71-80	38
3	81-90	37
3	91-100	36
3	101-250	35-31
3	251-450	30-26
3	451-700	25-21
3	701-1000	20-16
3	1001-1500	15-11
3	1501-2000	10-6
3	2001-3000	5-1
