nFactionId	nRouteId	nIndex	nReqLv	nSkillId	Name
1	1	1	10	21	伏魔刀法
1	1	2	30	23	易骨经
1	1	3	40	25	阿罗汉神功
1	1	4	50	24	破戒刀法
1	1	5	60	250	降龙伏虎
1	1	6	70	26	菩提心法
1	1	7	90	27	天竺绝刀
1	1	8	100	252	如来千叶
1	1	9	110	819	禅圆功
1	1	10	120	820	120级技能
1	1	11	20	10	初级秘籍
1	1	12	70	1200	中级秘籍
1	1	13	100	1241	高级秘籍
1	2	1	10	29	普渡棍法
1	2	2	30	31	狮子吼
1	2	3	40	25	阿罗汉神功
1	2	4	50	33	伏魔棍法
1	2	5	60	34	不动明王
1	2	6	70	254	易骨经
1	2	7	90	36	七星罗刹棍
1	2	8	100	255	无相神功
1	2	9	110	821	醉八仙棍
1	2	10	120	822	120级技能
1	2	11	20	10	初级秘籍
1	2	12	70	1201	中级秘籍
1	2	13	100	1242	高级秘籍
2	1	1	10	38	回风落雁
2	1	2	30	41	断魂刺
2	1	3	40	45	静心诀
2	1	4	50	43	阳关三叠
2	1	5	60	256	惊雷破天
2	1	6	70	46	天王战意
2	1	7	90	47	追星逐月
2	1	8	100	259	血战八方
2	1	9	110	823	奔雷钻龙枪
2	1	10	120	824	120级技能
2	1	11	20	10	初级秘籍
2	1	12	70	1202	中级秘籍
2	1	13	100	1243	高级秘籍
2	2	1	10	50	行云诀
2	2	2	30	41	断魂刺
2	2	3	40	781	静心术
2	2	4	50	53	追风诀
2	2	5	60	260	天王本生
2	2	6	70	55	金钟罩
2	2	7	90	56	乘龙诀
2	2	8	100	262	不灭杀意
2	2	9	110	825	斩龙诀
2	2	10	120	826	120级技能
2	2	11	20	10	初级秘籍
2	2	12	70	1202	中级秘籍
2	2	13	100	1244	高级秘籍
3	1	1	10	69	毒刺骨
3	1	2	30	64	迷影纵
3	1	3	40	71	勾魂阱
3	1	4	50	72	小李飞刀
3	1	5	60	263	吸星阵
3	1	6	70	73	缠身刺
3	1	7	90	74	乱环击
3	1	8	100	265	蚀骨血刃
3	1	9	110	827	机关秘术
3	1	10	120	828	120级技能
3	1	11	20	10	初级秘籍
3	1	12	70	1203	中级秘籍
3	1	13	100	1245	高级秘籍
3	2	1	10	59	追心箭
3	2	2	30	64	迷影纵
3	2	3	40	61	淬毒术
3	2	4	50	62	天罗地网
3	2	5	60	266	断筋刃
3	2	6	70	65	驭毒术
3	2	7	90	66	暴雨梨花
3	2	8	100	268	心眼
3	2	9	110	829	七绝煞光
3	2	10	120	830	120级技能
3	2	11	20	10	初级秘籍
3	2	12	70	1204	中级秘籍
3	2	13	100	1246	高级秘籍
4	1	1	10	76	血刀毒杀
4	1	2	30	78	无形蛊
4	1	3	40	81	施毒术
4	1	4	50	80	百毒穿心
4	1	5	60	269	瘟蛊之气
4	1	6	70	82	万蛊蚀心
4	1	7	90	83	玄阴斩
4	1	8	100	271	千蛛万毒
4	1	9	110	831	朱蛤青冥
4	1	10	120	832	120级技能
4	1	11	20	10	初级秘籍
4	1	12	70	1205	中级秘籍
4	1	13	100	1247	高级秘籍
4	2	1	10	86	毒砂掌
4	2	2	30	92	穿心毒刺
4	2	3	40	91	银丝飞蛛
4	2	4	50	90	天罡地煞
4	2	5	60	272	驱毒术
4	2	6	70	88	悲魔血光
4	2	7	90	93	阴风蚀骨
4	2	8	100	274	断筋腐骨
4	2	9	110	833	化骨绵掌
4	2	10	120	834	120级技能
4	2	11	20	10	初级秘籍
4	2	12	70	1206	中级秘籍
4	2	13	100	1248	高级秘籍
5	1	1	10	96	飘雪穿云
5	1	2	30	98	慈航普渡
5	1	3	40	101	佛心慈佑
5	1	4	50	99	四象同归
5	1	5	60	479	不灭不绝
5	1	6	70	782	流水心法
5	1	7	90	103	风霜碎影
5	1	8	100	280	万佛归宗
5	1	9	110	835	佛光战气
5	1	10	120	836	120级技能
5	1	11	20	10	初级秘籍
5	1	12	70	1207	中级秘籍
5	1	13	100	1249	高级秘籍
5	2	1	10	107	佛音战意
5	2	2	30	98	慈航普渡
5	2	3	40	101	佛心慈佑
5	2	4	50	109	千佛千叶
5	2	5	60	110	佛光普照
5	2	6	70	102	流水诀
5	2	7	90	108	清音梵唱
5	2	8	100	482	普渡众生
5	2	9	110	837	剑影佛光
5	2	10	120	838	120级技能
5	2	11	20	10	初级秘籍
5	2	12	70	1208	中级秘籍
5	2	13	100	1250	高级秘籍
6	1	1	10	111	风卷残雪
6	1	2	30	113	护体寒冰
6	1	3	40	115	雪影
6	1	4	50	114	碧海潮生
6	1	5	60	483	玄冰无息
6	1	6	70	116	雪映红尘
6	1	7	90	117	冰心仙子
6	1	8	100	485	浮云散雪
6	1	9	110	839	十面埋伏
6	1	10	120	840	120级技能
6	1	11	20	10	初级秘籍
6	1	12	70	1209	中级秘籍
6	1	13	100	1251	高级秘籍
6	2	1	10	120	风花雪月
6	2	2	30	122	御雪隐
6	2	3	40	812	流风回雪
6	2	4	50	123	牧野流星
6	2	5	60	483	玄冰无息
