SkillName	Property	SkillId	SkillType	SkillForm	StartPosition	Kind	SkillStyle	SkillGenus	ReplaceType	AppendDamageP	ShotNumber	FactionLimit	RouteLimit	SkillIcon	PreCastEffectId	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	StateTime	IsNoClearOnDeath	StateType	IsAura	LRSkill	NeedShadow	AttackRadius	IgnoreDistance	MslsGenerate	MslsGenerateData	ChildSkillId	ChildSkillLevel	ChildSkillNum	IsMissileSkill	CastActionId	EventSkillLevel	IsMelee	WaitTime	ClientOnly	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	IsDamage	TargetOnly	Relation	IsUseAR	StartSkillId	FlySkillId	FlyEventTime	CollidSkillId	VanishedSkillId	HitSkillId	ReqLevel	MaxLevel	WeaponLimit	HorseLimit	AngerLimit	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	ClassName	SkillDesc
Đánh thường-Quyền	Chủ động	1	5	1	2		atk_phy_near				-1			\image\icon\fightskill\public\fist.spr				0	0	0	0	0	0	0	1	60	0	0	0	1	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	11	0	0	1	0		0					0	0	0	0	1	normalattack2	Chiêu nhập môn tấn công tay.
Đánh thường-Kiếm	Chủ động	2	5	1	2		atk_phy_near				-1			\image\icon\fightskill\public\sword.spr				0	0	0			0	0	1	80	0	0	0	2	-1	1	1	9	0	1	1	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	12	0	0	1	0		0					0	0	0	0	1	normalattack2	Chiêu nhập môn tấn công kiếm.
Đánh thường-Đao	Chủ động	3	5	1	2		atk_phy_near				-1			\image\icon\fightskill\public\blade.spr				0	0	0			0	0	1	80	0	0	0	3	-1	1	1	9	0	1	1	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	13	0	0	1	0		0					0	0	0	0	1	normalattack2	Chiêu nhập môn tấn công đao.
Đánh thường-Côn	Chủ động	4	5	1	2		atk_phy_near				-1			\image\icon\fightskill\public\stick.spr				0	0	0			0	0	1	140	0	0	0	4	-1	1	1	9	0	1	6	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	14	0	0	1	0		0					0	0	0	0	1	normalattack2	Chiêu nhập môn tấn công côn.
Đánh thường-Thương	Chủ động	5	5	1	2		atk_phy_near				-1			\image\icon\fightskill\public\spear.spr				0	0	0			0	0	1	140	0	0	0	5	-1	1	1	9	0	1	6	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	15	0	0	1	0		0					0	0	0	0	1	normalattack2	Chiêu nhập môn tấn công thương.
Đánh thường-Chùy	Chủ động	6	5	1	2		atk_phy_near				-1			\image\icon\fightskill\public\hammer.spr				0	0	0			0	0	1	80	0	0	0	6	-1	1	1	9	0	1	1	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	16	0	0	1	0		0					0	0	0	0	1	normalattack2	Chiêu nhập môn tấn công chùy.
Đánh thường-Phi tiêu	Chủ động	7	5	0	1		atk_phy_far				-1			\image\icon\fightskill\public\dart.spr				0	0	0			0	0	0	520	0	0	0	7	-1	1	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	21	0	0	1	0		0					0	0	0	0	1	normalattack2	Chiêu nhập môn tấn công phi tiêu.
Đánh thường-Phi đao	Chủ động	8	5	0	1		atk_phy_far				-1			\image\icon\fightskill\public\flyingknife.spr				0	0	0			0	0	0	520	0	0	0	8	-1	1	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	22	0	0	1	0		0					0	0	0	0	1	normalattack2	Chiêu nhập môn tấn công phi đao.
Đánh thường-Tụ tiễn	Chủ động	9	5	0	1		atk_phy_far				-1			\image\icon\fightskill\public\arrow.spr				0	0	0			0	0	0	520	0	0	0	9	-1	1	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	23	0	0	1	0		0					0	0	0	0	1	normalattack2	Chiêu nhập môn tấn công tụ tiễn.
Khinh công	Hỗ trợ chủ động	10	1	2				2			-1			\image\icon\fightskill\public\jump.spr				0	0	0			0	2	1	1000	0	0	0	0	-1	0	0	13	-1	0	0	0	1	0	0	0	0	0	0		0	13	0	0	0	0	0	1	20	0	1	0	0	0		0					0	1	1	0	1	jump	Nhảy cao đến nơi mình muốn.
Cưỡi ngựa		11	1	9							-1			\image\icon\fightskill\tianwang\yumashu.spr				0	0	0			0	2	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0		0					1	0	0	0	1	empty	Lên xuống ngựa.
Tấn công thường hệ nội công	Chủ động	12	5	1	2		atk_mag_far				-1			\image\icon\fightskill\public\fist.spr				0	0	0	0	0	0	0	1	60	0	0	0	1	-1	1	1	9	0	1	0	0	0	0	0	0	0	1	0	enemy	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0					0	0	0	0	1	normalattack	Hiển thị lực đánh cơ bản hệ nội công.
Mệt mỏi		13	2								-1			\image\icon\fightskill\book\wanxiangshengong.spr				440	0	0			0	2	0	0	0	0	0	0	-1	1	0	11	-1	0	0	0	0	0	0	0	1	0	0	self	0	0	0	0	0	0	0	0	10	0	0	0	0	0		0					0	0	0	0	1	jumpaddcost	Khinh công tăng tiêu hao
Ngũ Chuyển Tâm Pháp	Hỗ trợ tấn công đặc biệt	14	2								-1			\image\icon\fightskill\emei\yiyezhiqiu.spr				481	0	0	1	1	0	2	0	0	0	0	0	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	self	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0					1	0	0	0	1	changeseriesdammage	Chuyển một phần sát thương vật công thành sát thương ngũ hành khác. Căn cứ vào kháng tính khác nhau của đối phương có thể tăng hoặc giảm sát thương, đóng mở dựa theo từng trường hợp.
Hướng đi ở đâu		15	5	4	2						-1			\image\icon\fightskill\public\fist.spr				0	0	0			0	0	1	500	0	4	9	405	-1	1	1	9	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0		74					0	0	0	0	1	empty	Muôn vàn tơ liễu rơi rụng, thế giới chuyển sắc, trời đất đổi màu, tuyết trắng lả tả, ngày mai đang ở nơi nào?
Hoạt động Niên Thú_Đốt pháo		16	5	1	2						-1			\image\icon\fightskill\wudu\dushazhang.spr				0	0	0			0	0	0	520	0	0	0	407	-1	1	1	11	0	0	0	0	0	0	0	0	0	1	0	self	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0					1	0	0	2	1	newyearbianpao	Niên Thú_Đốt pháo
Phục Ma Đao Pháp	Chủ động	21	5	0	1		atk_phy_far	1			1			\image\icon\fightskill\shaolin\fumodaofa.spr	151			0	0	0			0	0	0	520	0	0	0	21	-1	1	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	10	20	13	0	0	0	0		0					0	0	0	1	1	fumodaofa	Đao pháp sơ cấp Thiếu Lâm, chiêu thức tấn công một đối thủ.
