Id	PosType	Layer	AdjustColor	ImageFile	IconFile	Loop	Buff	DrawProp	Tip
1	head	1		\image\effect\fightskill\public\state_weak.spr	\image\icon\fightskill\state\weak.spr	1	0	1	Suy yếu, lực tấn công giảm xuống 50%
2		1	Cyan		\image\icon\fightskill\state\slowall.spr	1	0	1	Làm chậm, tốc độ di chuyển và xuất chiêu giảm xuống 50%
3		1	Gold		\image\icon\fightskill\state\burn.spr	1	0	1	Bỏng, sát thương tăng 1.5 lần
4		1	Green3		\image\icon\fightskill\state\poisoning.spr	1	0	1	Trúng độc, sát thương độc nhận được kéo dài
5	head	1		\image\effect\fightskill\public\state_stun.spr	\image\icon\fightskill\state\stun.spr	1	0	1	Choáng, ngừng di chuyển, ngừng xuất chiêu, không thể sử dụng đạo cụ
6	head	1		\image\effect\fightskill\public\state_fixed.spr	\image\icon\fightskill\state\fixed.spr	1	0	1	Bất động, không thể di chuyển, không thể khinh công
7	body	1		\image\effect\fightskill\public\state_palsy.spr	\image\icon\fightskill\state\palsy.spr	1	0	1	Tê liệt, không thể di chuyển, không thể xuất chiêu
8	head	1		\image\effect\fightskill\public\state_slowrun.spr	\image\icon\fightskill\state\slowrun.spr	1	0	1	Tốc độ di chuyển giảm
9	body	1		\image\effect\fightskill\public\state_freeze.spr	\image\icon\fightskill\state\freeze.spr	1	0	1	Đóng băng, không thể di chuyển, không thể xuất chiêu, không thể sử dụng đạo cụ, không bị sát thương
10	head	1		\image\effect\fightskill\public\state_confuse.spr	\image\icon\fightskill\state\confuse.spr	1	0	1	Hỗn loạn, không thể điều chỉnh, đi qua đi lại, có thể sử dụng đạo cụ
11	head	1		\image\effect\other\tanhao.spr		1	0	1	Chấm than trên đầu_Chính tuyến
12	head	1		\image\effect\other\wenhao.spr		1	0	1	Chấm hỏi trên đầu_Chính tuyến
13	minimap	1		\image\effect\other\tanhao_map.spr		1	0		Chấm than trên bản đồ nhỏ_Chính tuyến
14	minimap	1		\image\effect\other\wenhao_map.spr		1	0		Chấm hỏi trên bản đồ nhỏ_Chính tuyến
15	ground	0		\image\effect\fightskill\shaolin\sl_70_alhsg_b.spr	\image\icon\fightskill\state\aluohanshengong.spr	1	1	2	A La Hán Thần Công
16	body	1		\image\effect\fightskill\shaolin\sl_70_ptxf_b.spr	\image\icon\fightskill\state\putixinfa.spr	1	1	2	Bồ Đề Tâm Pháp
17	body	1		\image\effect\fightskill\shaolin\sl_30_bdmw_b.spr	\image\icon\fightskill\state\budongmingwang.spr	1	0	3	Bất Động Minh Vương
18	head	1		\image\effect\fightskill\tianwang\tw_70_twzy_b.spr	\image\icon\fightskill\state\tianwangzhanyi.spr	1	1	2	Thiên Vương Chiến Ý
19	body	1		\image\effect\fightskill\tianwang\tw_70_jzz_b.spr	\image\icon\fightskill\state\jinzhongzhao.spr	1	1	2	Kim Chung Tráo
20	ground	0		\image\effect\fightskill\tangmen\tm_30_cds_b2.spr	\image\icon\fightskill\state\cuidushu.spr	1	1	2	Tôi Độc Thuật
21	ground	0		\image\effect\fightskill\wudu\wu_30_wxg_b.spr		1	1	2	Vô Hình Cổ
22	head	1		\image\effect\fightskill\wudu\wu_70_wgsx_b.spr	\image\icon\fightskill\state\wangushixin.spr	1	0	2	Vạn Cổ Thực Tâm
23	head	1		\image\effect\fightskill\wudu\wu_30_bmxg_b.spr	\image\icon\fightskill\state\beimoxueguang.spr	1	0	2	Bi Ma Huyết Quang
24	head	1		\image\effect\fightskill\wudu\wu_50_cxdc_b.spr	\image\icon\fightskill\state\chuanxinduci.spr	1	0	2	Xuyên Tâm Độc Thích
25	head	1			\image\icon\fightskill\state\cihangpudu.spr	1	1	2	Từ Hàng Phổ Độ
26	ground	0		\image\effect\fightskill\emei\em_50_fxcy_b.spr	\image\icon\fightskill\state\foxinciyou.spr	1	1	2	Phật Tâm Từ Hựu
27	ground	0		\image\effect\fightskill\emei\em_70_ls_b.spr	\image\icon\fightskill\state\liushui.spr	1	1	2	Lưu Thủy Quyết
28	ground	0		\image\effect\fightskill\emei\em_10_md_b.spr	\image\icon\fightskill\state\mengdie.spr	1	1	2	Mộng Điệp
29	ground	0		\image\effect\fightskill\emei\em_50_qyfc_b.spr	\image\icon\fightskill\state\qingyinfanchang.spr	1	1	2	Thanh Âm Phạn Xướng
30	ground	0		\image\effect\fightskill\emei\em_90_pdzs_b.spr	\image\icon\fightskill\state\cihangpudu.spr	1	1	2	Thiên Phật Thiên Diệp
31	body	1		\image\effect\fightskill\cuiyan\cy_30_xy_b.spr	\image\icon\fightskill\state\xueying.spr	1	1	2	Tuyết Ảnh
32	body	1		\image\effect\fightskill\cuiyan\cy_70_xyhc_b.spr	\image\icon\fightskill\state\xueyinghongchen.spr	1	1	2	Tuyết Ánh Hồng Trần
33		1	Hide		\image\icon\fightskill\state\yuxueyin.spr	1	1	1	Ẩn thân
34	body	1		\image\effect\fightskill\gaibang\gb_50_hbls_b.spr	\image\icon\fightskill\state\huabuliushou.spr	1	1	2	Hoạt Bất Lưu Thủ
35	head	1		\image\effect\fightskill\tianren\tr_50_bsqf_b.spr	\image\icon\fightskill\state\beisuqingfeng.spr	1	0	2	Bi Tô Thanh Phong
36	head	1		\image\effect\fightskill\tianren\tr_10_lmdp_b.spr	\image\icon\fightskill\state\limoduopo.spr	1	0	2	Lệ Ma Đoạt Hồn
37	head	1		\image\effect\fightskill\wudang\wd_30_zwww_b.spr	\image\icon\fightskill\state\zuowangwuwo.spr	1	1	2	Tọa Vọng Vô Ngã
38	body	1		\image\effect\fightskill\wudang\wd_70_zwqj_b.spr	\image\icon\fightskill\state\zhenwuqijie.spr	1	1	2	Chân Vũ Thất Tiệt
39	ground	0		\image\effect\fightskill\wudang\wd_70_qxj_b.spr	\image\icon\fightskill\state\qixingjue.spr	1	1	2	Thất Tinh Quyết
40	head	1		\image\effect\fightskill\kunlun\kl_30_qff_b.spr	\image\icon\fightskill\state\qingfengfu.spr	1	1	2	Thanh Phong Phù
41	ground	0		\image\effect\fightskill\kunlun\kl_70_yqsq_b.spr	\image\icon\fightskill\state\yiqisanqing.spr	1	1	2	Nhất Khí Tam Thanh
42	body	1		\image\effect\fightskill\kunlun\kl_70_dgxf_b.spr	\image\icon\fightskill\state\daoguxianfeng.spr	1	1	2	Đạo Cốt Tiên Phong
43	ground	0		\image\effect\fightskill\mingjiao\mj_70_jgtm_b.spr	\image\icon\fightskill\state\jingetiema.spr	1	1	2	Kim Qua Thiết Mã
44	ground	1		\image\effect\fightskill\mingjiao\mj_30_mqpz_b.spr	\image\icon\fightskill\state\miqipiaozong.spr	1	1	2	Di Khí Phiêu Tung
45	head	1		\image\effect\fightskill\mingjiao\mj_70_qkdny_b.spr	\image\icon\fightskill\state\qiankundanuoyi.spr	1	0	3	Càn Khôn Đại Na Di
46	head	1		\image\effect\fightskill\daliduanshi\ds_70_syj_b.spr	\image\icon\fightskill\state\shiyuanjue.spr	1	0	3	Thí Nguyên Quyết
47	ground	0		\image\effect\fightskill\daliduanshi\ds_30_bmsg_b.spr	\image\icon\fightskill\state\beimingshengong.spr	1	1	2	Bắc Minh Thần Công
48		1			\image\icon\fightskill\state\yuxueyin.spr	1	1		Ngự Tuyết Ẩn
49		1			\image\icon\fightskill\state\protect.spr	1	1		Đang bảo hộ, ko thể đổi PK, ko bị tấn công, ko bị trừng phạt khi trọng thương
50	head	1		\image\effect\fightskill\mingjiao\mj_50_pysf_b.spr	\image\icon\fightskill\state\piaoyishenfa.spr	1	1	2	Phiêu Dực Thân Pháp
51	ground	0		\image\effect\fightskill\daliduanshi\ds_50_lbwb_b.spr	\image\icon\fightskill\state\lingboweibu.spr	1	1	3	Lăng Ba Vi Bộ
52	body	1		\image\effect\fightskill\daliduanshi\ds_50_tnbf_b.spr	\image\icon\fightskill\state\tiannanbufa.spr	1	1	2	Thiên Nam Bộ Pháp
53		0			\image\icon\fightskill\state\yumashu.spr	1	1		Ngự Mã Thuật
54		1			\image\icon\fightskill\state\huabuliushou.spr	1	1		Tật Ảnh
55		1			\image\icon\fightskill\state\armor.spr	1	1		Chiến Ý
56	head	1		\image\effect\other\tanhaoIII.spr		1	0	1	Chấm than trên đầu_Nhiệm vụ tuần hoàn
57	head	1		\image\effect\other\wenhaoIII.spr		1	0	1	Chấm hỏi trên đầu_Nhiệm vụ tuần hoàn
58	minimap	1		\image\effect\other\tanhao_mapIII.spr		1	0		Chấm than trên bản đồ nhỏ_Nhiệm vụ tuần hoàn
59	minimap	1		\image\effect\other\wenhao_mapIII.spr		1	0		Chấm hỏi trên bản đồ nhỏ_Nhiệm vụ tuần hoàn
60	head	1		\image\effect\fightskill\tangmen\tm_30_cds_b1.spr	\image\icon\fightskill\state\weak.spr	1	0	3	Hấp Tinh Trận
61		1			\image\icon\fightskill\state\jingetiema.spr	1	1		Vật phẩm chiến trường cộng thêm
62	head	1		\image\effect\other\state_jigaoyichou_vn.spr		1	0	1	Tỷ thí thắng lợi
63	head	1		\image\effect\other\state_ganbaixiafeng_vn.spr		1	0	1	Tỷ thí thất bại
64	head	1		\image\effect\other\state_talking.spr		1	0	1	Hệ thống nhiệm vụ_Đang hiển thị đối thoại
65		1			\image\icon\fightskill\state\xiulianzhuangtai.spr	1	1		Kinh nghiệm đánh quái tăng 2 lần
