Id	Desc	ClassName
1	含沙射影	hanshasheyingadd
2	漫天花雨	mantianhuayuadd
3	化血截脉	huaxuejiemaiadd
4	氤氲紫气	yinyunziqiadd
5	金顶绵掌	jindingmianzhangadd
6	渡元功	duyuangongadd
7	达摩闭息功	damobixigongadd
8	踏雪无痕	taxuewuhenadd
9	神龙摆尾	shengongbaiweiadd
10	碧月飞星	biyuefeixingadd
11	玄冥吸星	xuanmingxixingadd
12	两仪真气	liangyizhenqiadd
13	化髓无意	huasuiwuyiadd
14	披荆斩棘	pijingzhanjiadd
15	追风毒棘	zhuifengdujiadd
16	流星锤	liuxingchuiadd
17	百步穿杨	baibuchuanyangadd
18	白虹贯日	baihongguanriadd
19	机关秘术	jiguanmishuadd
20	擒龙功	qinlonggongadd
21	乘霜式	chengshuangshiadd
22	打雪仗手套效果	snowgloveadd
23	掌毒高级秘籍	zhangduadvancedbookadd
24	辅娥高级秘籍	fueadvancedbookadd
25	战忍高级秘籍	zhanrenadvancedbookadd
26	雷霆诀	leitingjue_selfadd
27	剑明高级秘籍	muyeyingyangadd
28	陷阱120	xianjing120add
29	棍丐120	gungai120add
30	剑明120	jianming120add
31	剑翠110	shimianmaifuadd
32	奔雷减少连环夺命	benleireduce
33	疯魔棍法	gs120_fengmogunfa
34	九曲减110伤害	jiuquadd
35	强化诅咒区域	sxgm_book2add
36	杀闪精通	sxgm_40add
37	集中攻击	fzgm_60_b_add
38	存针	fzgm_book2add
39	冰魄银针	fzgm_atk_30add
40	五气朝元_禁轻功	banjump
41	疏影	qiduan120add
42	波罗心经	fue80add
43	披荆斩棘	pijingzhanjiadd3
44	披荆斩棘	baibuchuanyangadd3
45	Ám Tiêu	amtieuadd
