MapId	Id	IsDisable	PosType	Icon	PosX	PosY	Text	Size	Color	PosXDis	PosYDis
1	1	0	0	\image\ui\001a\minimap\yellowpoint.spr	109	148	兵器铺	12	yellow	0	4
1	2	0	0	\image\ui\001a\minimap\yellowpoint.spr	182	119	防具铺	12	yellow	0	4
1	3	0	0	\image\ui\001a\minimap\yellowpoint.spr	219	104	首饰铺	12	yellow	0	4
1	4	0	0	\image\ui\001a\minimap\yellowpoint.spr	242	131	药铺	12	yellow	-6	4
1	5	0	0	\image\ui\001a\minimap\yellowpoint.spr	267	137	杂货铺	12	yellow	5	4
1	6	0	0	\image\ui\001a\minimap\yellowpoint.spr	253	152	酒楼	12	yellow	-5	6
1	7	0	0	\image\ui\001a\minimap\yellowpoint.spr	294	179	伐木小屋	12	yellow	-4	4
1	8	0	0	\image\ui\001a\minimap\yellowpoint.spr	239	193	猎户小屋	12	yellow	0	4
1	9	0	0	\image\ui\001a\minimap\yellowpoint.spr	152	182	钱庄	12	yellow	0	4
1	10	0	0	\image\ui\001a\minimap\yellowpoint.spr	246	214	包万同	12	yellow	0	4
1	11	0	0	\image\ui\001a\minimap\yellowpoint.spr	396	178	叶芷琳	12	yellow	0	4
1	12	0	0	\image\ui\001a\minimap\yellowpoint.spr	208	153	白秋琳	12	yellow	6	4
1	13	0	0	\image\ui\001a\minimap\yellowpoint.spr	340	176	龙五太爷	12	yellow	6	4
1	14	0	0	\image\ui\001a\minimap\yellowpoint.spr	334	205	少林接引	12	yellow	0	4
1	15	0	0	\image\ui\001a\minimap\yellowpoint.spr	297	219	天王接引	12	yellow	0	4
1	16	0	0	\image\ui\001a\minimap\yellowpoint.spr	336	236	唐门接引	12	yellow	-10	4
1	17	0	0	\image\ui\001a\minimap\yellowpoint.spr	374	231	五毒接引	12	yellow	6	4
1	18	0	0	\image\ui\001a\minimap\yellowpoint.spr	375	259	峨嵋接引	12	yellow	0	4
1	19	0	0	\image\ui\001a\minimap\yellowpoint.spr	412	252	翠烟接引	12	yellow	0	-1
1	20	0	0	\image\ui\001a\minimap\yellowpoint.spr	448	253	丐帮接引	12	yellow	12	4
1	21	0	0	\image\ui\001a\minimap\yellowpoint.spr	436	279	天忍接引	12	yellow	-10	2
1	22	0	0	\image\ui\001a\minimap\yellowpoint.spr	476	279	武当接引	12	yellow	10	4
1	23	0	0	\image\ui\001a\minimap\yellowpoint.spr	531	246	昆仑接引	12	yellow	0	4
1	24	0	0	\image\ui\001a\minimap\yellowpoint.spr	552	206	冶炼大师	12	yellow	0	4
1	25	0	0	\image\ui\001a\minimap\yellowpoint.spr	250	78	物品保管人	12	yellow	17	4
1	26	0	0	\image\ui\001a\minimap\yellowpoint.spr	554	300	物品保管人	12	yellow	20	4
1	27	0	0	\image\ui\001a\minimap\yellowpoint.spr	179	150	物品保管人	12	yellow	-13	4
1	28	0	0	\image\ui\001a\minimap\yellowpoint.spr	233	62	车夫	12	yellow	10	4
1	29	0	0	\image\ui\001a\minimap\yellowpoint.spr	523	294	车夫	12	yellow	0	4
1	30	0	0	\image\ui\001a\minimap\yellowpoint.spr	140	108	礼官	12	yellow	0	4
1	31	0	0	\image\ui\001a\minimap\yellowpoint.spr	488	230	段氏接引	12	yellow	0	4
1	32	0	0	\image\ui\001a\minimap\yellowpoint.spr	448	204	明教接引	12	yellow	0	4
