MapId	BeProtected	ParamValue1	ParamValue2	ParamValue3	ParamValue4	ParamValue5
30	1					
31	1					
32	1					
33	1					
34	1					
35	1					
36	1					
37	1					
38	1					
39	1					
40	1					
41	1					
42	1					
43	1					
44	1					
45	1					
46	1					
47	1					
48	1					
49	1					
50	1					
51	1					
52	1					
53	1					
54	1					
55	1					
56	1					
57	1					
58	1					
59	1					
60	1					
61	1					
62	1					
63	1					
64	1					
65	1					
66	1					
67	1					
68	1					
69	1					
70	1					
71	1					
72	1					
73	1					
74	1					
75	1					
76	1					
77	1					
78	1					
79	1					
80	1					
81	1					
82	1					
83	1					
84	1					
85	1					
86	1					
87	1					
88	1					
89	1					
90	1					
91	1					
92	1					
93	1					
94	1					
95	1					
96	1					
97	1					
98	1					
99	1					
100	1					
101	1					
102	1					
103	1					
104	1					
105	1					
106	1					
107	1					
108	1					
109	1					
110	1					
111	1					
112	1					
113	1					
114	1					
115	1					
116	1					
117	1					
118	1					
119	1					
120	1					
121	1					
122	1					
123	1					
124	1					
125	1					
126	1					
127	1					
128	1					
129	1					
130	1					
131	1					
132	1					
133	1					
134	1					
135	1					
136	1					
137	1					
1742	1					
1743	1					
1744	1					
1745	1					
1746	1					
1747	1					
1748	1					
1749	1					
1750	1					
1751	1					
1752	1					
1753	1					
1754	1					
1755	1					
1756	1					
1757	1					
1758	1					
1759	1					
1760	1					
1761	1					
1762	1					
1763	1					
1764	1					
1765	1					
1766	1					
1767	1					
1768	1					
1769	1					
1770	1					
1771	1					
1772	1					
1773	1					
1774	1					
1775	1					
1776	1					
1777	1					
1778	1					
1779	1					
1780	1					
1781	1					
1782	1					
1783	1					
1784	1					
1785	1					
1786	1					
1787	1					
1788	1					
1789	1					
1790	1					
1791	1					
1792	1					
1793	1					
1794	1					
1795	1					
1796	1					
1797	1					
1798	1					
1799	1					
1800	1					
1801	1					
1802	1					
1803	1					
1804	1					
1805	1					
