Group	OpenSeverDay	OnlyTaskCount	Desc
1	0	12	55级	
1	16	11	55级	
1	29	10	55级	
1	53	9	55级	
1	96	8	55级	
1	146	7	55级	
1	176	7	55级	
1	206	7	55级	
2	0	12	65级	
2	16	12	65级	
2	29	11	65级	
2	53	10	65级	
2	96	9	65级	
2	146	8	65级	
2	176	7	65级	
2	206	7	65级	
3	0	12	75级	
3	16	12	75级	
3	29	12	75级	
3	53	11	75级	
3	96	10	75级	
3	146	8	75级	
3	176	7	75级	
3	206	7	75级	
4	0	12	85级	
4	16	12	85级	
4	29	12	85级	
4	53	12	85级	
4	96	11	85级	
4	146	9	85级	
4	176	8	85级	
4	206	7	85级	
5	0	12	95级	
5	16	12	95级	
5	29	12	95级	
5	53	12	95级	
5	96	11	95级	
5	146	10	95级	
5	176	9	95级	
5	206	7	95级	
6	0	12	105级	
6	16	12	105级	
6	29	12	105级	
6	53	12	105级	
6	96	12	105级	
6	146	12	105级	
6	176	12	105级	
6	206	12	105级	
