Group	Class	LastWeekSum	OnlyTaskCount	Desc
1	1	0	3	55级
1	2	392	4	55级
1	3	2352	5	55级
1	4	3528	6	55级
1	5	4704	7	55级
1	6	5880	8	55级
1	7	7056	9	55级
1	8	8232	10	55级
1	9	9408	11	55级
1	10	10584	12	55级
2	1	0	3	65级
2	2	392	4	65级
2	3	2352	5	65级
2	4	3528	6	65级
2	5	4704	7	65级
2	6	5880	8	65级
2	7	7056	9	65级
2	8	8232	10	65级
2	9	9408	11	65级
2	10	10584	12	65级
3	1	0	3	75级
3	2	392	4	75级
3	3	2352	5	75级
3	4	3528	6	75级
3	5	4704	7	75级
3	6	5880	8	75级
3	7	7056	9	75级
3	8	8232	10	75级
3	9	9408	11	75级
3	10	10584	12	75级
4	1	0	3	85级
4	2	392	4	85级
4	3	2352	5	85级
4	4	3528	6	85级
4	5	4704	7	85级
4	6	5880	8	85级
4	7	7056	9	85级
4	8	8232	10	85级
4	9	9408	11	85级
4	10	10584	12	85级
5	1	0	3	95级
5	2	392	4	95级
5	3	2352	5	95级
5	4	3528	6	95级
5	5	4704	7	95级
5	6	5880	8	95级
5	7	7056	9	95级
5	8	8232	10	95级
5	9	9408	11	95级
5	10	10584	12	95级
6	1	0	3	高级大盗
6	2	392	4	高级大盗
6	3	2352	5	高级大盗
6	4	3528	6	高级大盗
6	5	4704	7	高级大盗
6	6	5880	8	高级大盗
6	7	7056	9	高级大盗
6	8	8232	10	高级大盗
6	9	9408	11	高级大盗
6	10	10584	12	高级大盗
