Id	Faction	nRoute	Sex	szGDPL
1	1	1	0	"2,7,5,3"
1	1	2	0	"2,7,5,3"
1	2	1	0	"2,7,5,3"
1	2	2	0	"2,7,5,3"
1	3	1	0	"2,7,25,3"
1	3	2	0	"2,7,25,3"
1	4	1	0	"2,7,25,3"
1	4	2	0	"2,7,25,3"
1	5	1	0	"2,7,45,3"
1	5	2	0	"2,7,45,3"
1	6	1	0	"2,7,45,3"
1	6	2	0	"2,7,45,3"
1	7	1	0	"2,7,65,3"
1	7	2	0	"2,7,65,3"
1	8	1	0	"2,7,65,3"
1	8	2	0	"2,7,65,3"
1	9	1	0	"2,7,85,3"
1	9	2	0	"2,7,85,3"
1	10	1	0	"2,7,85,3"
1	10	2	0	"2,7,85,3"
1	11	1	0	"2,7,25,3"
1	11	2	0	"2,7,25,3"
1	12	1	0	"2,7,45,3"
1	12	2	0	"2,7,45,3"
1	13	1	0	"2,7,85,3"
1	13	2	0	"2,7,85,3"
1	1	1	1	"2,7,15,3"
1	1	2	1	"2,7,15,3"
1	2	1	1	"2,7,15,3"
1	2	2	1	"2,7,15,3"
1	3	1	1	"2,7,35,3"
1	3	2	1	"2,7,35,3"
1	4	1	1	"2,7,35,3"
1	4	2	1	"2,7,35,3"
1	5	1	1	"2,7,55,3"
1	5	2	1	"2,7,55,3"
1	6	1	1	"2,7,55,3"
1	6	2	1	"2,7,55,3"
1	7	1	1	"2,7,75,3"
1	7	2	1	"2,7,75,3"
1	8	1	1	"2,7,75,3"
1	8	2	1	"2,7,75,3"
1	9	1	1	"2,7,95,3"
1	9	2	1	"2,7,95,3"
1	10	1	1	"2,7,95,3"
1	10	2	1	"2,7,95,3"
1	11	1	1	"2,7,35,3"
1	11	2	1	"2,7,35,3"
1	12	1	1	"2,7,55,3"
1	12	2	1	"2,7,55,3"
1	13	1	1	"2,7,95,3"
1	13	2	1	"2,7,95,3"
2	1	1	0	"2,10,5,3"
2	1	2	0	"2,10,5,3"
2	2	1	0	"2,10,5,3"
2	2	2	0	"2,10,5,3"
2	3	1	0	"2,10,25,3"
2	3	2	0	"2,10,25,3"
2	4	1	0	"2,10,25,3"
2	4	2	0	"2,10,25,3"
2	5	1	0	"2,10,45,3"
2	5	2	0	"2,10,45,3"
2	6	1	0	"2,10,45,3"
2	6	2	0	"2,10,45,3"
2	7	1	0	"2,10,65,3"
2	7	2	0	"2,10,65,3"
2	8	1	0	"2,10,65,3"
2	8	2	0	"2,10,65,3"
2	9	1	0	"2,10,85,3"
2	9	2	0	"2,10,85,3"
2	10	1	0	"2,10,85,3"
2	10	2	0	"2,10,85,3"
2	11	1	0	"2,10,25,3"
2	11	2	0	"2,10,25,3"
2	12	1	0	"2,10,45,3"
2	12	2	0	"2,10,45,3"
2	13	1	0	"2,10,85,3"
2	13	2	0	"2,10,85,3"
2	1	1	1	"2,10,15,3"
2	1	2	1	"2,10,15,3"
2	2	1	1	"2,10,15,3"
2	2	2	1	"2,10,15,3"
2	3	1	1	"2,10,35,3"
2	3	2	1	"2,10,35,3"
2	4	1	1	"2,10,35,3"
2	4	2	1	"2,10,35,3"
2	5	1	1	"2,10,55,3"
2	5	2	1	"2,10,55,3"
2	6	1	1	"2,10,55,3"
2	6	2	1	"2,10,55,3"
2	7	1	1	"2,10,75,3"
2	7	2	1	"2,10,75,3"
2	8	1	1	"2,10,75,3"
2	8	2	1	"2,10,75,3"
2	9	1	1	"2,10,95,3"
2	9	2	1	"2,10,95,3"
2	10	1	1	"2,10,95,3"
2	10	2	1	"2,10,95,3"
2	11	1	1	"2,10,35,3"
2	11	2	1	"2,10,35,3"
2	12	1	1	"2,10,55,3"
2	12	2	1	"2,10,55,3"
2	13	1	1	"2,10,95,3"
2	13	2	1	"2,10,95,3"
3	1	1	0	"2,8,3,3"
3	1	2	0	"2,8,3,3"
3	2	1	0	"2,8,3,3"
3	2	2	0	"2,8,3,3"
3	3	1	0	"2,8,23,3"
3	3	2	0	"2,8,23,3"
3	4	1	0	"2,8,23,3"
3	4	2	0	"2,8,23,3"
3	5	1	0	"2,8,43,3"
3	5	2	0	"2,8,43,3"
3	6	1	0	"2,8,43,3"
3	6	2	0	"2,8,43,3"
3	7	1	0	"2,8,63,3"
3	7	2	0	"2,8,63,3"
3	8	1	0	"2,8,63,3"
3	8	2	0	"2,8,63,3"
3	9	1	0	"2,8,83,3"
3	9	2	0	"2,8,83,3"
3	10	1	0	"2,8,83,3"
3	10	2	0	"2,8,83,3"
3	11	1	0	"2,8,23,3"
3	11	2	0	"2,8,23,3"
3	12	1	0	"2,8,43,3"
3	12	2	0	"2,8,43,3"
3	13	1	0	"2,8,83,3"
3	13	2	0	"2,8,83,3"
3	1	1	1	"2,8,13,3"
3	1	2	1	"2,8,13,3"
3	2	1	1	"2,8,13,3"
3	2	2	1	"2,8,13,3"
3	3	1	1	"2,8,33,3"
3	3	2	1	"2,8,33,3"
3	4	1	1	"2,8,33,3"
3	4	2	1	"2,8,33,3"
3	5	1	1	"2,8,53,3"
3	5	2	1	"2,8,53,3"
3	6	1	1	"2,8,53,3"
3	6	2	1	"2,8,53,3"
3	7	1	1	"2,8,73,3"
3	7	2	1	"2,8,73,3"
3	8	1	1	"2,8,73,3"
3	8	2	1	"2,8,73,3"
3	9	1	1	"2,8,93,3"
3	9	2	1	"2,8,93,3"
3	10	1	1	"2,8,93,3"
3	10	2	1	"2,8,93,3"
3	11	1	1	"2,8,33,3"
3	11	2	1	"2,8,33,3"
3	12	1	1	"2,8,53,3"
3	12	2	1	"2,8,53,3"
3	13	1	1	"2,8,93,3"
3	13	2	1	"2,8,93,3"
4	1	1	0	"2,3,25,3"
4	1	2	0	"2,3,5,3"
4	2	1	0	"2,3,5,3"
4	2	2	0	"2,3,5,3"
4	3	1	0	"2,3,45,3"
4	3	2	0	"2,3,45,3"
4	4	1	0	"2,3,45,3"
4	4	2	0	"2,3,65,3"
4	5	1	0	"2,3,105,3"
4	5	2	0	"2,3,105,3"
4	6	1	0	"2,3,105,3"
4	6	2	0	"2,3,105,3"
4	7	1	0	"2,3,145,3"
4	7	2	0	"2,3,145,3"
4	8	1	0	"2,3,125,3"
4	8	2	0	"2,3,145,3"
4	9	1	0	"2,3,185,3"
4	9	2	0	"2,3,165,3"
4	10	1	0	"2,3,185,3"
4	10	2	0	"2,3,185,3"
4	11	1	0	"2,3,45,3"
4	11	2	0	"2,3,45,3"
4	12	1	0	"2,3,85,3"
4	12	2	0	"2,3,105,3"
4	13	1	0	"2,3,1365,3"
4	13	2	0	"2,3,1365,3"
4	1	1	1	"2,3,35,3"
4	1	2	1	"2,3,15,3"
4	2	1	1	"2,3,15,3"
4	2	2	1	"2,3,15,3"
4	3	1	1	"2,3,55,3"
4	3	2	1	"2,3,55,3"
4	4	1	1	"2,3,55,3"
4	4	2	1	"2,3,75,3"
4	5	1	1	"2,3,115,3"
4	5	2	1	"2,3,115,3"
4	6	1	1	"2,3,115,3"
4	6	2	1	"2,3,115,3"
4	7	1	1	"2,3,155,3"
4	7	2	1	"2,3,155,3"
4	8	1	1	"2,3,135,3"
4	8	2	1	"2,3,155,3"
4	9	1	1	"2,3,195,3"
4	9	2	1	"2,3,175,3"
4	10	1	1	"2,3,195,3"
4	10	2	1	"2,3,195,3"
4	11	1	1	"2,3,55,3"
4	11	2	1	"2,3,55,3"
4	12	1	1	"2,3,95,3"
4	12	2	1	"2,3,115,3"
