TaskId	SubId	Faction	nRoute	Sex	Index	Cost	nSeries	szCostGDPL	szGDPL
1	7	4	1	0	1	0		18,1,962,1	2,3,45,3
1	7	3	1	0	1	0		18,1,962,1	2,3,45,3
1	7	3	2	0	1	0		18,1,962,1	2,3,45,3
1	7	11	1	0	1	0		18,1,962,1	2,3,45,3
1	7	11	2	0	1	0		18,1,962,1	2,3,45,3
1	7	4	1	0	2	1		18,1,962,1	2,3,245,3
1	7	3	1	0	2	1		18,1,962,1	2,3,245,3
1	7	3	2	0	2	1		18,1,962,1	2,3,245,3
1	7	11	1	0	2	1		18,1,962,1	2,3,245,3
1	7	11	2	0	2	1		18,1,962,1	2,3,245,3
1	7	4	2	0	1	0		18,1,962,1	2,3,65,3
1	7	4	2	0	2	1		18,1,962,1	2,3,265,3
1	7	1	2	0	1	0		18,1,962,1	2,3,5,3
1	7	1	2	0	2	1		18,1,962,1	2,3,205,3
1	7	2	1	0	1	0		18,1,962,1	2,3,5,3
1	7	2	2	0	1	0		18,1,962,1	2,3,5,3
1	7	2	1	0	2	1		18,1,962,1	2,3,205,3
1	7	2	2	0	2	1		18,1,962,1	2,3,205,3
1	7	1	1	0	1	0		18,1,962,1	2,3,25,3
1	7	1	1	0	2	1		18,1,962,1	2,3,225,3
1	7	12	1	0	1	0		18,1,962,1	2,3,85,3
1	7	12	1	0	2	1		18,1,962,1	2,3,285,3
1	7	6	1	0	1	0		18,1,962,1	2,3,105,3
1	7	6	2	0	1	0		18,1,962,1	2,3,105,3
1	7	12	2	0	1	0		18,1,962,1	2,3,105,3
1	7	6	1	0	2	1		18,1,962,1	2,3,305,3
1	7	6	2	0	2	1		18,1,962,1	2,3,305,3
1	7	12	2	0	2	1		18,1,962,1	2,3,305,3
1	7	8	1	0	1	0		18,1,962,1	2,3,125,3
1	7	8	1	0	2	1		18,1,962,1	2,3,325,3
1	7	8	2	0	1	0		18,1,962,1	2,3,145,3
1	7	7	1	0	1	0		18,1,962,1	2,3,145,3
1	7	7	2	0	1	0		18,1,962,1	2,3,145,3
1	7	8	2	0	2	1		18,1,962,1	2,3,345,3
1	7	7	1	0	2	1		18,1,962,1	2,3,345,3
1	7	7	2	0	2	1		18,1,962,1	2,3,345,3
1	7	9	2	0	1	0		18,1,962,1	2,3,165,3
1	7	9	2	0	2	1		18,1,962,1	2,3,365,3
1	7	9	1	0	1	0		18,1,962,1	2,3,185,3
1	7	10	1	0	1	0		18,1,962,1	2,3,185,3
1	7	10	2	0	1	0		18,1,962,1	2,3,185,3
1	7	9	1	0	2	1		18,1,962,1	2,3,385,3
1	7	10	1	0	2	1		18,1,962,1	2,3,385,3
1	7	10	2	0	2	1		18,1,962,1	2,3,385,3
1	7	4	1	1	1	0		18,1,962,1	2,3,55,3
1	7	3	1	1	1	0		18,1,962,1	2,3,55,3
1	7	3	2	1	1	0		18,1,962,1	2,3,55,3
1	7	11	1	1	1	0		18,1,962,1	2,3,55,3
1	7	11	2	1	1	0		18,1,962,1	2,3,55,3
1	7	4	1	1	2	1		18,1,962,1	2,3,255,3
1	7	3	1	1	2	1		18,1,962,1	2,3,255,3
1	7	3	2	1	2	1		18,1,962,1	2,3,255,3
1	7	11	1	1	2	1		18,1,962,1	2,3,255,3
1	7	11	2	1	2	1		18,1,962,1	2,3,255,3
1	7	4	2	1	1	0		18,1,962,1	2,3,75,3
1	7	4	2	1	2	1		18,1,962,1	2,3,275,3
1	7	2	1	1	1	0		18,1,962,1	2,3,15,3
1	7	2	1	1	2	1		18,1,962,1	2,3,215,3
1	7	2	2	1	1	0		18,1,962,1	2,3,15,3
1	7	2	2	1	2	1		18,1,962,1	2,3,215,3
1	7	12	1	1	1	0		18,1,962,1	2,3,95,3
1	7	12	1	1	2	1		18,1,962,1	2,3,295,3
1	7	5	1	1	1	0		18,1,962,1	2,3,115,3
1	7	5	2	1	1	0		18,1,962,1	2,3,115,3
1	7	6	1	1	1	0		18,1,962,1	2,3,115,3
1	7	6	2	1	1	0		18,1,962,1	2,3,115,3
