Id	QuestionContent	Answer_A	Answer_B	Answer_C	Answer_D	CorrectIdx	QuestionPic
1	剑侠情缘是哪个工作室开发的？	烈火	彩鲸	西山居	亚丁	3	\image\ui\ui1\tasksystem\award\award_money.spr
2	头顶有惊叹号的人表示什么？	有任务可以交	<color=yellow>有任务可以接【正确答案】<color>	是一个表情	他很愤怒	2	
3	按下什么键可以打开小地图？	Ctrl键	Alt键	<color=yellow>Tab键【正确答案】<color>	Enter键	3	
4	这个图标表示的是什么？	是‘背包’面板	是‘技能’面板	是‘任务’面板	<color=yellow>是‘角色’面板【正确答案】<color>	4	\image\ui\002a\sidebar\btn_player.spr
5	这个图标表示的是什么？	是‘技能’面板	是‘任务’面板	<color=yellow>是‘背包’面板【正确答案】<color>	是‘生活技能’面板	3	\image\ui\002a\sidebar\btn_itembox.spr
6	这个图标表示的是什么？	是‘生活技能’面板	是‘组队’面板	是‘帮会家族’面板	<color=yellow>是‘技能’面板【正确答案】<color>	4	\image\ui\002a\sidebar\btn_fight.spr
7	这个图标表示的是什么？	是‘系统’面板	是‘角色’面板	<color=yellow>是‘生活技能’面板【正确答案】<color>	是‘人际关系’面板	3	\image\ui\002a\sidebar\btn_lifeskill.spr
8	这个图标表示的是什么？	是‘任务’面板	<color=yellow>是‘背包’面板【正确答案】<color>	是‘技能’面板	是‘角色’面板	1	\image\ui\002a\sidebar\btn_taskpanel.spr
9	这个图标表示的是什么？	是‘帮会家族’面板	<color=yellow>是‘人际关系’面板【正确答案】<color>	是‘组队’面板	是‘系统’面板	2	\image\ui\002a\sidebar\btn_relation.spr
10	这个图标表示的是什么？	是‘系统’面板	是‘生活技能’面板	<color=yellow>是‘组队’面板【正确答案】<color>	是‘任务’面板	3	\image\ui\001b\main\btn_sidebar_team.spr
11	这个图标表示的是什么？	是‘帮会家族’面板	是‘背包’面板	是‘技能’面板	是‘组队’面板	1	\image\ui\002a\sidebar\btn_kin.spr
12	这个图标表示的是什么？	是‘人际关系’面板	是‘系统’面板	是‘任务’面板	是‘角色’面板	2	\image\ui\001b\main\btn_sidebar_system.spr
13	有一只黑猫在河边散步，忽然见到一只白猫溺水了，便将它救了上来。白猫被救上来后，对黑猫讲了一句什么话？	甭管黑猫白猫，能游泳的就是好猫	别以为染了个发我就不认识你了	猫怎么会游泳的？	<color=yellow>喵~【正确答案】<color>	4	
14	你知道一件装备要怎么才能穿到身上去吗？	鼠标左键点击装备	<color=yellow>鼠标右键点击装备【正确答案】<color>	鼠标滚轮点击装备	对着天空大声喊：“装备，速速穿上！”	2	
15	我漂亮吗？	<color=yellow>你好漂亮【正确答案】<color>	你相当漂亮	你太漂亮了	你已经无法用漂亮来形容	1	
16	我这铺子开出来，都能为义军提供些什么便利？	可以购买武器，修理装备	可以购买药品，修理装备	可以购买防具，修理装备	<color=yellow>可以购买首饰，修理装备【正确答案】<color>	4	
17	精力是用来干吗的？	精力就是精血，是指我的血量上限	精力指的元气，是指我的内力上限	精力用于生活技能中各种道具的制造	精力用于生活技能中各种道具的加工	3	
18	活力是用来干吗的?	活力就是精血，是指我的血量上限	活力指的元气，是指我的内力上限	活力用于生活技能中各种道具的制造	活力用于生活技能中各种道具的加工	4	
19	精力和活力要怎么恢复？	通过做师门任务，师徒任务，帮会任务恢复	通过做宋金战场，随机任务，离线托管恢复	通过做世界任务，剧情任务恢复	通过做随机任务，主线任务，离线托管恢复	3	
20	如何使用自动寻路？	按下F4键	按下F键	按下F4键打开任务面板，点面板下方追踪按钮	按下F4键打开任务面板，点黄色带下划线字体	4	
21	下列关于如何使用快捷栏的操作哪个不正确？	将道具图标拖动到快捷栏，点1~0的数字键操作	将技能图标拖动到快捷栏，点1~0的数字键操作	将装备图标拖动到快捷栏，在快捷栏上点鼠标右键操作	在图标上点数字键选中，以后就用这个键操作	4	
22	如何在背包中使用道具？	在道具图标上按下鼠标左键	在道具图标上按下鼠标右键	对着道具栏大吼：“快用！不用我打你！”	对着道具栏大吼：“使用”	2	
23	下列关于如何修理装备的答案哪个不正确？	找铁匠铺老板	找首饰铺老板	找各个店铺老板都可以	找秋姨修理	4	
24	下列关于如何组队的答案哪个不正确？	打开组队面板，加入某个队伍	用CTRL+右键点击某人，在弹处菜单中选择组队	直接点某人，然后按下组队面板按钮	用CTRL+右键点击某人，在弹处菜单中选择入队	3	
25	如何选择疗伤点？	在哪个城市、村庄下线，疗伤点就是那里	在哪个城市、村庄买过药品，疗伤点就是那里	在哪个城市、村庄点击储物箱，设置之后就在那里	没有疗伤点，是系统随机传送的	3	
26	下列关于如何聊天的答案哪个不正确？	按下回车键，在聊天栏输入消息，再按回车键发送	鼠标点击聊天栏，在其中输入消息，再按回车键发送	CTRL+左键点选某人，可在聊天栏输入给他的对话	点中某人，聊天栏就自动开启了	4	
27	好了，我要开了，这位客官，你是买单还是买双？	买双	买单	先看看	跳过这把	1	
28	好嘞！再来一把，这把您老买双还是买单？	买双	买单	先看看	跳过这把	2	
29	买了买了，买双买单，多买多赢喽！	买双	买单	先看看	跳过这把	1	
30	这个机关该朝哪个方向转动？	往东	往南	往西	往北	4	
31	这个机关该朝哪个方向转动？	往东	往南	往西	往北	3	
32	这个机关该朝哪个方向转动？	往东	往南	往西	往北	2	
33	这个机关该朝哪个方向转动？	往东	往南	往西	往北	1	
34	我应该去哪里寻找同伴？	新手村	城市	<color=yellow>野外地图和逍遥谷<color>	宋金战场	3	
35	野外地图目前开放了哪些？	全开放了	<color=yellow>15级-55级<color>	100级以上	55-90级	2	
36	说服同伴必须携带什么道具？	<color=yellow>不同等级的“名帖”<color>	直接抓回去	黄金白银	各色礼单	1	
37	15-55级地图需要用什么名帖？	<color=yellow>镶边帛帖<color>	穿珠银帖	鎏金玉帖	大红拜帖	1	
