TemplateId	Distance
9	20
10	20
11	20
22	20
23	20
27	20
28	20
43	20
45	20
47	20
54	20
55	20
56	20
57	20
58	20
59	20
60	20
61	20
63	20
71	20
73	20
74	20
77	20
78	20
86	20
90	20
101	20
105	20
113	20
115	20
116	20
125	20
126	20
129	20
130	20
131	20
133	20
158	20
166	20
167	20
168	20
169	20
170	20
171	20
172	20
173	20
179	20
203	20
206	20
214	20
215	20
216	20
217	20
227	20
243	20
246	20
257	20
258	20
259	20
260	20
261	20
262	15
263	15
264	15
265	15
674	20
692	20
693	20
694	20
695	20
715	20
730	15
731	15
755	20
756	15
757	20
758	20
773	20
793	20
799	20
804	20
805	20
806	20
816	20
822	20
824	20
826	20
866	20
867	20
868	20
872	20
1132	20
1134	20
1134	20
1146	20
1170	20
1171	20
1404	20
1406	20
2239	20
11042	20
11043	20
