Index	ImagePath
1	\image\icon\task\prize_expens.spr
2	\image\icon\task\prize_money.spr
3	\image\icon\task\prize_name.spr
4	\image\icon\task\prize_repute.spr
5	\image\icon\task\education_01.spr
6	\image\icon\task\jiangnan_2130.spr
7	\image\icon\task\zhongyuan_2130.spr
8	\image\icon\task\xinan_2130.spr
9	\image\icon\task\jiangnan_3140.spr
10	\image\icon\task\zhongyuan_3140.spr
11	\image\icon\task\xinan_3140.spr
12	\image\icon\task\jiangnan_4150.spr
13	\image\icon\task\zhongyuan_4145.spr
14	\image\icon\task\zhongyuan_4650.spr
15	\image\icon\task\xinan_4150.spr
16	\image\icon\task\zhongyuan_5160.spr
17	\image\icon\task\jiangnan_5160.spr
18	\image\icon\task\xinan_5160.spr
19	\image\icon\task\xinan_6170.spr
20	\image\icon\task\jiangnan_6170.spr
21	\image\icon\task\zhongyuan_6170.spr
22	\image\icon\task\jiangnan_7180.spr
23	\image\icon\task\xinan_7180.spr
24	\image\icon\task\zhongyuan_7180.spr
25	\image\icon\task\zhongyuan_8190.spr
26	\image\icon\task\jiangnan_8190.spr
27	\image\icon\task\xinan_8190.spr
28	\image\icon\task\prize_energy.spr
29	\image\icon\task\prize_vires.spr
30	\image\icon\fightskill\shaolin\chanyuangong.spr
31	\image\icon\fightskill\shaolin\zuibaxiangun.spr
32	\image\icon\fightskill\tianwang\benleizuanlongqiang.spr
33	\image\icon\fightskill\tianwang\zhanlongjue.spr
34	\image\icon\fightskill\tangmen\jiguanmishu.spr
35	\image\icon\fightskill\tangmen\qijueshaguang.spr
36	\image\icon\fightskill\wudu\zhuhaqingming.spr
37	\image\icon\fightskill\wudu\huagumianzhang.spr
38	\image\icon\fightskill\emei\foguangzhanqi.spr
39	\image\icon\fightskill\emei\jianyingfoguang1.spr
40	\image\icon\fightskill\cuiyan\shimianmaifu.spr
41	\image\icon\fightskill\cuiyan\guiqulaixi.spr
42	\image\icon\fightskill\gaibang\qinlonggong.spr
43	\image\icon\fightskill\gaibang\dagouzhenfa.spr
44	\image\icon\fightskill\tianren\feihongwuji1.spr
45	\image\icon\fightskill\tianren\shufuzhou1.spr
46	\image\icon\fightskill\wudang\wudangjiuyanggong.spr
47	\image\icon\fightskill\wudang\mizhonghuanying.spr
48	\image\icon\fightskill\kunlun\wurenwuwo1.spr
49	\image\icon\fightskill\kunlun\leitingjue1.spr
50	\image\icon\fightskill\mingjiao\jiuxihunyang.spr
51	\image\icon\fightskill\mingjiao\shenghuolingfa.spr
52	\image\icon\fightskill\daliduanshi\miaodizhi.spr
53	\image\icon\fightskill\daliduanshi\jingtianyijian.spr
54	\image\item\other\scriptitem\hunshi.spr
55	\image\item\huodong\snowbox1.spr
56	\image\item\huodong\xingyuexia.spr
57	\image\item\other\scriptitem\dsb_01_0.spr
58	\image\item\other\scriptitem\jianglibaoxiang_jin.spr
