MAPID	POSX	POSY
1	1360	3129
1	1369	3099
1	1547	3158
1	1398	3153
7	1563	3289
7	1548	3249
7	1564	3407
7	1595	3287
4	1528	3194
4	1625	3309
4	1544	3299
4	1605	3214
5	1637	3122
5	1614	3146
5	1679	3097
5	1638	3107
6	1512	3255
6	1574	3104
6	1481	3150
6	1476	3210
2	1827	3542
2	1747	3566
2	1824	3446
2	1752	3594
8	1721	3451
8	1720	3376
8	1706	3269
8	1780	3374
3	1730	3230
3	1587	3152
3	1640	3148
3	1629	3167
25	1636	3171
25	1598	3053
25	1539	3315
25	1675	3222
23	1472	3170
23	1611	3000
23	1537	2979
23	1566	3101
27	1673	3249
27	1605	3257
27	1504	3224
27	1624	3228
28	1438	3359
28	1483	3403
28	1545	3337
28	1548	3277
26	1621	3138
26	1583	3329
26	1493	3174
26	1584	3195
29	1601	3958
29	1753	3907
29	1583	4051
29	1628	3946
24	1776	3536
24	1754	3394
24	1716	3303
24	1793	3517







