Session	EventType	AwardFile	AwardSegFile	PreMaxLeague	MatchDate	Desc	ExInfo
活动届数	活动类型	奖励表	奖励类型表	每个准备场最大队伍(有替补场上限400人，无200人)	家族竞技举行的日期	描述	备注
1	1	award_session_1	award_session_1_type.txt	12	200902	打雪仗	2009年2月
2	2	award_session_1	award_session_1_type.txt	12	200903	赛龙舟	2009年3月
3	1	award_session_1	award_session_1_type.txt	12	200904	打雪仗	2009年4月
4	2	award_session_1	award_session_1_type.txt	12	200905	赛龙舟	2009年5月
5	1	award_session_1	award_session_1_type.txt	12	200906	打雪仗	2009年6月
6	2	award_session_1	award_session_1_type.txt	12	200907	赛龙舟	2009年7月
7	1	award_session_1	award_session_1_type.txt	12	200908	打雪仗	2009年8月
8	3	award_session_1	award_session_1_type.txt	12	200909	守护先祖之魂	2009年9月
9	2	award_session_1	award_session_1_type.txt	12	200910	赛龙舟	2009年10月
10	1	award_session_1	award_session_1_type.txt	12	200911	打雪仗	2009年11月
11	3	award_session_1	award_session_1_type.txt	12	200912	守护先祖之魂	2009年12月
12	2	award_session_1	award_session_1_type.txt	12	201001	赛龙舟	2010年1月
13	1	award_session_1	award_session_1_type.txt	12	201002	打雪仗	2010年2月
14	3	award_session_1	award_session_1_type.txt	12	201003	守护先祖之魂	2010年3月
15	2	award_session_1	award_session_1_type.txt	12	201004	赛龙舟	2010年4月
16	1	award_session_1	award_session_1_type.txt	12	201101	打雪仗	2011年1月
17	3	award_session_1	award_session_1_type.txt	12	201102	守护先祖之魂	2011年2月
18	2	award_session_1	award_session_1_type.txt	12	201103	赛龙舟	2011年3月
19	1	award_session_1	award_session_1_type.txt	12	201104	打雪仗	2011年4月
20	4	award_session_1	award_session_1_type.txt	12	201105	城堡之战	2011年5月
21	1	award_session_1	award_session_1_type.txt	12	201106	打雪仗	2011年6月
22	2	award_session_1	award_session_1_type.txt	12	201107	赛龙舟	2011年7月
23	3	award_session_1	award_session_1_type.txt	12	201108	守护先祖之魂	2011年8月
24	4	award_session_1	award_session_1_type.txt	12	201109	城堡之战	2011年9月
25	1	award_session_1	award_session_1_type.txt	12	201110	打雪仗	2011年10月
26	2	award_session_1	award_session_1_type.txt	12	201111	赛龙舟	2011年11月
27	3	award_session_1	award_session_1_type.txt	12	201112	守护先祖之魂	2011年12月
28	4	award_session_1	award_session_1_type.txt	12	201201	城堡之战	2012年1月
29	1	award_session_1	award_session_1_type.txt	12	201202	打雪仗	2012年2月
30	2	award_session_1	award_session_1_type.txt	12	201203	赛龙舟	2012年3月
31	3	award_session_1	award_session_1_type.txt	12	201204	守护先祖之魂	2012年4月
32	4	award_session_1	award_session_1_type.txt	12	201205	城堡之战	2012年5月
33	1	award_session_1	award_session_1_type.txt	12	201206	打雪仗	2012年6月
34	2	award_session_1	award_session_1_type.txt	12	201207	赛龙舟	2012年7月
35	3	award_session_1	award_session_1_type.txt	12	201208	守护先祖之魂	2012年8月
36	4	award_session_1	award_session_1_type.txt	12	201209	城堡之战	2012年9月
37	1	award_session_1	award_session_1_type.txt	12	201210	打雪仗	2012年10月
38	2	award_session_1	award_session_1_type.txt	12	201211	赛龙舟	2012年11月
39	3	award_session_1	award_session_1_type.txt	12	201212	守护先祖之魂	2012年12月
40	4	award_session_1	award_session_1_type.txt	12	201301	城堡之战	2013年1月
41	1	award_session_1	award_session_1_type.txt	12	201302	打雪仗	2013年2月
42	2	award_session_1	award_session_1_type.txt	12	201303	赛龙舟	2013年3月
43	3	award_session_1	award_session_1_type.txt	12	201304	守护先祖之魂	2013年4月
44	4	award_session_1	award_session_1_type.txt	12	201305	城堡之战	2013年5月
45	1	award_session_1	award_session_1_type.txt	12	201306	打雪仗	2013年6月
46	2	award_session_1	award_session_1_type.txt	12	201307	赛龙舟	2013年7月
47	3	award_session_1	award_session_1_type.txt	12	201308	守护先祖之魂	2013年8月
48	4	award_session_1	award_session_1_type.txt	12	201309	城堡之战	2013年9月
49	1	award_session_1	award_session_1_type.txt	12	201310	打雪仗	2013年10月
50	2	award_session_1	award_session_1_type.txt	12	201311	赛龙舟	2013年11月
51	3	award_session_1	award_session_1_type.txt	12	201312	守护先祖之魂	2013年12月
52	4	award_session_1	award_session_1_type.txt	12	201401	城堡之战	2014年1月
