Name	Suffix	IsDarkness	Level	MagicName	MA1Min	MA1Max	MA2Min	MA2Max	MA3Min	MA3Max	ReqLevel	ItemValue	Series	MeleeWeapon	RangeWeapon	Armor	Belt	Helm	Cuff	Boots	Ring	Amulet	Necklace	Pendant	Horse	Mask	Book	PartnerRing	PartnerBody	PartnerWeapon	PartnerCuff	PartnerAmulet
Phần trăm sát thương ngoại	Phá Quân	0	1	addphysicsdamage_p	5	10	-1	-1	0	0	1	1000	-1	200000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	2	addphysicsdamage_p	11	20	-1	-1	0	0	2	1670	-1	120000	120000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	3	addphysicsdamage_p	21	30	-1	-1	0	0	3	2780	-1	72000	72000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	4	addphysicsdamage_p	31	40	-1	-1	0	0	4	4660	-1	43000	43000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	5	addphysicsdamage_p	41	50	-1	-1	0	0	5	7700	-1	26000	26000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	6	addphysicsdamage_p	51	60	-1	-1	0	0	6	12500	-1	16000	16000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	7	addphysicsdamage_p	61	70	-1	-1	0	0	7	22300	-1	9000	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	8	addphysicsdamage_p	71	80	-1	-1	0	0	8	33400	-1	6000	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	9	addphysicsdamage_p	81	90	-1	-1	0	0	9	59000	-1	3400	3400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	10	addphysicsdamage_p	91	100	-1	-1	0	0	10	200000	-1	1000	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	11	addphysicsdamage_p	101	110	-1	-1	0	0	1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	12	addphysicsdamage_p	111	120	-1	-1	0	0	2	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	13	addphysicsdamage_p	121	130	-1	-1	0	0	3	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	14	addphysicsdamage_p	131	140	-1	-1	0	0	4	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	15	addphysicsdamage_p	141	150	-1	-1	0	0	5	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phần trăm sát thương ngoại	Phá Quân	0	16	addphysicsdamage_p	151	160	-1	-1	0	0	6	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
