Name	kind	Id	Special	Style	Rate	MagicClass	Color	Helm	Armor	Belt	Cuff	Boots	Weapon	Necklace	Ring	Pendant	Amulet
Hoàng Quang Thạch	Điểm Hp, Mp	1	0	0	1908120	lifeandmana_v	gold	1	1	1	1	1					
Diên Dương Thạch	Tỷ lệ Hp, Mp	2	0	0	1908120	lifeandmana_p	gold	1	1	1	1	1					
Dạ Mạc Thạch	Kháng độc	3	1	0	19336	resist2	gold						1				
Hạ Dương Thạch	Kháng phổ	4	1	0	12700	resist1	gold							1			
Kiêu Dương Thạch	Kháng băng	5	1	0	16328	resist3	gold								1		
Lôi Đình Ngọc	Kháng lôi	6	1	0	6460	resist5	gold									1	
Băng Phong Thạch	Kháng hỏa	7	1	0	268564	resist4	gold										1
Cực Linh Ngọc	Giảm thời gian suy yếu	8	1	0	80672	resist_time2	orange	1									
Tuyệt Linh Ngọc	Giảm thời gian thọ thương	9	1	0	112308	resist_time1	orange		1								
Chấn Linh Ngọc	Giảm thời gian làm chậm	10	1	0	139520	resist_time3	orange			1							
Minh Linh Ngọc	Giảm thời gian choáng	11	1	0	9584	resist_time5	orange				1						
Hàn Linh Ngọc	Giảm thời gian bỏng	12	1	0	39540	resist_time4	orange					1					
Chu Thiềm Thạch	Giảm tỷ lệ suy yếu	13	1	0	19336	resist_rate2	orange						1				
Chấn Lộ Thạch	Giảm tỷ lệ thọ thương	14	1	0	12700	resist_rate1	orange							1			
Thái Hư Thạch	Giảm tỷ lệ làm chậm	15	1	0	16328	resist_rate3	orange								1		
Thu Huy Thạch	Giảm tỷ lệ choáng	16	1	0	6460	resist_rate5	orange									1	
Nguyệt Quang Thạch	Giảm tỷ lệ bỏng	17	1	0	268564	resist_rate4	orange										1
Tham Lang Thạch	Giảm thời gian trạng thái bất lợi	18	1	0	381624	resist_time0_sp	orange	1	1	1	1	1					
Ngạo Sương Thạch	Giảm tỷ lệ trạng thái bất lợi	19	1	0	323388	resist_rate0_sp	orange						1	1	1	1	1
Mị Ảnh Thạch	Tăng thời gian trạng thái bất lợi	20	1	0	381624	attack_time0_sp	orange	1	1	1	1	1					
Linh Phong Thạch	Tăng tỷ lệ trạng thái bất lợi	21	1	0	323388	attack_rate0_sp	orange						1	1	1	1	1
Lăng Thiên Ngọc	Kháng tất cả	22	0	0	2155920	resist0	gold						1	1	1	1	1
Ô Sương Ngọc	Tỷ lệ  độc ngoại	23	0	0	107796	phy_atk_p2	red						1	1	1	1	1
Thương Lang Ngọc	Tỷ lệ phổ ngoại 	24	0	0	107796	phy_atk_p1	red						1	1	1	1	1
Nhã Hàn Ngọc	Tỷ lệ băng ngoại 	25	0	0	107796	phy_atk_p3	red						1	1	1	1	1
Lạc Lôi Ngọc	Tỷ lệ lôi ngoại 	26	0	0	107796	phy_atk_p5	red						1	1	1	1	1
Chích Viêm Ngọc	Tỷ lệ hỏa ngoại 	27	0	0	107796	phy_atk_p4	red						1	1	1	1	1
Thực Cốt Ngọc	Tỷ lệ độc nội	28	0	0	107796	mag_atk_p2	red						1	1	1	1	1
Đoạn Hải Ngọc	Tỷ lệ phổ nội	29	0	0	107796	mag_atk_p1	red						1	1	1	1	1
Triệt Cốt Ngọc	Tỷ lệ băng nội	30	0	0	107796	mag_atk_p3	red						1	1	1	1	1
Vân Phách Ngọc	Tỷ lệ lôi nội	31	0	0	107796	mag_atk_p5	red						1	1	1	1	1
Sí Phần Ngọc	Tỷ lệ hỏa nội	32	0	0	107796	mag_atk_p4	red						1	1	1	1	1
Hổ Côn Ngọc	Giảm thời gian ngũ hành	33	1	0	381624	attack_time0	orange	1	1	1	1	1					
Doãn Tuyết Ngọc	Giảm tỷ lệ ngũ hành	34	1	0	323388	attack_rate0	orange						1	1	1	1	1
Ly Tâm Thạch	Thêm điểm chí mạng	35	0	0	1616940	add_cri	red						1	1	1	1	1
Thiên Cơ Thạch	Giảm điểm chí mạng	36	0	0	1908120	reduce_cri	gold	1	1	1	1	1					
Điểm Dật Thạch	Điểm kinh nghiệm đánh quái	37	1	4	0	addexp_p	blue	1	1	1	1	1					
Tụ Văn Thạch	Kỹ năng môn phái cấp 10 +1	38	1	1	1	level10_added	purple						1				
Mộ Quang Thạch	Kỹ năng môn phái cấp 30 +1	39	1	1	1	level30_added	purple						1				
Trai Tâm Thạch	Kỹ năng môn phái cấp 40 +1	40	1	1	1	level40_added	purple						1				
Chất Cốc Thạch	Kỹ năng môn phái cấp 50 +1	41	1	1	1	level50_added	purple						1				
Quang Chú Thạch	Kỹ năng môn phái cấp 60 +1	42	1	1	1	level60_added	purple						1				
Trục Nhật Thạch	Kỹ năng môn phái cấp 70 +1	43	1	1	1	level70_added	purple						1				
Đa Thái Thạch	Kỹ năng môn phái cấp 90 +1	44	1	1	1	level90_added	purple						1				
Huyền Ảnh Thạch	Kỹ năng môn phái cấp 100 +1	45	1	1	1	level100_added	purple						1				
