Name	Suffix	IsDarkness	Level	MagicName	MA1Min	MA1Max	MA2Min	MA2Max	MA3Min	MA3Max	ReqLevel	ItemValue	Series	MeleeWeapon	RangeWeapon	Armor	Belt	Helm	Cuff	Boots	Ring	Amulet	Necklace	Pendant	Horse	Mask	Book	PartnerRing	PartnerBody	PartnerWeapon	PartnerCuff	PartnerAmulet
外功伤害百分比	破军	0	1	addphysicsdamage_p	10	10	-1	-1	0	0	1	1000	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
外功伤害百分比	破军	0	2	addphysicsdamage_p	20	20	-1	-1	0	0	2	1670	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
外功伤害百分比	破军	0	3	addphysicsdamage_p	30	30	-1	-1	0	0	3	2780	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
外功伤害百分比	破军	0	4	addphysicsdamage_p	40	40	-1	-1	0	0	4	4660	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
外功伤害百分比	破军	0	5	addphysicsdamage_p	50	50	-1	-1	0	0	5	7700	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
外功伤害百分比	破军	0	6	addphysicsdamage_p	60	60	-1	-1	0	0	6	12500	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
外功伤害百分比	破军	0	7	addphysicsdamage_p	70	70	-1	-1	0	0	7	22300	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
外功伤害百分比	破军	0	8	addphysicsdamage_p	80	80	-1	-1	0	0	8	33400	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
外功伤害百分比	破军	0	9	addphysicsdamage_p	90	90	-1	-1	0	0	9	59000	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
外功伤害百分比	破军	0	10	addphysicsdamage_p	100	100	-1	-1	0	0	10	200000	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
外功伤害百分比	破军	0	11	addphysicsdamage_p	110	110	-1	-1	0	0	1	200000	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
外功伤害百分比	破军	0	12	addphysicsdamage_p	120	120	-1	-1	0	0	2	200000	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
外功伤害百分比	破军	0	13	addphysicsdamage_p	130	130	-1	-1	0	0	3	200000	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
