TRAP	TRAPX	TRAPY
random1_1	46176	107296
random1_2	46496	107200
random1_3	46528	106624
random1_4	46560	107712
random1_5	46912	106240
random1_6	46880	106912
random1_7	47520	105152
random1_8	47328	105792
random1_9	47296	105472
random1_10	47776	105728
random2_1	48384	105504
random2_2	48768	105984
random2_3	49376	106688
random2_4	49888	107392
random2_5	50464	107264
random2_6	50784	107104
random2_7	51168	107168
random2_8	51680	106688
random2_9	52192	105792
random2_10	52320	106880
random3_1	53024	105856
random3_2	53440	105728
random3_3	53984	105728
random3_4	54432	105632
random3_5	54848	105248
random3_6	55328	104896
random3_7	55744	105024
random3_8	56544	105248
random3_9	57152	104160
random3_10	57056	104928
random4_1	57632	103936
random4_2	58176	102912
random4_3	57952	103584
random4_4	58464	101824
random4_5	58976	102144
random4_6	58944	102752
random4_7	59296	103456
random4_8	59840	103808
random4_9	60800	104288
random4_10	60448	103968
random5_1	60992	104768
random5_2	61376	104992
random5_3	61792	105056
random5_4	62144	104768
random5_5	62816	103776
random5_6	62464	104032
random5_7	63328	103424
random5_8	63840	103008
random5_9	64160	102496
random5_10	64544	101952
random6_1	65248	101952
random6_2	65600	102688
random6_3	66048	102880
random6_4	66496	103136
random6_5	66720	103648
random6_6	67040	104416
random6_7	67104	105056
random6_8	67136	106432
random6_9	67136	105728
random6_10	67424	107072
random7_1	66880	112960
random7_2	67264	108736
random7_3	67264	112768
random7_4	67584	109312
random7_5	67712	112896
random7_6	68128	110112
random7_7	68448	112320
random7_8	68544	111648
random7_9	68096	112736
random7_10	68608	110912
random8_1	65952	120224
random8_2	66336	119680
random8_3	66624	113568
random8_4	66592	114592
random8_5	66848	115424
random8_6	66816	116224
random8_7	66880	118560
random8_8	66592	119104
random8_9	67072	117184
random8_10	67328	118336
random9_1	61568	122336
random9_2	62240	122048
random9_3	62176	123136
random9_4	62848	122208
random9_5	63872	120736
random9_6	63584	122208
random9_7	64128	121632
random9_8	64512	120672
random9_9	64928	120576
random9_10	65440	120384
random10_1	58240	122240
random10_2	58112	122816
random10_3	58464	122528
random10_4	59296	122080
random10_5	58912	122400
random10_6	59840	121952
random10_7	60288	121984
random10_8	60640	121952
random10_9	61056	122432
random10_10	61024	121888
