TrapClass	TrapX	TrapY	DesX	DesY
trap_1	54144	100672	54176	100480
trap_1	54176	100640		
trap_1	54208	100608		
trap_1	54240	100576		
trap_1	54240	100608		
trap_1	54208	100640		
trap_1	54176	100672		
trap_1	54176	100704		
trap_1	54112	100704		
trap_1	54176	100736		
trap_1	54112	100736		
trap_1	54272	100544		
trap_1	54304	100512		
trap_1	54336	100480		
trap_1	54336	100512		
trap_1	54368	100512		
trap_1	54304	100544		
trap_1	54272	100576		
trap_1	54368	100480		
trap_1	54368	100480		
trap_1	54400	100416		
trap_2	51744	95968	51712	96256
trap_2	51712	95968		
trap_2	51712	96000		
trap_2	51680	96000		
trap_2	51680	96032		
trap_2	51608	96064		
trap_2	51648	96064		
trap_2	51616	96096		
trap_2	51584	96128		
trap_2	51552	96160		
trap_2	51520	96192		
trap_2	51488	96224		
trap_2	51456	96224		
trap_2	51456	96256		
trap_3	49504	93600	49664	93920
trap_3	49472	93632		
trap_3	49440	93664		
trap_3	49408	93696		
trap_3	49376	93728		
trap_3	49344	93760		
trap_3	49472	93600		
trap_3	49440	93632		
trap_3	49408	93664		
trap_3	49376	93696		
trap_3	49344	93728		
trap_3	49504	93568		
trap_3	49504	93536		
trap_3	49568	93568		
trap_3	49600	93568		
trap_3	49472	93536		
trap_3	49472	93504		
trap_3	49504	93504		
trap_3	49312	93792		
trap_3	49280	93792		
trap_3	49280	93728		
trap_3	49312	93696		
trap_3	49312	93696		
trap_3	49248	93792		
trap_3	49248	93728		
trap_4	51328	91008	51360	90784
trap_4	51360	90976		
trap_4	51392	90944		
trap_4	51424	90912		
trap_4	51456	90880		
trap_4	51488	90848		
trap_4	51520	90816		
trap_4	51552	90784		
trap_4	51552	90816		
trap_4	51520	90848		
trap_4	51488	90880		
trap_4	51456	90912		
trap_4	51424	90944		
trap_4	51392	90976		
trap_4	51360	91008		
trap_4	51360	91040		
trap_4	51584	90784		
trap_4	51552	90752		
trap_4	51584	90720		
trap_4	51616	90784		
trap_4	51328	91040		
trap_4	51584	90688		
trap_4	51616	90720		
trap_4	51616	90752		
trap_4	51296	91008		
trap_4	51584	90752		
trap_4	51296	91072		
trap_4	51296	91072		
trap_5	56800	86688	56832	87072
trap_5	56800	86720		
trap_5	56768	86784		
trap_5	56768	86720		
trap_5	56768	86688		
trap_5	56864	86784		
trap_5	56896	86816		
trap_5	56928	86848		
trap_5	56960	86880		
trap_5	56992	86912		
trap_5	57024	86944		
trap_5	57056	86976		
trap_5	57088	87008		
trap_5	56864	86752		
trap_5	56896	86784		
trap_5	56928	86816		
trap_5	56960	86848		
trap_5	56992	86880		
trap_5	57024	86912		
trap_5	57056	86944		
trap_5	57088	86976		
trap_5	57120	87008		
trap_5	57152	87008		
trap_5	56864	86720		
trap_5	56832	86752		
trap_5	57120	87008		
trap_5	57120	87040		
trap_5	57120	87040		
trap_5	57152	87040		
trap_5	57152	87040		
trap_5	57152	87072		
lock_1	51936	101600		
lock_1	51968	101600		
lock_1	51968	101632		
lock_1	52000	101632		
lock_1	52032	101632		
lock_1	52032	101664		
lock_1	52064	101664		
lock_1	52064	101696		
lock_2	53664	97088		
lock_2	53696	97088		
lock_2	53696	97056		
lock_2	53728	97056		
lock_2	53728	97024		
lock_2	53760	97024		
lock_2	53760	96992		
lock_2	53792	96992		
lock_2	53792	96960		
lock_2	53824	96960		
lock_2	53824	96928		
lock_3	50720	95264		
lock_3	50752	95264		
lock_3	50752	95232		
lock_3	50784	95232		
lock_3	50784	95200		
lock_3	50816	95200		
lock_3	50816	95168		
lock_3	50848	95168		
lock_3	50848	95136		
lock_3	50880	95136		
lock_3	50880	95104		
lock_3	50912	95104		
lock_3	50912	95072		
lock_3	50944	95072		
lock_3	50944	95040		
lock_3	50976	95040		
lock_3	50976	95008		
lock_4	49312	91392		
lock_4	49312	91424		
lock_4	49344	91424		
lock_4	49344	91456		
lock_4	49376	91456		
lock_4	49376	91488		
lock_4	49408	91488		
lock_4	49408	91520		
lock_4	49440	91520		
lock_4	49440	91552		
lock_4	49472	91552		
lock_4	49472	91584		
lock_4	49504	91584		
lock_5	53888	89984		
lock_5	53920	89984		
lock_5	53920	90016		
lock_5	53952	90016		
lock_5	53952	90048		
lock_5	53984	90048		
lock_5	53984	90080		
lock_5	54016	90080		
lock_5	54016	90112		
lock_5	54048	90112		
