POS_X	POS_Y	TYPE	POWER
1855	3653	SHIBING	1
1859	3649	SHIBING	1
1855	3645	XIAOWEI	1
1850	3648	TONGLING	1
1852	3640	FUJIANG	1
1869	3598	SHIBING	1
1869	3604	SHIBING	1
1865	3607	XIAOWEI	1
1862	3603	TONGLING	1
1858	3609	FUJIANG	1
1827	3549	SHIBING	1
1824	3547	SHIBING	1
1824	3553	XIAOWEI	1
1830	3555	TONGLING	1
1833	3547	FUJIANG	1
1788	3481	SHIBING	1
1791	3484	SHIBING	1
1786	3484	XIAOWEI	1
1789	3487	TONGLING	1
1785	3490	FUJIANG	1
1774	3414	SHIBING	1
1771	3416	SHIBING	1
1770	3420	XIAOWEI	1
1773	3420	TONGLING	1
1776	3418	FUJIANG	1
1815	3429	SHIBING	1
1819	3428	SHIBING	1
1818	3432	XIAOWEI	1
1817	3432	TONGLING	1
1813	3421	FUJIANG	1
1821	3498	SHIBING	1
1824	3501	SHIBING	1
1820	3494	XIAOWEI	1
1817	3500	TONGLING	1
1828	3500	FUJIANG	1
1986	3443	SHIBING	2
1983	3441	SHIBING	2
1985	3438	XIAOWEI	2
1982	3436	TONGLING	2
1983	3429	FUJIANG	2
1929	3274	SHIBING	2
1926	3272	SHIBING	2
1923	3277	XIAOWEI	2
1921	3274	TONGLING	2
1923	3270	FUJIANG	2
1933	3195	SHIBING	2
1937	3195	SHIBING	2
1935	3200	XIAOWEI	2
1933	3205	TONGLING	2
1937	3205	FUJIANG	2
1964	3290	SHIBING	2
1957	3283	SHIBING	2
1955	3288	XIAOWEI	2
1957	3295	TONGLING	2
1961	3297	FUJIANG	2
2019	3354	SHIBING	2
2017	3357	SHIBING	2
2015	3353	XIAOWEI	2
2019	3348	TONGLING	2
2023	3350	FUJIANG	2
2015	3390	SHIBING	2
2018	3387	SHIBING	2
2015	3385	XIAOWEI	2
2017	3380	TONGLING	2
2014	3378	FUJIANG	2
1988	3348	SHIBING	2
1991	3346	SHIBING	2
1988	3342	XIAOWEI	2
1994	3346	TONGLING	2
1995	3352	FUJIANG	2
