Id	NPCId	EffectNpcId	Type	TypeLevel	LifeRatio	Rate	IsDrop	name
1	2025	2025	1	1	100	30	0	劣质机关人
2	2204	2204	1	1	100	30	0	义军叛徒
3	2203	2203	1	1	100	30	0	强贼
4	2054	2054	1	1	100	30	0	犯戒僧人
5	2055	2055	1	1	100	30	0	犯戒头陀
6	2049	2049	1	1	100	30	0	护陵刀兵
7	2221	2221	1	1	100	30	0	挖土工匠
8	2222	2222	1	1	100	30	0	砌石工匠
9	2050	2050	1	1	100	30	0	护陵弓手
10	2051	2051	1	1	100	30	0	参客
11	2052	2052	1	1	100	30	0	带刀人
12	2053	2053	1	1	100	30	0	雪山派除名弟子
13	2036	2036	1	1	100	30	0	蓝面人
14	2035	2035	1	1	100	30	0	红巾人
15	2207	2207	1	1	100	30	0	金国细作
16	2208	2208	1	1	100	30	0	拜师弟子
17	2215	2215	1	1	100	30	0	强盗
18	2216	2216	1	1	100	30	0	山林隐士
19	2044	2044	1	1	100	30	0	驻守弓兵
20	2043	2043	1	1	100	30	0	驻守枪兵
21	2213	2213	1	1	100	30	0	紫槐林强贼
22	2042	2042	1	1	100	30	0	苦修尼
23	2214	2214	1	1	100	30	0	金国行商
24	2209	2209	1	1	100	30	0	拐子
25	2210	2210	1	1	100	30	0	蒙古大夫
26	2037	2037	1	1	100	30	0	江湖刀客
27	2038	2038	1	1	100	30	0	江湖剑客
28	2039	2039	1	1	100	30	0	黑龙
29	2211	2211	1	1	100	30	0	腾力士
30	2212	2212	1	1	100	30	0	白灵
31	2219	2219	1	1	100	30	0	南蛮刀客
32	2220	2220	1	1	100	30	0	南蛮巫女
33	2047	2047	1	1	100	30	0	南蛮猎手
34	2045	2045	1	1	100	30	0	盐帮帮众
35	2046	2046	1	1	100	30	0	神秘刺客
36	2217	2217	1	1	100	30	0	大内随从
37	2218	2218	1	1	100	30	0	行脚商人
38	2033	2033	1	1	100	30	0	机关木人
39	2205	2205	1	1	100	30	0	机关铜人
40	2206	2206	1	1	100	30	0	铜角兽
41	2070	2070	1	1	100	30	0	护陵枪兵
42	2072	2072	1	1	100	30	0	冥府归客
43	2071	2071	1	1	100	30	0	护陵弩手
44	2224	2224	1	1	100	30	0	逃犯
45	2225	2225	1	1	100	30	0	蒙面刺客
46	2232	2232	1	1	100	30	0	螳螂拳师
47	2233	2233	1	1	100	30	0	金国密探
48	2064	2064	1	1	100	30	0	盐帮帮众
49	2065	2065	1	1	100	30	0	雇佣武士
50	2063	2063	1	1	100	30	0	游军枪兵
51	2231	2231	1	1	100	30	0	游军刀兵
52	2230	2230	1	1	100	30	0	唐家毒使
53	2062	2062	1	1	100	30	0	唐家弩手
54	2059	2059	1	1	100	30	0	霹雳锤
55	2226	2226	1	1	100	30	0	云游侠客
56	2227	2227	1	1	100	30	0	百花护法
57	2228	2228	1	1	100	30	0	乌衣剑士
58	2229	2229	1	1	100	30	0	竹林匪
59	2061	2061	1	1	100	30	0	马帮武师
60	2060	2060	1	1	100	30	0	马帮推手
61	2068	2068	1	1	100	30	0	南夷勇士
62	2069	2069	1	1	100	30	0	南夷祭司
63	2237	2237	1	1	100	30	0	土著巫女
64	2067	2067	1	1	100	30	0	捕快
65	2066	2066	1	1	100	30	0	乔装密探
66	2234	2234	1	1	100	30	0	过路旅客
67	2235	2235	1	1	100	30	0	行脚商贩
68	2238	2238	1	1	100	30	0	盗药人
69	2075	2075	1	1	100	30	0	山南暴民
70	2076	2076	1	1	100	30	0	山北盗匪
71	2239	2239	1	1	100	30	0	逃跑的和尚
72	2093	2093	1	1	100	30	0	建陵工匠
73	2252	2252	1	1	100	30	0	金国校尉
74	2092	2092	1	1	100	30	0	贪官家丁
75	2095	2095	1	1	100	30	0	穴居男野人
76	2096	2096	1	1	100	30	0	穴居小野人
77	2094	2094	1	1	100	30	0	穴居女野人
78	2077	2077	1	1	100	30	0	黑水刀客
79	2078	2078	1	1	100	30	0	黑水剑士
80	2086	2086	1	1	100	30	0	男影
81	2085	2085	1	1	100	30	0	女影
82	2246	2246	1	1	100	30	0	轻弩手
83	2247	2247	1	1	100	30	0	重甲兵
84	2083	2083	1	1	100	30	0	幽冥武士
85	2084	2084	1	1	100	30	0	白骨剑客
86	2244	2244	1	1	100	30	0	侍剑尊者
87	2245	2245	1	1	100	30	0	凌波仙子
88	2079	2079	1	1	100	30	0	石城劣兵
89	2080	2080	1	1	100	30	0	电光矛
90	2240	2240	1	1	100	30	0	小毛贼
91	2241	2241	1	1	100	30	0	寻宝旅人
92	2242	2242	1	1	100	30	0	带刀武士
93	2243	2243	1	1	100	30	0	弄蛇人
94	2081	2081	1	1	100	30	0	黄巾客
95	2082	2082	1	1	100	30	0	白面客
96	2250	2250	1	1	100	30	0	土山杀手
97	2251	2251	1	1	100	30	0	夷人刀客
98	2089	2089	1	1	100	30	0	南夷女巫
99	2090	2090	1	1	100	30	0	夷人武士
100	2248	2248	1	1	100	30	0	匪徒帮凶
101	2249	2249	1	1	100	30	0	邪恶绑匪
102	2087	2087	1	1	100	30	0	快刀客
103	2088	2088	1	1	100	30	0	快剑客
104	2119	2119	1	1	100	30	0	剿匪兵
105	2117	2117	1	1	100	30	0	武装的村民
106	2118	2118	1	1	100	30	0	暴怒的矿工
107	2134	2134	1	1	100	30	0	西夏游兵
108	2122	2122	1	1	100	30	0	襄阳官兵
109	2121	2121	1	1	100	30	0	漕帮道领
110	2120	2120	1	1	100	30	0	漕帮舵手
111	2126	2126	1	1	100	30	0	逃难文官
112	2127	2127	1	1	100	30	0	逃难武官
113	2128	2128	1	1	100	30	0	大宋禁军
114	2123	2123	1	1	100	30	0	吴家枪兵
