Level	Exp
1	500
2	550
3	550
4	600
5	650
6	700
7	800
8	850
9	900
10	1000
11	1100
12	1150
13	1200
14	1300
15	1350
16	1400
17	1550
18	1700
19	1750
20	2450
21	2450
22	2500
23	2550
24	2600
25	2700
26	2750
27	2850
28	2950
29	3250
30	3250
31	3300
32	3300
33	3400
34	3450
35	3600
36	3650
37	3800
38	3950
39	4300
40	8500
41	8600
42	8700
43	8900
44	9100
45	9500
46	9600
47	9900
48	10400
49	11300
50	11300
51	11500
52	11600
53	11800
54	12100
55	12600
56	12900
57	13200
58	13900
59	15100
60	23300
61	23500
62	23800
63	24300
64	24800
65	25900
66	26400
67	27200
68	28500
69	31100
70	32000
71	32300
72	32600
73	33000
74	33300
75	33600
76	34000
77	34300
78	35000
79	36300
80	77000
81	77800
82	78600
83	79400
84	80200
85	81000
86	82600
87	83400
88	84200
89	81800
90	83500
91	84300
92	85200
93	85200
94	85600
95	86500
96	86900
97	87400
98	87800
99	88200
100	165000
101	166700
102	168400
103	168400
104	169300
105	171000
106	171800
107	172700
108	173500
109	174400
110	175100
111	176000
112	176900
113	177800
114	178700
115	180400
116	181300
117	182200
118	183100
119	184000
