Talent	Value
40	15000
41	13750
42	17500
43	21250
44	25000
45	27500
46	30000
47	32500
48	35000
49	37500
50	40000
51	42500
52	45000
53	47500
54	50000
55	51000
56	52000
57	53000
58	54000
59	55000
60	100000
61	106250
62	112500
63	118750
64	125000
65	127500
66	130000
67	132500
68	135000
69	137500
70	240000
71	255000
72	270000
73	285000
74	300000
75	306000
76	312000
77	318000
78	324000
79	330000
80	480000
81	510000
82	540000
83	570000
84	600000
85	612000
86	624000
87	636000
88	648000
89	660000
90	1200000
91	1275000
92	1350000
93	1425000
94	1500000
95	1530000
96	1560000
97	1590000
98	1620000
99	1650000
