PartnerId	NPCId1	NPCId2	name
1	2025		劣质机关人
2	2204		义军叛徒
3	2203		强贼
4	2054		犯戒僧人
5	2055		犯戒头陀
6	2049		护陵刀兵
7	2221		挖土工匠
8	2222		砌石工匠
9	2050		护陵弓手
10	2051		参客
11	2052		带刀人
12	2053		雪山派除名弟子
13	2036		蓝面人
14	2035		红巾人
15	2207		金国细作
16	2208		拜师弟子
17	2215		强盗
18	2216		山林隐士
19	2044		驻守弓兵
20	2043		驻守枪兵
21	2213		紫槐林强贼
22	2042		苦修尼
23	2214		金国行商
24	2209		拐子
25	2210		蒙古大夫
26	2037		江湖刀客
27	2038		江湖剑客
28	2039		黑龙
29	2211		腾力士
30	2212		白灵
31	2219		南蛮刀客
32	2220		南蛮巫女
33	2047		南蛮猎手
34	2045		盐帮帮众
35	2046		神秘刺客
36	2217		大内随从
37	2218		行脚商人
38	2033		机关木人
39	2205		机关铜人
40	2206		铜角兽
41	2070		护陵枪兵
42	2072		冥府归客
43	2071		护陵弩手
44	2224		逃犯
45	2225		蒙面刺客
46	2232		螳螂拳师
47	2233		金国密探
48	2064		盐帮帮众
49	2065		雇佣武士
50	2063		游军枪兵
51	2231		游军刀兵
52	2230		唐家毒使
53	2062		唐家弩手
54	2059		霹雳锤
55	2226		云游侠客
56	2227		百花护法
57	2228		乌衣剑士
58	2229		竹林匪
59	2061		马帮武师
60	2060		马帮推手
61	2068		南夷勇士
62	2069		南夷祭司
63	2237		土著巫女
64	2067		捕快
65	2066		乔装密探
66	2234		过路旅客
67	2235		行脚商贩
68	2238		盗药人
69	2075		山南暴民
70	2076		山北盗匪
71	2239		逃跑的和尚
72	2093		建陵工匠
73	2252		金国校尉
74	2092		贪官家丁
75	2095		穴居男野人
76	2096		穴居小野人
77	2094		穴居女野人
78	2077		黑水刀客
79	2078		黑水剑士
80	2086		男影
81	2085		女影
82	2246		轻弩手
83	2247		重甲兵
84	2083		幽冥武士
85	2084		白骨剑客
86	2244		侍剑尊者
87	2245		凌波仙子
88	2079		石城劣兵
89	2080		电光矛
90	2240		小毛贼
91	2241		寻宝旅人
92	2242		带刀武士
93	2243		弄蛇人
94	2081		黄巾客
95	2082		白面客
96	2250		土山杀手
