Type	ValueOf2Skills	ValueOf3Skills	ValueOf4Skills	ValueOf5Skills	ValueOf6Skills	ValueOf7Skills	ValueOf8Skills	ValueOf9Skills	ValueOf10Skills
1	8000	50000	500000	0	0	0	0	0	0
2	10000	60000	800000	0	0	0	0	0	0
3	12000	80000	1000000	2500000	0	0	0	0	0
4	56000	120000	1200000	3000000	10000000	0	0	0	0
5	90000	180000	1800000	4800000	16000000	0	0	0	0
6	0	300000	2000000	5000000	25000000	0	0	0	0
7	0	750000	5000000	12500000	62500000	0	0	0	0
8	0	0	1200000	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0
10	56000	120000	1200000	3000000	10000000	0	0	0	0
11	56000	120000	1200000	3000000	10000000	0	0	0	0
12	56000	120000	1200000	3000000	10000000	0	0	0	0
13	56000	120000	1200000	3000000	10000000	0	0	0	0
14	0	0	1200000	0	0	0	0	0	0
15	0	0	0	0	10000000	0	0	0	0
16	56000	120000	1200000	3000000	10000000	0	0	0	0
17	56000	120000	1200000	3000000	10000000	160000000	0	0	0
