Type	Desc	LevelRequire	CalRate	RateOf2Skills	RateOf3Skills	RateOf4Skills	RateOf5Skills	RateOf6Skills	RateOf7Skills	RateOf8Skills	RateOf9Skills	RateOf10Skills	bichuSkill1Id	bichuSkill2Id	bichuSkill3Id	RandomSkillTemplateId
1	1µµ	100	0.3	89	10	1	0	0	0	0	0	0	0	0	0	1
2	2µµ	120	0.4	88	10	2	0	0	0	0	0	0	0	0	0	0
3	3µµ	140	0.5	86	10	3	1	0	0	0	0	0	0	0	0	0
4	4µµ	100	0.4	56	30	10	3	1	0	0	0	0	0	0	0	2
5	5µµ	110	0.6	56	30	10	3	1	0	0	0	0	0	0	0	0
6	6µµ	120	0.8	0	58	30	10	2	0	0	0	0	0	0	0	0
7	7µµ	140	1	0	58	30	10	2	0	0	0	0	0	0	0	0
8	4µµ´ÙÏú	100	0.4	0	0	100	0	0	0	0	0	0	0	0	0	8
9	8µµ	150	1	100	0	0	0	0	0	0	0	0	0	0	0	0
10	4µµ(ÐÂÄê»î¶¯)	100	0.4	0	0	0	0	100	0	0	0	0	0	0	0	2
11	4µµ(VIPÍ¬°é)	100	0.4	0	0	0	0	100	0	0	0	0	{1503,1504,1505,1506,1507}	{1517,1518,1519,1520,1521}	0	3
12	4µµ´ÙÏú(Ê¢´ó)	100	0.4	0	0	100	0	0	0	0	0	0	{1497,1498,1499,1500,1501}	{1517,1518,1519,1520,1521}	0	9
13	4µµ(¶ËÎç)	100	0.4	0	0	0	100	0	0	0	0	0	{1503,1504,1505,1506,1507}	{1517,1518,1519,1520,1521}	0	3
14	4µµ(¶ËÎç2)	100	0.4	0	0	100	0	0	0	0	0	0	{1503,1504,1505,1506,1507}	{1517,1518,1519,1520,1521}	0	3
15	4µµ	100	0.4	0	0	0	0	100	0	0	0	0	{1503,1504,1505,1506,1507}	{1517,1518,1519,1520,1521}	1511	10
16	4µµ(º®Îä»î¶¯)	100	0.4	0	0	100	0	0	0	0	0	0	{2213,2214,2215,2216,2217}	{1517,1518,1519,1520,1521}	0	11
17	8µµ(Äê¶ÈVIP)	100	0.8	0	0	0	0	0	100	0	0	0	0	0	0	12
