StarValue	StarLevel	NameColor	EmptyStar	FillStar
5000	1	green	145	146
150000	2	green	145	146
320000	3	green	145	146
500000	4	green	145	146
1000000	5	blue	145	146
1500000	6	blue	145	146
3150000	7	blue	145	146
4800000	8	blue	145	146
9600000	9	purple	147	148
14400000	10	purple	147	148
22200000	11	purple	149	150
30000000	12	purple	149	150
51000000	13	orange	151	152
72000000	14	orange	151	152
126000000	15	orange	153	154
180000000	16	orange	153	154
270000000	17	yellow	155	156
360000000	18	yellow	155	156
630000000	19	yellow	155	156
900000000	20	yellow	155	156
