nId	nType	szMsg	Item1	nCount1	nSeedCount1	Item2	nCount2	nSeedCount2	Item3	nCount3	nSeedCount3	Item4	nCount4	nSeedCount4	Item5	nCount5	nSeedCount5
索引	类型：1农作物，2果树，3鲜花	npc对话提示信息	果子	数量	种子数量	果子	数量	种子数量	果子	数量	种子数量	果子	数量	种子数量	果子	数量	种子数量
1	1	订单需求：84个成熟的玉米	18,1,1569,1	84	6												
2	1	订单需求：96个成熟的小麦	18,1,1571,1	96	6												
3	1	订单需求：108个成熟的马铃薯	18,1,1573,1	108	6												
4	1	订单需求：42个成熟的玉米，48个成熟的小麦	18,1,1569,1	42	3	18,1,1571,1	48	3									
5	1	订单需求：42个成熟的玉米，54个成熟的马铃薯	18,1,1569,1	42	3	18,1,1573,1	54	3									
6	1	订单需求：48个成熟的小麦，54个成熟的马铃薯	18,1,1571,1	48	3	18,1,1573,1	54	3									
7	1	订单需求：56个成熟的玉米，32个成熟的小麦	18,1,1569,1	56	4	18,1,1571,1	32	2									
8	1	订单需求：56个成熟的玉米，36个成熟的马铃薯	18,1,1569,1	56	4	18,1,1573,1	36	2									
9	1	订单需求：64个成熟的小麦，36个成熟的马铃薯	18,1,1571,1	64	4	18,1,1573,1	36	2									
10	1	订单需求：64个成熟的小麦，28个成熟的玉米	18,1,1571,1	64	4	18,1,1569,1	28	2									
11	1	订单需求：74个成熟的马铃薯，28个成熟的玉米	18,1,1573,1	74	4	18,1,1569,1	28	2									
12	1	订单需求：74个成熟的马铃薯，32个成熟的小麦	18,1,1573,1	74	4	18,1,1571,1	32	2									
13	1	订单需求：28个成熟的玉米,32个成熟的小麦，36个成熟的马铃薯	18,1,1569,1	28	2	18,1,1571,1	32	2	18,1,1573,1	36	2						
14	2	订单需求：84个成熟的苹果	18,1,1575,1	84	6												
15	2	订单需求：96个成熟的柿子	18,1,1577,1	96	6												
16	2	订单需求：108个成熟的山楂	18,1,1579,1	108	6												
17	2	订单需求：42个成熟的苹果，48个成熟的柿子	18,1,1575,1	42	3	18,1,1577,1	48	3									
18	2	订单需求：42个成熟的苹果，54个成熟的山楂	18,1,1575,1	42	3	18,1,1579,1	54	3									
19	2	订单需求：48个成熟的柿子，54个成熟的山楂	18,1,1577,1	48	3	18,1,1579,1	54	3									
20	2	订单需求：56个成熟的苹果，32个成熟的柿子	18,1,1575,1	56	4	18,1,1577,1	32	2									
21	2	订单需求：56个成熟的苹果，36个成熟的山楂	18,1,1575,1	56	4	18,1,1579,1	36	2									
22	2	订单需求：64个成熟的柿子，36个成熟的山楂	18,1,1577,1	64	4	18,1,1579,1	36	2									
23	2	订单需求：64个成熟的柿子，28个成熟的苹果	18,1,1577,1	64	4	18,1,1575,1	28	2									
24	2	订单需求：74个成熟的山楂，28个成熟的苹果	18,1,1579,1	74	4	18,1,1575,1	28	2									
25	2	订单需求：74个成熟的山楂，32个成熟的柿子	18,1,1579,1	74	4	18,1,1577,1	32	2									
26	2	订单需求：28个成熟的苹果,32个成熟的柿子，36个成熟的山楂	18,1,1575,1	28	2	18,1,1577,1	32	2	18,1,1579,1	36	2						
27	3	订单需求：84个成熟的杜鹃花	18,1,1581,1	84	6												
28	3	订单需求：96个成熟的天堂鸟	18,1,1583,1	96	6												
29	3	订单需求：108个成熟的山茶花	18,1,1585,1	108	6												
30	3	订单需求：42个成熟的杜鹃花，48个成熟的天堂鸟	18,1,1581,1	42	3	18,1,1583,1	48	3									
31	3	订单需求：42个成熟的杜鹃花，54个成熟的山茶花	18,1,1581,1	42	3	18,1,1585,1	54	3									
32	3	订单需求：48个成熟的天堂鸟，54个成熟的山茶花	18,1,1583,1	48	3	18,1,1585,1	54	3									
33	3	订单需求：56个成熟的杜鹃花，32个成熟的天堂鸟	18,1,1581,1	56	4	18,1,1583,1	32	2									
34	3	订单需求：56个成熟的杜鹃花，36个成熟的山茶花	18,1,1581,1	56	4	18,1,1585,1	36	2									
35	3	订单需求：64个成熟的天堂鸟，36个成熟的山茶花	18,1,1583,1	64	4	18,1,1585,1	36	2									
36	3	订单需求：64个成熟的天堂鸟，28个成熟的杜鹃花	18,1,1583,1	64	4	18,1,1581,1	28	2									
37	3	订单需求：74个成熟的山茶花，28个成熟的杜鹃花	18,1,1585,1	74	4	18,1,1581,1	28	2									
38	3	订单需求：74个成熟的山茶花，32个成熟的天堂鸟	18,1,1585,1	74	4	18,1,1583,1	32	2									
39	3	订单需求：28个成熟的杜鹃花,32个成熟的天堂鸟，36个成熟的山茶花	18,1,1581,1	28	2	18,1,1583,1	32	2	18,1,1585,1	36	2						
