NpcId	Rate	Item_G	Item_D	Item_P	Item_L	Name
3261	80000	22	1	35	1	ÏÉÁéÔ­Ä¾
3261	80000	22	1	37	1	ÁéÊÞÃ«Æ¤
3261	80000	22	1	39	1	ÁéÊÞÑª
3261	80000	22	1	41	1	×Ï¾§Ô­Ê¯
3261	80000	22	1	43	1	ÏÉÁé¹û
3261	270000	18	1	114	4	4¼¶Ðþ¾§(°ó¶¨)
3261	30000	18	1	114	5	5¼¶Ðþ¾§(°ó¶¨)
3261	150000	18	1	289	8	åÐÒ£¹È4¼¶ÁîÅÆ
3261	150000	18	1	314	1	¡¾ÌØÊâ¿¨¡¿±ä»Ã
3303	100000	22	1	35	1	ÏÉÁéÔ­Ä¾
3303	100000	22	1	37	1	ÁéÊÞÃ«Æ¤
3303	100000	22	1	39	1	ÁéÊÞÑª
3303	100000	22	1	41	1	×Ï¾§Ô­Ê¯
3303	100000	22	1	43	1	ÏÉÁé¹û
3303	100000	18	1	114	4	4¼¶Ðþ¾§(°ó¶¨)
3303	100000	18	1	114	5	5¼¶Ðþ¾§(°ó¶¨)
3303	150000	18	1	289	7	åÐÒ£¹È5¼¶ÁîÅÆ
3303	150000	18	1	314	1	¡¾ÌØÊâ¿¨¡¿±ä»Ã
3317	0	18	1	315	1	Ð°Áé
3318	0	18	1	316	1	Ê¥ºÛ
3321	0	18	1	317	1	±ùÁ«
3325	0	18	1	334	1	Ô¹Áé
3326	0	18	1	335	1	Ñ©¾§Ê¯
