ClassName	X	Y
25_shandingxueren_1	52000	85408
25_shandingxueren_1	52192	85408
25_shandingxueren_1	52192	85664
25_shandingxueren_1	52000	85632
25_shandingxueren_1	52096	85216
25_shandingxueren_1	52096	85792
25_shandingxueren_1	51904	85504
25_shandingxueren_1	51904	85280
25_shandingxueren_1	52288	85536
25_shandingxueren_1	52288	85760
25_shandingxueren_2	52128	83904
25_shandingxueren_2	52000	83904
25_shandingxueren_2	52064	84032
25_shandingxueren_2	52192	84032
25_shandingxueren_2	52192	84224
25_shandingxueren_2	52064	84224
25_shandingxueren_2	52128	84320
25_shandingxueren_2	52000	84160
25_shandingxueren_2	52256	84160
25_shandingxueren_2	52256	84352
25_shandingxueren_3	50976	83904
25_shandingxueren_3	51104	83904
25_shandingxueren_3	51040	83840
25_shandingxueren_3	50912	83840
25_shandingxueren_3	50976	83744
25_shandingxueren_3	50912	84000
25_shandingxueren_3	51040	84000
25_shandingxueren_3	51040	84160
25_shandingxueren_3	51104	84096
25_shandingxueren_3	50976	84224
25_shandingxueren_4	51360	84672
25_shandingxueren_4	51488	84640
25_shandingxueren_4	51488	84832
25_shandingxueren_4	51360	84832
25_shandingxueren_4	51424	84544
25_shandingxueren_4	51552	84736
25_shandingxueren_4	51424	84928
25_shandingxueren_4	51296	84736
25_shandingxueren_4	51552	84544
25_shandingxueren_4	51552	84928
25_xiaofei	50560	85664
25_gouhuo	51424	84800
25_liukuo	51584	84800
25_wanjiachushengdian	50656	85824
25_qinghua	50624	83520
25_qinghua	51520	83904
25_qinghua	52128	84864
25_qinghua	52352	83584
26_xueyuan	53056	85344
26_xueyuan	53216	85664
26_xueyuan	53184	85344
26_xueyuan	53024	85504
26_xueyuan	53088	85664
26_xueyuan	53504	85952
26_xueyuan	53248	85472
26_xueyuan	53504	86336
26_xueyuan	53408	86080
26_xueyuan	53408	86240
26_xueyuan	53600	86080
26_xueyuan	53600	86240
26_xueyuan	53888	85792
26_xueyuan	54112	85792
26_xueyuan	53952	85664
26_xueyuan	54048	85664
26_xueyuan	54048	85952
26_xueyuan	53952	85952
26_xueyuan	54432	85408
26_xueyuan	54464	85760
26_xueyuan	54528	85472
26_xueyuan	54528	85632
26_xueyuan	54368	85504
26_xueyuan	54368	85664
26_jiguanfushou_1	54176	84000
26_jiguanfushou_1	54304	83776
26_jiguanfushou_1	54304	84224
26_jiguanfushou_1	54432	84000
26_jiguanfushou_2	54272	82720
26_jiguanfushou_2	54432	82432
26_jiguanfushou_2	54432	82720
26_jiguanfushou_2	54272	82432
26_jiguanfushou_3	53568	83616
26_jiguanfushou_3	53440	83936
26_jiguanfushou_3	53568	83904
