ClassName	X	Y
102_kuibing_1	64352	122016
102_kuibing_1	64224	122432
102_kuibing_1	64224	122208
102_kuibing_1	64448	122112
102_kuibing_1	64288	122656
102_kuibing_1	64448	122624
102_kuibing_1	64352	122208
102_kuibing_1	64480	123520
102_kuibing_1	64512	122304
102_kuibing_1	64512	123680
102_kuibing_1	64576	123360
102_kuibing_1	64736	123424
102_kuibing_1	64832	123744
102_kuibing_1	64864	123552
102_kuibing_1	64736	123840
102_kuibing_1	64832	123328
102_kuibing_1	66272	121248
102_kuibing_1	66496	121216
102_kuibing_1	66528	121568
102_kuibing_1	66400	121216
102_kuibing_1	66240	121440
102_kuibing_1	66368	121664
102_kuibing_1	66528	122816
102_kuibing_1	66432	122976
102_kuibing_1	66624	121344
102_kuibing_1	66656	121600
102_kuibing_1	66656	122752
102_kuibing_1	66624	122528
102_kuibing_1	66848	122464
102_kuibing_1	66688	122304
102_kuibing_1	66816	122208
102_kuibing_1	66560	123200
102_kuibing_2	64384	122336
102_kuibing_2	64672	123584
102_kuibing_2	66432	121440
102_kuibing_2	66624	123008
102_gouhuo	66720	122528
103_liukou	61344	124256
103_liukou	61408	124576
103_liukou	61472	122496
103_liukou	61632	122496
103_liukou	61792	122336
103_liukou	61888	122112
103_liukou	61600	122752
103_liukou	61824	122592
103_liukou	61600	124480
103_liukou	61664	124032
103_liukou	61536	124256
103_liukou	61568	124704
103_liukou	61728	124352
103_liukou	61760	124736
103_liukou	61984	122400
103_liukou	62048	122176
103_liukou	62624	122688
103_liukou	62464	122752
103_liukou	62784	122752
103_liukou	62464	123008
103_liukou	62752	123104
103_liukou	62624	122880
103_liukou	62624	123136
103_liukou	62848	123040
103_liukou	62912	123776
103_liukou	62912	123968
103_liukou	62944	124192
103_liukou	63040	123648
103_liukou	63168	123872
103_liukou	63200	123680
103_liukou	63072	124256
103_liukou	63072	123936
103_liukou	63200	124128
103_liukoutouzi	61376	122016	
103_gouhuo	62208	123136
104_jieyuzhe_1	50816	105376
104_jieyuzhe_1	51072	105344
104_jieyuzhe_1	51072	105216
104_jieyuzhe_1	51168	105344
104_jieyuzhe_1	50784	105536
104_jieyuzhe_1	50816	105696
104_jieyuzhe_1	50880	105568
104_jieyuzhe_1	51008	105472
104_jieyuzhe_2	51680	106432
104_jieyuzhe_2	51552	106496
104_jieyuzhe_2	51616	106656
104_jieyuzhe_2	51968	106240
104_jieyuzhe_2	51968	106368
104_jieyuzhe_2	51808	106272
104_jieyuzhe_2	51872	106592
104_jieyuzhe_2	51744	106624
104_jieyuzhe_3	51648	104576
104_jieyuzhe_3	51616	104832
104_jieyuzhe_3	51904	104384
104_jieyuzhe_3	52032	104352
104_jieyuzhe_3	51712	104704
104_jieyuzhe_3	51776	104448
104_jieyuzhe_3	52000	104480
104_jieyuzhe_3	51936	104512
104_jieyuzhe_4	52640	105536
104_yueyuzhe_1	50944	105280
104_yueyuzhe_2	51840	106432
104_yueyuzhe_3	51872	104608
104_yueyuzhe_4	52544	105824
104_yueyuzhe_4	52768	105600
104_yueyuzhe_4	52960	105472
104_gouhuo	52704	105600
105_jiguan_1	51008	104800
105_jiguan_2	53472	101952
105_jiguanshou_1	51008	104608
105_jiguanshou_1	50816	104800
105_jiguanshou_1	51008	104992
105_jiguanshou_1	51200	104800
105_jiguanshou_2	53280	101952
105_jiguanshou_2	53472	101728
105_jiguanshou_2	53696	101984
105_jiguanshou_2	53504	102176
105_jiguanshou_3	51616	103776
105_jiguanshou_3	51808	103392
105_jiguanshou_3	51712	103680
105_jiguanshou_3	51904	103648
105_jiguanshou_3	52096	103712
105_jiguanshou_3	51968	103904
105_jiguanshou_3	52160	104032
105_jiguanshou_3	51840	103936
105_jiguanshou_3	52032	104128
105_jiguanshou_3	52480	103264
105_jiguanshou_3	52384	103136
105_jiguanshou_3	52256	103008
105_jiguanshou_3	52416	102944
105_jiguanshou_3	52544	103072
105_jiguanshou_3	52608	103232
105_jiguanshou_3	52608	102976
105_jiguanshou_3	52512	102848
105_jiguanshou_3	52320	103808
105_jiguanshou_3	52608	103424
105_jiguanshou_3	52768	103136
105_tianjidaotong	51424	102368	
105_gouhuo	51488	102432
106_malu	50560	83776
106_malu	50560	84000
106_malu	50720	83808
106_malu	50848	83456
106_malu	50816	83712
106_malu	51008	83840
106_malu	50976	83552
106_malu	50720	84096
106_malu	50688	85472
106_malu	50880	85344
106_malu	51072	85472
106_malu	50848	85728
106_malu	50880	85536
106_malu	51040	85248
106_malu	50880	85088
106_malu	51200	85408
106_malu	51648	85376
106_malu	51808	83808
106_malu	51904	83648
106_malu	52000	83840
106_malu	52192	83744
106_malu	51904	84032
106_malu	52192	84064
106_malu	51776	85344
106_malu	52000	85376
106_malu	52064	85056
106_malu	51968	85152
106_malu	51872	85568
106_malu	52128	85248
106_malu	51744	85536
106_malu	52352	83744
106_malu	52352	84064
106_yelang	51456	84608
106_yelang	51648	84384
106_yelang	51584	84832
106_yelang	51744	84672
106_gouhuo	51616	84640
107_xigua	54752	94688
107_xigua	54368	94944
107_xigua	54560	95104
107_xigua	54720	95360
107_xigua	54944	94464
107_xigua	55072	94816
107_xigua	55168	94496
107_xigua	54816	94976
107_yehou	53152	96800
107_yehou	53152	97056
107_yehou	53376	96160
107_yehou	53536	96064
107_yehou	53440	96384
107_yehou	53600	96288
107_yehou	53280	96736
107_yehou	53312	96960
107_yehou	53664	97280
107_yehou	53728	97504
107_yehou	53984	96160
107_yehou	54208	97056
107_yehou	54112	96416
107_yehou	53952	96544
107_yehou	53856	96320
107_yehou	53824	97216
107_yehou	53856	97472
107_yehou	54368	97152
107_yehou	54368	96960
107_yehou	54272	97312
107_yehouwang	54080	96864		
107_gouhuo	53920	96928
