ClassName	X	Y
38_chuangguzei_1	60640	108864
38_chuangguzei_2	61952	109760
38_chuangguzei_3	60736	107552
38_chuangguzei_3	60768	108192
38_chuangguzei_3	60576	107808
38_chuangguzei_3	60608	108096
38_chuangguzei_3	60800	107936
38_chuangguzei_3	60672	109312
38_chuangguzei_3	60448	109152
38_chuangguzei_3	60992	107712
38_chuangguzei_3	61024	108032
38_chuangguzei_3	62304	107840
38_chuangguzei_3	62144	108064
38_chuangguzei_3	62144	108384
38_chuangguzei_3	62304	108256
38_chuangguzei_3	62240	109344
38_chuangguzei_3	62304	108608
38_chuangguzei_3	62464	108096
38_chuangguzei_3	62464	108384
38_chuangguzei_3	62496	109216
38_chuangguzei_4	60736	107552
38_chuangguzei_4	60768	108192
38_chuangguzei_4	60576	107808
38_chuangguzei_4	60608	108096
38_chuangguzei_4	60800	107936
38_chuangguzei_4	60672	109312
38_chuangguzei_4	60448	109152
38_chuangguzei_4	60992	107712
38_chuangguzei_4	61024	108032
38_chuangguzei_4	62304	107840
38_chuangguzei_4	62144	108064
38_chuangguzei_4	62144	108384
38_chuangguzei_4	62304	108256
38_chuangguzei_4	62240	109344
38_chuangguzei_4	62304	108608
38_chuangguzei_4	62464	108096
38_chuangguzei_4	62464	108384
38_chuangguzei_4	62496	109216
38_chuangguzei_4	60480	109472
38_chuangguzeitouling_1	60640	108864
38_chuangguzeitouling_2	61952	109760
38_chuangguzeitouling_3	60480	109472
38_chuangguzeitouling_3	62400	109440
38_xiaobushi	62400	109440
38_cuixiaoou	62112	106464
38_gouhuo	62112	106464
38_wanjiachushengdian	62016	106496
38_baoxiang	60448	106112
38_baoxiang	61696	107456
38_baoxiang	61664	107808
38_baoxiang	61728	108128
38_baoxiang	61600	108352
38_baoxiang	60800	106464
38_qinghua	60320	106784
38_qinghua	60736	110496
38_qinghua	61280	107808
38_qinghua	61824	109664
38_qinghua	62720	107200
38_qinghua	62624	108928
39_chuangguzei_1	56448	108896
39_chuangguzei_1	55648	107392
39_chuangguzei_1	55680	106144
39_chuangguzei_3	55552	106272
39_chuangguzei_3	55552	106464
39_chuangguzei_3	55680	106592
39_chuangguzei_3	55552	107200
39_chuangguzei_3	55744	107200
39_chuangguzei_3	55488	107392
39_chuangguzei_3	55712	108128
39_chuangguzei_2	55712	108320
39_chuangguzei_3	55552	107584
39_chuangguzei_3	55744	107584
39_chuangguzei_3	55808	106272
39_chuangguzei_2	55808	106496
39_chuangguzei_3	55808	107392
39_chuangguzei_3	55840	107968
39_chuangguzei_3	55840	108480
39_chuangguzei_3	55968	108128
39_chuangguzei_3	55968	108320
39_chuangguzei_3	56448	108576
39_chuangguzei_3	56448	109184
39_chuangguzei_2	56320	108736
39_chuangguzei_3	56320	109024
39_chuangguzei_3	56576	108736
39_chuangguzei_3	56576	109024
39_chuangguzei_3	56896	109152
39_chuangguzei_3	57280	109152
39_chuangguzei_3	56992	108960
39_chuangguzei_3	57184	108960
39_chuangguzei_3	56992	109344
39_chuangguzei_3	57184	109376
39_chuangguzei_4	56640	106816
39_chuangguzei_4	56672	107104
39_chuangguzei_4	56864	107296
39_chuangguzei_4	57056	107200
39_chuangguzeitouling	56960	106912
39_zhuangyoubaowudedaizi	55680	106368
39_zhuangyoubaowudedaizi	55840	108224
39_zhuangyoubaowudedaizi	57088	109152
