RoomId	Level	Teams	Weight	WinExp	LostExp	WinRepute	LostRepute	Prestige	TollGatePoint
1	1	1	1000	18	9	1	1	0	0
2	1	1	1000	18	9	1	1	0	0
3	1	1	1000	18	9	1	1	0	0
4	1	1	1000	18	9	1	1	0	0
5	1	1	1000	18	9	1	1	0	0
6	1	1	1000	18	9	1	1	0	0
7	1	1	1000	18	9	1	1	0	0
8	1	1	1000	18	9	1	1	0	0
9	1	1	1000	18	9	1	1	0	0
10	1	1	1000	18	9	1	1	0	0
11	1	1	1000	18	9	1	1	0	0
12	1	1	1000	18	9	1	1	0	0
13	2	1	1000	18	9	2	2	1	0
14	2	1	1000	18	9	2	2	1	0
15	2	1	1000	18	9	2	2	1	0
16	2	1	1000	18	9	2	2	1	0
17	2	1	1000	18	9	2	2	1	0
18	2	1	1000	18	9	2	2	1	0
19	2	1	1000	18	9	2	2	1	0
20	2	1	1000	18	9	2	2	1	0
21	2	1	1000	18	9	2	2	1	0
22	2	1	1000	18	9	2	2	1	0
23	2	1	1000	18	9	2	2	1	0
24	2	1	1000	18	9	2	2	1	0
25	3	1	1000	27	14	3	3	2	0
26	3	1	1000	27	14	3	3	2	0
27	3	1	1000	27	14	3	3	2	0
28	3	1	1000	27	14	3	3	2	0
29	3	1	1000	27	14	3	3	2	0
30	3	1	1000	27	14	3	3	2	0
31	3	1	1000	27	14	3	3	2	0
32	3	1	1000	27	14	3	3	2	0
33	3	1	1000	27	14	3	3	2	0
34	3	1	1000	27	14	3	3	2	0
37	3	1	1000	27	14	3	3	2	0
38	4	1	1000	36	18	4	4	5	0
39	4	1	1000	36	18	4	4	5	0
40	4	1	1000	36	18	4	4	5	0
41	4	1	1000	36	18	4	4	5	0
42	4	1	1000	36	18	4	4	5	0
43	4	1	1000	36	18	4	4	5	0
44	4	1	1000	36	18	4	4	5	0
45	4	1	1000	36	18	4	4	5	0
46	4	1	1000	36	18	4	4	5	0
47	4	1	1000	36	18	4	4	5	0
50	4	1	1000	36	18	4	4	5	0
51	4	1	1000	36	18	4	4	5	0
52	5	1	1000	45	23	5	5	8	0
53	5	1	1000	45	23	5	5	8	0
54	5	1	1000	45	23	5	5	8	0
55	5	1	1000	45	23	5	5	8	0
56	5	1	1000	45	23	5	5	8	0
57	5	1	1000	45	23	5	5	8	0
58	5	1	1000	45	23	5	5	8	0
59	5	1	1000	45	23	5	5	8	0
60	5	1	1000	45	23	5	5	8	0
61	5	1	1000	45	23	5	5	8	0
64	5	1	1000	45	23	5	5	8	0
65	5	1	1000	45	23	5	5	8	0
66	4	1	1000	36	18	4	4	5	0
67	5	1	1000	45	23	5	5	8	0
70	5	1	1000	45	23	5	5	8	0
71	5	1	1000	45	23	5	5	8	0
72	5	1	1000	45	23	5	5	8	0
73	4	1	1000	45	23	5	5	8	0
75	3	1	1000	27	14	3	3	2	0
76	2	1	1000	18	9	2	2	1	0
77	3	1	1000	27	14	3	3	2	0
78	6	1	1000	54	27	6	6	12	6
79	6	1	1000	54	27	6	6	12	6
80	6	1	1000	54	27	6	6	12	6
81	6	1	1000	54	27	6	6	12	6
82	7	1	1000	63	32	7	7	15	8
83	6	1	1000	54	27	6	6	12	6
84	6	1	1000	54	27	6	6	12	6
85	7	1	1000	63	32	7	7	15	8
86	6	1	1000	54	27	6	6	12	6
87	7	1	1000	63	32	7	7	15	8
88	7	1	1000	63	32	7	7	15	8
89	8	1	1000	72	36	8	8	18	10
90	7	1	1000	63	32	7	7	15	8
91	7	1	1000	63	32	7	7	15	8
92	7	1	1000	63	32	7	7	15	8
93	8	1	1000	72	36	8	8	18	10
94	8	1	1000	72	36	8	8	18	10
95	8	1	1000	72	36	8	8	18	10
96	8	1	1000	72	36	8	8	18	10
97	8	1	1000	72	36	8	8	18	10
98	8	1	1000	72	36	8	8	18	10
99	6	1	1000	54	27	6	6	12	6
100	7	1	1000	63	32	7	7	15	8
101	8	1	1000	72	36	8	8	18	10
102	15	1	1000	18	9	1	1	0	0
103	15	1	1000	18	9	1	1	0	0
104	15	1	1000	18	9	1	1	0	0
105	15	1	1000	18	9	1	1	0	0
106	15	1	1000	18	9	1	1	0	0
107	15	1	1000	18	9	1	1	0	0
108	16	1	1000	18	9	1	1	0	0
109	16	1	1000	18	9	1	1	0	0
110	16	1	1000	18	9	1	1	0	0
111	16	1	1000	18	9	1	1	0	0
112	16	1	1000	18	9	1	1	0	0
113	16	1	1000	18	9	1	1	0	0
114	17	1	1000	18	9	1	1	0	0
115	17	1	1000	18	9	1	1	0	0
116	17	1	1000	18	9	1	1	0	0
117	17	1	1000	18	9	1	1	0	0
