ClassName	X	Y
stop1	52384	102144
stop1	52448	102176
stop1	52512	102240
stop1	52576	102272
guaiwu1	52544	100928
guaiwu1	52704	100928
guaiwu1	52640	101120
guaiwu1	53152	100320
guaiwu1	52864	101120
guaiwu1	53056	100928
guaiwu1	53088	101280
guaiwu1	52928	100544
guaiwu1	53184	100640
guaiwu1	52896	100800
guaiwu1	52768	100704
guaiwu1	52896	101440
guaiwu1	53216	101632
guaiwu1	53408	100288
guaiwu1	53280	101024
guaiwu1	53536	101248
guaiwu1	53440	100608
guaiwu1	53728	100544
guaiwu1	53536	100896
guaiwu1	53696	101088
guaiwu1	53312	100480
guaiwu1	53344	100800
guaiwu1	53312	101376
guaiwu1	53440	101952
guaiwu1	53472	101600
guaiwu1	53728	101824
guaiwu1	53792	100800
guaiwu1	53824	101184
guaiwu1	54112	100960
guaiwu1	53952	100992
guaiwu1	54208	101216
guaiwu1	53760	101568
guaiwu1	54016	101408
