ClassName	X	Y
85_gouhuo_lv7	51744	103520
86_bossA	51136	107616
86_bossB	51104	107424
86_bossC	51104	103808
86_bossD	52512	103712
86_xiaoguai1	52256	107424
86_xiaoguai1	52480	107584
86_xiaoguai1	52544	107712
86_xiaoguai1	52448	107712
86_xiaoguai1	52352	107584
86_xiaoguai1	52352	107872
86_xiaoguai1	52512	107968
86_xiaoguai1	52672	107616
86_xiaoguai2	50848	105056
86_xiaoguai2	50912	105184
86_xiaoguai2	51008	105056
86_xiaoguai2	51104	105216
86_xiaoguai2	50752	105376
86_xiaoguai2	50944	105440
86_xiaoguai2	50720	105184
86_xiaoguai2	50784	105632
86_penhuohua	52000	105984
86_penhuohua	52224	105216
86_penhuohua	52704	106368
86_penhuohua	52256	106176
86_penhuohua	52608	105472
86_penhuohua	52352	106720
86_duoduolianzhu	51680	105600
86_kaimenjiguan	51264	103328
86_dingshen1	52064	107808
86_dingshen2	51936	103712
86_gouhuo	52512	103712
87_yexuan	50080	102656
87_yejing	50496	103296
87_wanjiachuanrudian	50816	102400
87_gouhuo	50272	102976
88_baiqiulin1	51200	102080
88_baiqiulin2	52032	99936
88_gaosheng1	51200	101824
88_gaosheng2	51936	100032
88_cuijian1	51360	101984
88_cuijian2	52000	99872
88_heishanyaowang	52320	100192
88_anyingbaiqiulin	52256	99968
88_wanjiachuanrudian	51136	102304
88_gouhuo	52160	99840
86_shuijing1	51712	107328
86_shuijing1	51712	107520
86_shuijing1	51712	107680
86_shuijing1	51712	107840
86_shuijing1	51712	108032
86_shuijing2	52384	107104
86_shuijing2	52480	107104
86_shuijing2	52576	107104
86_shuijing2	52672	107104
86_shuijing3	50880	104256
86_shuijing3	50976	104288
86_shuijing3	51104	104288
86_shuijing3	51200	104288
86_shuijing4	51456	103360
86_shuijing4	51456	103488
86_shuijing4	51456	103680
86_shuijing4	51456	103872
86_shuijing4	51456	104032
