ClassName	X	Y
114_linchaoying	52160	102720
114_linchaoying2	52160	102720
114_wangchongyang	52288	102688
115_jianling	50432	101312
115_jianling	51968	99776
115_jianling	51968	102880
115_jianling	53504	101344
115_jianshen	51392	101920
115_jiguan	51104	101728
115_jiguan	51488	101216
115_jiguan	51328	101440
115_jiguan	51488	101632
115_jiguan	51296	101824
115_jiguan	51680	101888
115_jiguan	51488	102112
115_jiguan	51648	102368
115_jiguan	51968	101920
115_jiguan	51840	102112
116_yangwang	51232	102976
116_yangwang1	50880	102432
117_shenmiren	51904	103264
117_heiyiren	52192	104512
117_heiyiren	52256	104416
117_heiyiren	52320	104352
117_heiyiren	52704	104064
117_heiyiren	52608	104384
117_heiyiren	52672	104544
117_heiyiren	52416	104640
117_heiyiren	52320	104800
117_heiyiren	52416	104992
117_heiyiren	52800	104288
117_heiyiren	52896	104448
117_heiyiren	52768	104672
