Minute	Death0	Death1	Death2	Death3	Death4	Death5	Death6	Death7	Death8	Death9
0	0	100	200	300	400	500	600	700	800	900
1	10	30	50	70	90	110	130	150	170	190
2	10	30	50	70	90	110	130	150	170	190
3	10	30	50	70	90	110	130	150	170	190
4	10	30	50	70	90	110	130	150	170	190
5	10	30	50	70	90	110	130	150	170	190
6	10	30	50	70	90	110	130	150	170	190
7	10	30	50	70	90	110	130	150	170	190
8	10	30	50	70	90	110	130	150	170	190
9	10	30	50	70	90	110	130	150	170	190
10	15	35	55	75	95	115	135	155	175	195
11	15	35	55	75	95	115	135	155	175	195
12	15	35	55	75	95	115	135	155	175	195
13	15	35	55	75	95	115	135	155	175	195
14	15	35	55	75	95	115	135	155	175	195
15	15	35	55	75	95	115	135	155	175	195
16	15	35	55	75	95	115	135	155	175	195
17	15	35	55	75	95	115	135	155	175	195
18	15	35	55	75	95	115	135	155	175	195
19	15	35	55	75	95	115	135	155	175	195
20	20	40	60	80	100	120	140	160	180	200
21	20	40	60	80	100	120	140	160	180	200
22	20	40	60	80	100	120	140	160	180	200
23	20	40	60	80	100	120	140	160	180	200
24	20	40	60	80	100	120	140	160	180	200
25	20	40	60	80	100	120	140	160	180	200
26	20	40	60	80	100	120	140	160	180	200
27	20	40	60	80	100	120	140	160	180	200
28	20	40	60	80	100	120	140	160	180	200
29	20	40	60	80	100	120	140	160	180	200
30	25	45	65	85	105	125	145	165	185	205
31	25	45	65	85	105	125	145	165	185	205
32	25	45	65	85	105	125	145	165	185	205
33	25	45	65	85	105	125	145	165	185	205
34	25	45	65	85	105	125	145	165	185	205
35	25	45	65	85	105	125	145	165	185	205
36	25	45	65	85	105	125	145	165	185	205
37	25	45	65	85	105	125	145	165	185	205
38	25	45	65	85	105	125	145	165	185	205
39	25	45	65	85	105	125	145	165	185	205
40	30	50	70	90	110	130	150	170	190	210
41	30	50	70	90	110	130	150	170	190	210
42	30	50	70	90	110	130	150	170	190	210
43	30	50	70	90	110	130	150	170	190	210
44	30	50	70	90	110	130	150	170	190	210
45	30	50	70	90	110	130	150	170	190	210
46	30	50	70	90	110	130	150	170	190	210
47	30	50	70	90	110	130	150	170	190	210
48	30	50	70	90	110	130	150	170	190	210
49	30	50	70	90	110	130	150	170	190	210
50	35	55	75	95	115	135	155	175	195	215
51	35	55	75	95	115	135	155	175	195	215
52	35	55	75	95	115	135	155	175	195	215
53	35	55	75	95	115	135	155	175	195	215
54	35	55	75	95	115	135	155	175	195	215
55	35	55	75	95	115	135	155	175	195	215
56	35	55	75	95	115	135	155	175	195	215
57	35	55	75	95	115	135	155	175	195	215
58	35	55	75	95	115	135	155	175	195	215
59	35	55	75	95	115	135	155	175	195	215
60	40	60	80	100	120	140	160	180	200	220
61	40	60	80	100	120	140	160	180	200	220
62	40	60	80	100	120	140	160	180	200	220
63	40	60	80	100	120	140	160	180	200	220
64	40	60	80	100	120	140	160	180	200	220
65	40	60	80	100	120	140	160	180	200	220
66	40	60	80	100	120	140	160	180	200	220
67	40	60	80	100	120	140	160	180	200	220
68	40	60	80	100	120	140	160	180	200	220
69	40	60	80	100	120	140	160	180	200	220
70	45	65	85	105	125	145	165	185	205	225
71	50	70	90	110	130	150	170	190	210	230
72	55	75	95	115	135	155	175	195	215	235
73	60	80	100	120	140	160	180	200	220	240
74	65	85	105	125	145	165	185	205	225	245
75	70	90	110	130	150	170	190	210	230	250
76	75	95	115	135	155	175	195	215	235	255
77	80	100	120	140	160	180	200	220	240	260
78	85	105	125	145	165	185	205	225	245	265
79	90	110	130	150	170	190	210	230	250	270
80	90	110	130	150	170	190	210	230	250	270
81	90	110	130	150	170	190	210	230	250	270
82	90	110	130	150	170	190	210	230	250	270
83	90	110	130	150	170	190	210	230	250	270
84	90	110	130	150	170	190	210	230	250	270
85	90	110	130	150	170	190	210	230	250	270
86	90	110	130	150	170	190	210	230	250	270
87	90	110	130	150	170	190	210	230	250	270
88	90	110	130	150	170	190	210	230	250	270
89	90	110	130	150	170	190	210	230	250	270
90	90	110	130	150	170	190	210	230	250	270
