nTimes	nTemplateId	nMapId	nX	nY
1	3408	33	1744	3677
2	3409	33	1710	3526
2	3410	33	1859	3898
3	3411	33	1641	3499
3	3412	33	1992	3598
1	3408	34	1780	3709
2	3409	34	1917	3883
2	3410	34	1950	3365
3	3411	34	1839	3242
3	3412	34	1948	3649
1	3408	36	1717	3470
2	3409	36	1673	3419
2	3410	36	1958	3348
3	3411	36	1639	3766
3	3412	36	1741	3238
1	3408	37	1811	3657
2	3409	37	1648	3531
2	3410	37	1934	3635
3	3411	37	1738	3345
3	3412	37	1824	3897
1	3408	88	1807	3552
2	3409	88	1698	3271
2	3410	88	1879	3681
3	3411	88	1727	3789
3	3412	88	1793	3398
1	3408	89	1710	3485
2	3409	89	1552	3474
2	3410	89	1955	3607
3	3411	89	1901	3679
3	3412	89	1906	3237
1	3408	90	1764	3740
2	3409	90	1751	3341
2	3410	90	1770	3926
3	3411	90	1613	3640
3	3412	90	1945	3445
1	3408	92	1843	3417
2	3409	92	1833	3760
2	3410	92	1928	3227
3	3411	92	1691	3431
3	3412	92	2007	3638
1	3408	96	1806	3677
2	3409	96	1600	3604
2	3410	96	1951	3705
3	3411	96	1779	3314
3	3412	96	1850	3903
1	3408	99	1435	2931
2	3409	99	1260	2607
2	3410	99	1597	3097
3	3411	99	1392	2583
3	3412	99	1443	3142
1	3408	104	1764	3346
2	3409	104	1582	3494
2	3410	104	1907	3482
3	3411	104	1767	3704
3	3412	104	1902	3693
1	3408	106	1850	3571
2	3409	106	1755	3302
2	3410	106	1838	3804
3	3411	106	1676	3737
3	3412	106	1888	3352
1	3408	109	1738	3599
2	3409	109	1774	3757
2	3410	109	1803	3316
3	3411	109	1642	3390
3	3412	109	1891	3715
1	3408	111	1835	3597
2	3409	111	1633	3721
2	3410	111	1931	3457
3	3411	111	1777	3857
3	3412	111	1879	3258
1	3408	118	1675	3538
2	3409	118	1725	3969
2	3410	118	1830	3678
3	3411	118	1481	3662
3	3412	118	1770	3900
1	3408	120	1658	3481
2	3409	120	1612	3773
2	3410	120	1899	3411
3	3411	120	1631	3439
3	3412	120	1896	3703
1	3408	121	1665	3326
2	3409	121	1505	3084
2	3410	121	1768	3444
3	3411	121	1612	3536
3	3412	121	1819	3116
1	3408	126	1711	3467
2	3409	126	1561	3498
2	3410	126	1837	3581
3	3411	126	1687	3817
3	3412	126	1712	3258
1	3408	128	1730	3505
2	3409	128	1698	3695
2	3410	128	1908	3342
3	3411	128	1627	3165
3	3412	128	1905	3635
1	3408	134	1737	3500
2	3409	134	1748	3215
2	3410	134	1752	3773
3	3411	134	1609	3543
3	3412	134	1912	3379
1	3408	136	1702	3450
2	3409	136	1584	3318
2	3410	136	1878	3191
3	3411	136	1578	3234
3	3412	136	1863	3423
1	3408	137	1793	3608
2	3409	137	1700	3760
2	3410	137	1953	3371
3	3411	137	1772	3352
3	3412	137	1908	3862
