Name	G	D	P	L	bConsume	bAdd	DiffBindType
不绑1玄	18	1	1	1	1	1	0
不绑2玄	18	1	1	2	1	1	0
不绑3玄	18	1	1	3	1	1	0
不绑4玄	18	1	1	4	1	1	0
不绑5玄	18	1	1	5	1	1	0
不绑6玄	18	1	1	6	1	1	0
不绑7玄	18	1	1	7	1	1	0
不绑8玄	18	1	1	8	1	1	0
不绑9玄	18	1	1	9	1	1	0
不绑10玄	18	1	1	10	1	1	0
不绑11玄	18	1	1	11	1	1	0
不绑12玄	18	1	1	12	1	1	0
绑定1玄	18	1	114	1	1	1	0
绑定2玄	18	1	114	2	1	1	0
绑定3玄	18	1	114	3	1	1	0
绑定4玄	18	1	114	4	1	1	0
绑定5玄	18	1	114	5	1	1	0
绑定6玄	18	1	114	6	1	1	0
绑定7玄	18	1	114	7	1	1	0
绑定8玄	18	1	114	8	1	1	0
绑定9玄	18	1	114	9	1	1	0
绑定10玄	18	1	114	10	1	1	0
绑定11玄	18	1	114	11	1	1	0
绑定12玄	18	1	114	12	1	1	0
仙灵原木	22	1	35	1	1	1	0
灵兽毛皮	22	1	37	1	1	1	0
灵兽血	22	1	39	1	1	1	0
紫晶原石	22	1	41	1	1	1	0
仙灵果	22	1	43	1	1	1	0
血影枪	18	1	200	1	1	1	0
灵兽战靴	18	1	201	1	1	1	0
遁甲灵符	18	1	202	1	1	1	0
紫晶幻佩	18	1	203	1	1	1	0
七彩仙丹	18	1	204	1	1	1	0
战虎毛皮	22	1	47	1	1	1	0
空白黄纸	22	1	49	1	1	1	0
镇魄原石	22	1	51	1	1	1	0
黄梅果	22	1	53	1	1	1	0
玄铁原木	22	1	55	1	1	1	0
百步穿杨弓（50倍）	18	1	376	1	1	1	0
百步穿杨弓	18	1	263	1	1	1	0
刑天战袍	18	1	264	1	1	1	0
行军符咒	18	1	265	1	1	1	0
游子护身符	18	1	266	1	1	1	0
千里止渴丹	18	1	267	1	1	1	0
夜明珠碎片	22	1	73	1	1	1	0
长明灯部件	22	1	75	1	1	1	0
搬山印碎片	22	1	77	1	1	1	0
摸金符碎片	22	1	79	1	1	1	0
和氏玉	22	1	81	1	1	1	0
皇陵－夜明珠	18	1	357	1	1	1	0
皇陵－长明灯	18	1	360	1	1	1	0
皇陵－搬山印	18	1	363	1	1	1	0
皇陵－摸金符	18	1	366	1	1	1	0
皇陵－和氏璧	18	1	377	1	1	1	0
秦陵·摸金符(50倍)	18	1	375	1	1	1	0
武林联赛黑铁令牌	18	1	215	1	1	1	0
武林联赛青铜令牌	18	1	215	2	1	1	0
武林联赛白银令牌	18	1	215	3	1	1	0
武林联赛黄金令牌	18	1	215	4	1	1	0
初级武林高手令（金）	18	1	219	1	1	1	0
中级武林高手令（金）	18	1	220	2	1	1	0
高级武林高手令（金）	18	1	221	3	1	1	0
初级武林高手令（木）	18	1	222	1	1	1	0
中级武林高手令（木）	18	1	223	2	1	1	0
高级武林高手令（木）	18	1	224	3	1	1	0
初级武林高手令（水）	18	1	225	1	1	1	0
中级武林高手令（水）	18	1	226	2	1	1	0
高级武林高手令（水）	18	1	227	3	1	1	0
初级武林高手令（火）	18	1	228	1	1	1	0
中级武林高手令（火）	18	1	229	2	1	1	0
高级武林高手令（火）	18	1	230	3	1	1	0
初级武林高手令（土）	18	1	231	1	1	1	0
中级武林高手令（土）	18	1	232	2	1	1	0
高级武林高手令（土）	18	1	233	3	1	1	0
民族大团圆－广寒月桂花	18	1	462	1	1	1	0
民族大团圆－玉如意	18	1	475	1	1	1	0
同伴经验书	18	1	543	1	1	1	0
同伴经验书（同伴任务奖励）	18	1	546	1	1	1	0
同伴初级秘籍	18	1	554	1	1	1	0
同伴中级秘籍	18	1	554	2	1	1	0
同伴高级秘籍	18	1	554	3	1	1	0
同伴普通洗髓经	18	1	562	1	1	1	0
同伴特别洗髓经	18	1	563	1	1	1	0
菩提果	18	1	564	1	1	1	0
白银智慧精华（1级）	18	1	565	1	1	1	0
黄金智慧精华（2级）	18	1	565	2	1	1	0
白金智慧精华（3级）	18	1	565	3	1	1	0
无上智慧精华（4级）	18	1	565	4	1	1	0
同伴的推荐信	18	1	566	1	1	1	0
五行魂石	18	1	205	1	1	1	0
月影原石	22	1	91	2	1	1	0
月影之石	18	1	476	1	1	1	0
