NpcId	MapId	MapX	MapY	Type
6616	27	1564	3188	4
6617	27	1618	3206	4
6617	27	1634	3225	4
6619	27	1634	3279	4
6619	27	1652	3299	4
6619	27	1721	3272	4
6619	27	1729	3265	4
6620	27	1497	3127	4
6620	27	1507	3109	4
6621	27	1562	3190	4
6622	27	1611	3246	4
6625	27	1508	3378	4
6625	27	1517	3389	4
6625	27	1603	3238	4
6625	27	1622	3257	4
6625	27	1619	3378	4
6625	27	1626	3386	4
6626	27	1606	3217	4
6626	27	1624	3236	4
6626	27	1709	3323	4
6626	27	1714	3318	4
6628	23	1542	2977	4
6628	23	1589	3091	4
6629	23	1540	2977	4
6629	23	1544	2978	4
6629	23	1592	3093	4
6630	23	1542	2973	4
6630	23	1586	3089	4
6631	23	1542	2981	4
6631	23	1564	3180	4
6631	23	1559	3175	4
6631	23	1573	3247	4
6631	23	1576	3250	4
6631	23	1579	3253	4
6631	23	1582	3256	4
6631	23	1588	3095	4
6632	23	1592	3088	4
6632	23	1612	3001	4
6632	23	1618	3007	4
6617	23	1564	3091	4
6617	23	1589	3086	4
6633	23	1567	3088	4
6634	23	1565	3095	4
6635	23	1561	3090	4
6616	23	1577	3238	4
6617	23	1499	3193	4
6617	23	1508	3201	4
6617	23	1525	3065	4
6617	23	1531	3071	4
6618	23	1468	2999	4
6618	23	1461	3008	4
6618	23	1619	3113	4
6618	23	1628	3123	4
6618	23	1637	2895	4
6618	23	1635	2906	4
6618	23	1643	3030	4
6619	23	1585	2982	4
6620	23	1595	2991	4
6621	23	1579	3239	4
6622	23	1502	3045	4
6622	23	1582	3072	4
6622	23	1569	3121	4
6624	23	1404	3268	4
6624	23	1404	3282	4
6624	23	1413	3262	4
6624	23	1420	3258	4
6624	23	1423	3306	4
6624	23	1430	3301	4
6624	23	1454	3133	4
6624	23	1451	3136	4
6624	23	1459	3235	4
6624	23	1466	3241	4
6624	23	1473	3115	4
6624	23	1477	3111	4
6624	23	1496	3092	4
6624	23	1500	3088	4
6624	23	1504	3084	4
6624	23	1514	3207	4
6624	23	1518	3211	4
6624	23	1522	3215	4
6624	23	1527	3220	4
6624	23	1560	3097	4
6624	23	1574	3113	4
6627	28	1716	3323	4
6627	28	1735	3342	4
6627	28	1746	3352	4
6627	28	1758	3358	4
6627	28	1766	3350	4
6627	28	1774	3342	4
6628	28	1522	3269	4
6632	28	1708	3352	4
6632	28	1721	3328	4
6632	28	1721	3365	4
6632	28	1739	3345	4
6632	28	1736	3380	4
6632	28	1750	3356	4
6632	28	1746	3390	4
6632	28	1762	3354	4
6632	28	1770	3346	4
6632	28	1765	3392	4
6632	28	1783	3374	4
6632	28	1800	3357	4
6632	28	1805	3352	4
6616	28	1419	3277	4
6617	28	1518	3275	4
6617	28	1517	3270	4
6617	28	1518	3265	4
6617	28	1522	3262	4
6617	28	1522	3278	4
6617	28	1525	3274	4
6617	28	1526	3269	4
6617	28	1525	3265	4
6619	28	1544	3229	4
6619	28	1548	3233	4
6619	28	1541	3291	4
6619	28	1548	3284	4
6619	28	1536	3296	4
6619	28	1552	3237	4
6619	28	1557	3242	4
6620	28	1464	3293	4
6620	28	1471	3301	4
6620	28	1498	3353	4
6620	28	1489	3363	4
6621	28	1421	3275	4
6622	28	1407	3399	4
6622	28	1496	3281	4
6624	28	1739	3266	4
6624	28	1755	3282	4
6624	28	1744	3271	4
6624	28	1749	3276	4
6624	28	1784	3310	4
6624	28	1789	3315	4
6624	28	1796	3322	4
6624	28	1800	3326	4
6625	28	1619	3418	4
6625	28	1628	3409	4
6627	24	1917	3366	4
6630	24	1918	3362	4
6632	24	1920	3367	4
6634	24	1920	3364	4
6616	24	1713	3356	4
6617	24	1533	3259	4
6617	24	1535	3277	4
6617	24	1587	3260	4
6617	24	1599	3272	4
6617	24	1770	3488	4
6617	24	1790	3555	4
6617	24	1808	3508	4
6617	24	1919	3373	4
6617	24	1925	3365	4
6618	24	1631	3697	4
6618	24	1644	3707	4
6618	24	1702	3609	4
6618	24	1713	3623	4
6618	24	1751	3506	4
6618	24	1790	3491	4
6618	24	1804	3675	4
6618	24	1792	3687	4
6618	24	1809	3536	4
6618	24	1815	3665	4
6618	24	1918	3370	4
6618	24	1922	3360	4
6618	24	1923	3367	4
6621	24	1711	3358	4
6622	24	1549	3457	4
6622	24	1748	3554	4
6622	24	1817	3487	4
6625	24	1642	3366	4
6625	24	1650	3374	4
6625	24	1660	3384	4
6625	24	1673	3397	4
6625	24	1712	3437	4
6625	24	1914	3483	4
6625	24	1922	3491	4
6625	24	1943	3512	4
6625	24	1958	3527	4
6626	24	1663	3656	4
6626	24	1675	3669	4
6626	24	1761	3497	4
6626	24	1798	3499	4
6626	24	1799	3545	4
6626	24	1992	3231	4
6626	24	1993	3250	4
6626	24	2009	3318	4
6626	24	2004	3303	4
6616	29	1627	3795	4
6617	29	1471	3760	4
6617	29	1464	3767	4
6617	29	1483	3758	4
6617	29	1484	3790	4
6617	29	1494	3779	4
6617	29	1615	3929	4
6617	29	1620	3834	4
6617	29	1627	3918	4
6617	29	1706	4001	4
6617	29	1720	4015	4
6618	29	1478	3754	4
6618	29	1474	3792	4
6618	29	1483	3960	4
6618	29	1494	3770	4
6618	29	1489	3797	4
6618	29	1500	3785	4
6618	29	1498	3946	4
6618	29	1532	3894	4
6618	29	1544	3830	4
6618	29	1550	3836	4
6618	29	1540	3886	4
6618	29	1557	3843	4
6618	29	1563	3849	4
6618	29	1568	3855	4
6618	29	1597	3857	4
6618	29	1607	3848	4
6618	29	1631	3823	4
6618	29	1623	3831	4
6618	29	1619	3941	4
6618	29	1637	3921	4
6618	29	1637	3959	4
6618	29	1656	3941	4
6618	29	1708	4003	4
6618	29	1717	4012	4
6619	29	1617	3991	4
6620	29	1606	3981	4
6620	29	1662	3953	4
6620	29	1650	3964	4
6621	29	1629	3793	4
6622	29	1478	3774	4
6622	29	1478	4134	4
6622	29	1579	3873	4
6624	29	1473	3980	4
6624	29	1483	3989	4
6624	29	1541	3826	4
6624	29	1547	3832	4
6624	29	1566	3851	4
6624	29	1560	3845	4
6624	29	1554	3840	4
6624	29	1571	3857	4
6625	29	1467	4119	4
6625	29	1472	4124	4
6625	29	1490	4140	4
6625	29	1495	4145	4
6625	29	1565	4030	4
6625	29	1571	4036	4
6625	29	1776	4114	4
6625	29	1780	4109	4
6625	29	1802	4086	4
6625	29	1797	4091	4
6626	29	1477	3742	4
6626	29	1478	3817	4
6626	29	1515	3781	4
6616	25	1541	3019	4
6618	25	1775	2991	4
6618	25	1785	2989	4
6621	25	1544	3016	4
6622	25	1635	3153	4
6622	25	1751	3047	4
6624	25	1470	3282	4
6624	25	1468	3301	4
6624	25	1482	3283	4
6624	25	1481	3300	4
6625	25	1509	2997	4
6625	25	1518	3006	4
6625	25	1507	3090	4
6625	25	1515	3098	4
6625	25	1510	3236	4
6625	25	1535	3023	4
6625	25	1535	3212	4
6625	25	1550	3197	4
6625	25	1691	3235	4
6625	25	1715	3259	4
6626	25	1623	3151	4
6626	25	1640	3132	4
6626	25	1640	3169	4
6626	25	1657	3151	4
6617	25	1612	3143	4
6617	25	1645	3177	4
6617	25	1669	3152	4
6617	25	1639	3121	4
6618	25	1628	3131	4
6618	25	1653	3164	4
6626	25	1750	3311	4
6626	25	1762	3306	4
6616	26	1609	3043	4
6618	26	1546	3228	4
6618	26	1541	3234	4
6618	26	1587	3185	4
6618	26	1601	3200	4
6618	26	1662	3067	4
6618	26	1672	3062	4
6618	26	1664	3092	4
6618	26	1676	3092	4
6618	26	1668	3383	4
6618	26	1674	3376	4
6620	26	1513	3263	4
6620	26	1518	3258	4
6621	26	1611	3043	4
6624	26	1491	3284	4
6624	26	1497	3290	4
6625	26	1446	3329	4
6625	26	1454	3342	4
6625	26	1479	3271	4
6625	26	1484	3276	4
6625	26	1494	3171	4
6625	26	1501	3178	4
6625	26	1509	3302	4
6625	26	1524	3317	4
6625	26	1578	3193	4
6625	26	1593	3178	4
6625	26	1593	3208	4
6625	26	1608	3193	4
6625	26	1641	3128	4
6625	26	1635	3134	4
6625	26	1644	3143	4
6625	26	1649	3138	4
6626	26	1465	3326	4
6626	26	1457	3317	4
6648	8	1643	3274	3
6648	8	1728	3374	3
6649	8	1726	3378	3
6650	8	1730	3377	3
6651	8	1731	3372	3
6652	8	1621	3184	3
6652	8	1628	3178	3
6652	8	1728	3370	3
6637	8	1725	3374	3
6636	8	1613	3381	3
6637	8	1639	3261	3
6637	8	1647	3267	3
6637	8	1685	3355	3
6637	8	1694	3345	3
6638	8	1613	3167	3
6638	8	1618	3161	3
6638	8	1640	3198	3
6638	8	1633	3207	3
6638	8	1645	3259	3
6638	8	1638	3269	3
6638	8	1711	3379	3
6638	8	1722	3368	3
6639	8	1628	3309	3
6639	8	1631	3306	3
6639	8	1634	3303	3
6639	8	1637	3300	3
6639	8	1640	3297	3
6639	8	1678	3445	3
6639	8	1686	3437	3
6640	8	1551	3326	3
6640	8	1558	3318	3
6640	8	1708	3277	3
6640	8	1722	3293	3
6640	8	1726	3288	3
6640	8	1713	3272	3
6640	8	1727	3403	3
6640	8	1738	3393	3
6641	8	1611	3379	3
6642	8	1689	3379	3
6646	8	1694	3369	3
6646	8	1704	3379	3
6647	4	1755	3156	3
6648	4	1646	3369	3
6648	4	1652	3375	3
6648	4	1658	3382	3
6648	4	1664	3389	3
6648	4	1761	3176	3
6649	4	1652	3357	3
6649	4	1657	3363	3
6649	4	1662	3369	3
6649	4	1668	3375	3
6650	4	1770	3168	3
6652	4	1746	3164	3
6636	4	1585	3079	3
6637	4	1607	3232	3
6637	4	1630	3254	3
6638	4	1599	3210	3
6638	4	1595	3254	3
6638	4	1610	3205	3
6638	4	1619	3241	3
6638	4	1616	3277	3
6638	4	1626	3329	3
6638	4	1633	3321	3
6638	4	1702	3055	3
6638	4	1711	3068	3
6638	4	1710	3267	3
6639	4	1647	3220	3
6640	4	1643	3215	3
6641	4	1587	3078	3
6642	4	1610	3252	3
6645	4	1539	3345	3
6645	4	1550	3358	3
6646	4	1600	3244	3
6646	4	1622	3268	3
6636	5	1602	2905	3
6637	5	1625	2974	3
6637	5	1628	2978	3
6638	5	1592	3108	3
6638	5	1604	3121	3
6638	5	1632	3097	3
6638	5	1640	3105	3
6639	5	1473	3087	3
6639	5	1481	3075	3
6639	5	1545	2991	3
6639	5	1554	2979	3
6640	5	1564	3044	3
6640	5	1678	3103	3
6640	5	1686	3114	3
6640	5	1712	3062	3
6640	5	1721	3075	3
6640	5	1714	3135	3
6640	5	1723	3125	3
6641	5	1600	2905	3
6642	5	1547	3229	3
6642	5	1595	3112	3
6642	5	1568	3044	3
6646	5	1517	3205	3
6646	5	1527	3216	3
6646	5	1613	3162	3
6646	5	1636	2934	3
6651	2	1674	3459	3
6651	2	1685	3442	3
6651	2	1690	3476	3
6651	2	1700	3460	3
6652	2	1750	3621	3
6652	2	1757	3629	3
6636	2	1765	3658	3
6637	2	1757	3559	3
6637	2	1781	3586	3
6638	2	1738	3588	3
6638	2	1750	3566	3
6638	2	1767	3548	3
6638	2	1774	3593	3
6638	2	1782	3551	3
6638	2	1789	3578	3
6638	2	1921	3532	3
6638	2	1922	3543	3
6639	2	1673	3431	3
6639	2	1666	3449	3
6639	2	1690	3447	3
6639	2	1681	3468	3
6639	2	1828	3377	3
6639	2	1837	3494	3
6639	2	1844	3488	3
6640	2	1672	3377	3
6640	2	1679	3370	3
6640	2	1725	3592	3
6640	2	1730	3588	3
6640	2	1821	3368	3
6641	2	1763	3660	3
6642	2	1767	3610	3
6646	2	1724	3664	3
6646	2	1734	3674	3
6646	2	1774	3544	3
6646	2	1797	3568	3
6647	7	1531	3287	3
6647	7	1569	3381	3
6648	7	1527	3286	3
6648	7	1565	3378	3
6649	7	1531	3293	3
6650	7	1529	3289	3
6650	7	1568	3377	3
6651	7	1527	3291	3
6652	7	1567	3380	3
6652	7	1570	3379	3
6636	7	1427	3401	3
6637	7	1527	3253	3
6637	7	1532	3247	3
6637	7	1546	3274	3
6637	7	1551	3269	3
6637	7	1566	3383	3
6638	7	1525	3267	3
6638	7	1529	3274	3
6638	7	1546	3249	3
6638	7	1551	3255	3
6638	7	1693	3326	3
6638	7	1703	3332	3
6639	7	1589	3448	3
6639	7	1594	3444	3
6640	7	1503	3161	3
6640	7	1491	3172	3
6640	7	1634	3378	3
6640	7	1639	3373	3
6641	7	1429	3399	3
6645	7	1398	3313	3
6645	7	1404	3326	3
6645	7	1448	3235	3
6645	7	1454	3242	3
6645	7	1463	3437	3
6645	7	1469	3448	3
6645	7	1472	3198	3
6645	7	1477	3203	3
6646	7	1519	3259	3
6646	7	1537	3241	3
6646	7	1539	3282	3
6646	7	1557	3262	3
6648	6	1486	3155	3
6649	6	1488	3151	3
6649	6	1647	3053	3
6649	6	1651	3059	3
6649	6	1683	3013	3
6649	6	1688	3019	3
6650	6	1488	3157	3
6651	6	1483	3156	3
6652	6	1472	3279	3
6652	6	1478	3274	3
6652	6	1559	3102	3
6652	6	1596	3088	3
6652	6	1615	3128	3
6636	6	1482	3263	3
6637	6	1560	3127	3
6637	6	1575	3086	3
6637	6	1598	3143	3
6637	6	1613	3100	3
6638	6	1485	3152	3
6638	6	1485	3159	3
6638	6	1537	3153	3
6638	6	1544	3161	3
6638	6	1557	3114	3
6638	6	1587	3084	3
6638	6	1585	3146	3
6638	6	1615	3113	3
6638	6	1634	3115	3
6638	6	1639	3120	3
6639	6	1557	3147	3
6639	6	1588	3130	3
6639	6	1602	3115	3
6640	6	1421	3054	3
6640	6	1428	3042	3
6640	6	1431	3064	3
6640	6	1437	3050	3
6640	6	1435	3118	3
6640	6	1451	3062	3
6640	6	1441	3074	3
6640	6	1452	3086	3
6640	6	1441	3111	3
6640	6	1461	3074	3
6640	6	1550	3137	3
6640	6	1566	2971	3
6640	6	1580	2971	3
6640	6	1575	2961	3
6640	6	1570	2981	3
6640	6	1571	3116	3
6640	6	1585	3099	3
6641	6	1480	3267	3
6648	3	1604	3175	3
