PosX	PosY
1598	3082
1598	3136
1593	3187
1591	3204
1614	3071
1600	3102
1608	3089
1600	3116
1610	3144
1608	3190
1621	3053
1631	3041
1618	3040
1620	3156
1625	3181
1617	3211
1639	3053
1649	3066
1658	3074
1650	3108
1649	3130
1661	3118
1663	3108
1667	3054
1673	3088
1668	3099
1671	3114
1676	3108
1669	3140
1677	3166
1677	3186
1666	3184
1667	3200
1691	3053
1693	3101
1683	3075
1681	3200
1705	3059
1704	3096
1709	3129
1696	3134
1715	3066
1721	3091
1720	3080
1722	3119
1716	3146
1723	3162
1721	3179
1729	3189
1734	3179
