PosX	PosY
1487	3260
1483	3370
1494	3260
1499	3244
1500	3371
1492	3379
1497	3392
1506	3224
1515	3224
1519	3212
1511	3343
1519	3333
1508	3382
1526	3196
1535	3191
1521	3313
1532	3316
1527	3305
1545	3200
1551	3227
1540	3239
1544	3287
1545	3273
1538	3302
1554	3212
1557	3236
1567	3245
1561	3255
1553	3265
1582	3195
1573	3200
1580	3204
1577	3255
1568	3261
1574	3274
1594	3265
1587	3281
1594	3343
1599	3348
1604	3223
1610	3222
1601	3260
1608	3232
1604	3277
1610	3287
1614	3318
1607	3333
1602	3342
1618	3307
1625	3307
