PosX	PosY
1461	3293
1474	3276
1475	3306
1488	3287
1511	3254
1532	3143
1527	3252
1529	3271
1538	3131
1547	3140
1538	3148
1541	3238
1560	3102
1566	3113
1565	3215
1552	3226
1573	3084
1570	3096
1583	3160
1579	3200
1584	3093
1594	3104
1598	3115
1595	3141
1599	3189
1587	3178
1608	3062
1602	3072
1618	3049
1617	3122
1622	3135
1629	3257
1631	3270
1634	3065
1632	3098
1637	3086
1634	3146
1637	3185
1633	3246
1641	3274
1663	3050
1659	3091
1651	3168
1662	3173
1651	3239
1651	3257
1649	3270
1670	3058
1673	3186
1690	3202
