PosX	PosY
1629	3249
1634	3185
1639	3201
1642	3262
1663	3115
1655	3131
1653	3147
1655	3228
1663	3241
1676	3105
1677	3120
1669	3132
1677	3260
1694	3046
1693	3064
1685	3069
1688	3111
1687	3273
1708	3047
1701	3056
1709	3060
1711	3132
1696	3284
1708	3295
1715	3161
1719	3300
1735	3132
1742	3144
1733	3299
1755	3130
1754	3289
1744	3297
1772	3178
1773	3260
1764	3272
1783	3166
1780	3137
1790	3155
1787	3189
1788	3255
1801	3250
1822	3184
1817	3229
1808	3241
1822	3249
1829	3191
1829	3234
1833	3252
1883	3197
1874	3204
