nId	Tital	Up	Down
1	万象更新	和顺一门有百福	平安二字值千金
2	喜迎新春	一年四季春常在	万紫千红永开花
3	欢度春节	春满人间百花吐艳	福临小院四季常安
4	吉星高照	一帆风顺年年好	万事如意步步高
5	国泰民安	百年天地回元气	一统山河际太平
6	春意盎然	春雨丝丝润万物	红梅点点绣千山
7	辞旧迎春	一干二净除旧习	五讲四美树新风
8	吉祥如意	一帆风顺吉星到	万事如意福临门
9	家和万事兴	一年四季行好运	八方财宝进家门
10	春回大地	绿竹别其三分景	红梅正报万家春
11	鸟语花香	日出江花红胜火	春来江水绿如蓝
12	五福四海	春满人间欢歌阵阵	福临门第喜气洋洋
13	万事如意	大顺大财大吉利	新春新喜新世纪
14	四季兴隆	事事如意大吉祥	家家顺心永安康
15	山河壮丽	春色明媚山河披锦绣	华夏腾飞祖国万年轻
16	辞旧迎新	旧岁又添几个喜	新年更上一层楼
17	春风化雨	东风化雨山山翠	政策归心处处春
18	人心欢畅	家过小康欢乐日	春回大地艳阳天
19	形势喜人	多劳多得人人乐	丰产丰收岁岁甜
20	迎春接福	财连亨通步步高	日子红火腾腾起
21	春色满园	大地歌唤彩云	满园春关不住
22	欢度佳节	盛世千家乐	新春百家兴
23	年年有余	千年迎新春	瑞雪兆丰年
24	合家欢乐	欢声笑语贺新春	欢聚一堂迎新年
25	福如东海	共享锦绣年华	相伴健康天使
26	四季平安	天地和顺家添财	平安如意人多福
27	福喜盈门	春归大地人间暖	福降神州喜临门
28	大展宏图	创大业千秋昌盛	展宏图再就辉煌
29	民泰国安	民安国泰逢盛世	风调雨顺颂华年
30	家庭幸福	欢天喜地度佳节	张灯结彩迎新春
31	五福临门	万事如意展宏图	心想事成兴伟业
32	财源广进	财源滚滚随春到	喜气洋洋伴福来
33	春满人间	汗马绝尘安外振中标青史	锦羊开泰富民清政展新篇
34	喜笑颜开	佳节迎春春生笑脸	丰收报喜喜上眉梢
35	共度佳节	悠悠乾坤共老	昭昭日月争光
