ItemConditionType	Genre	DetailType	ParticularType	Level	Descrption
1	-1	-1	-1	-1	全部
2	1	1	-1	-1	武器
2	1	2	-1	-1	武器
2	2	1	-1	-1	武器
2	2	2	-1	-1	武器
3	1	9	-1	-1	头盔
3	2	9	-1	-1	头盔
3	4	9	-1	-1	头盔
4	1	5	-1	-1	项链
4	2	5	-1	-1	项链
4	4	5	-1	-1	项链
5	1	3	-1	-1	衣服
5	2	3	-1	-1	衣服
5	4	3	-1	-1	衣服
6	1	4	-1	-1	戒指
6	2	4	-1	-1	戒指
6	4	4	-1	-1	戒指
7	1	8	-1	-1	腰带
7	2	8	-1	-1	腰带
7	4	8	-1	-1	腰带
8	1	11	-1	-1	腰坠
8	2	11	-1	-1	腰坠
8	4	11	-1	-1	腰坠
9	1	10	-1	-1	护腕
9	2	10	-1	-1	护腕
9	4	10	-1	-1	护腕
10	1	6	-1	-1	护身符
10	2	6	-1	-1	护身符
10	4	6	-1	-1	护身符
11	1	7	-1	-1	 鞋子
11	2	7	-1	-1	 鞋子
11	4	7	-1	-1	 鞋子
12	21	-1	-1	-1	其它物品
12	17	-1	-1	-1	其它物品
12	18	-1	-1	-1	其它物品
12	19	-1	-1	-1	其它物品
12	22	-1	-1	-1	其它物品
12	20	-1	-1	-1	其它物品
13	18	1	1	-1	玄晶宝石
14	18	1	17	-1	各式令牌
14	18	1	79	-1	各式令牌
14	18	1	81	-1	各式令牌
14	18	1	84	-1	各式令牌
14	18	1	87	-1	各式令牌
14	18	1	88	-1	各式令牌
14	18	1	110	-1	各式令牌
14	18	1	111	-1	各式令牌
14	18	1	112	-1	各式令牌
14	18	1	179	-1	各式令牌
14	18	1	190	-1	各式令牌
14	18	1	215	-1	各式令牌
14	18	1	236	-1	各式令牌
14	18	1	253	-1	各式令牌
14	18	1	289	-1	各式令牌
15	22	1	-1	-1	材料
16	21	-1	-1	-1	背包
17	24	-1	-1	-1	宝石原石
