NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme		Dir
Bùi Viễn	0	3501	3	5	30	1	20	20	20	20	20	1		57472	106240		1				8
Tịch Huyễn	0	3507	3	5	30	1	20	20	20	20	20	1		56896	105984		1				56
Đường Tế Dân	0	3513	3	5	30	1	20	20	20	20	20	1		56928	106432		1				56
Biên Nhất Xuân	0	3519	3	5	30	1	20	20	20	20	20	1		57632	106400		1				8
Huyền Tịnh	0	3525	3	5	30	1	20	20	20	20	20	1		57440	106976		1				24
Tô Nhã	0	3531	3	5	30	1	20	20	20	20	20	1		57152	106976		1				40
La Tuấn	0	3537	3	5	30	1	20	20	20	20	20	1		57280	106080		1				
Tạ Phi Kinh	0	3543	3	5	30	1	20	20	20	20	20	1		56960	106784		1				40
Minh Tuệ	0	3549	3	5	30	1	20	20	20	20	20	1		57696	106048		1				8
Quy Kinh Tinh	0	3555	3	5	30	1	20	20	20	20	20	1		57344	105824		1				8
Du Tự Ngữ	0	11015	3	5	30	1	20	20	20	20	20	1		57120	106240		1				
Điềm Tửu Thúc	0	3561	3	5	60	1	20	20	20	20	20	1		59840	111744		1				
Thẩm Hà Diệp	0	3562	3	5	60	1	20	20	20	20	20	1		59328	112416		1				
Hách Phiêu Tịnh	0	3563	3	5	60	1	20	20	20	20	20	1		58624	111328		1				
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		61216	111328		1				
Bất Động Tiên Sinh	0	3565	3	5	60	1	20	20	20	20	20	1		60000	112448		1				
Đại Lão Bạch	0	3566	3	5	60	1	20	20	20	20	20	1		59840	110752		1				
Long Ngũ Thái Gia	0	3571	3	5	150	1	20	20	20	20	20	1		57440	111712		1				
Dã Luyện Đại Sư	0	3574	3	5	60	1	20	20	20	20	20	3		59712	112736		1		2		
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	3		59296	110048		1				
Đoàn Tu Tịnh	0	3480	3	5	30	1	20	20	20	20	20	1		57824	106592		1				16
Đồng Lăng	0	3474	3	5	30	1	20	20	20	20	20	1		57664	106752		1				24
Tử Thư Thanh	0	10152	3	5	1	1	20	20	20	20	20	1		54016	102720		1				
Lã quản gia	0	10153	3	5	60	1	20	20	20	20	20	1		61472	108256		1				
Đào hát	0	10154	3	5	60	1	20	20	20	20	20	1		60960	108864		1				
Người Thần Bí	0	10155	3	5	150	1	20	20	20	20	20	1		55104	109344		1				8
Cành đào	0	10156	3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\taoxizhen\npc\taohuazhi.txt	1				
Cây đào	0	10157	0	5	5	1	20	20	20	20	20	1				\setting\map\map_info\taoxizhen\npc\taoshu.txt	1				
Huấn luyện người giả	0	10158	0	5	5	1	20	20	20	20	20	1		52512	102624	\setting\map\map_info\taoxizhen\npc\xunlianjiaren.txt	1				
Đào hát khiêu vũ	0	10159	3	5	60	1	20	20	20	20	20	1					1				
Long Nhị	0	10160	3	5	60	1	20	20	20	20	20	1		51232	100608		1				
Kẻ mờ ám	0	10161	0	5	10	1	20	20	20	20	20	1				\setting\map\map_info\taoxizhen\npc\guisuiguanzhong.txt	1				
Bia đá Đào Khê Trấn	0	10162	3	5	60	1	20	20	20	20	20	1		56640	109536		1				
Công Nhân Bến Đò	0	10163	3	5	60	1	20	20	20	20	20	1		56864	113920		1				
Thủy Tặc Tuần Sứ	0	10164	0	5	15	1	20	20	20	20	20	1				\setting\map\map_info\taoxizhen\npc\shuizeixunshi.txt	1				
Thủy Tặc Bang Chúng	0	10173	3	5	15	1	20	20	20	20	20	1		50656	115840		1				
Hũ rượu Tây Bắc Vọng	0	10166	3	5	1	1	20	20	20	20	20	1		49984	116704		1				
Hũ rượu Nữ Nhi Hồng	0	10167	3	5	1	1	20	20	20	20	20	1		50144	116384		1				
Hũ rượu Đạo Hương Thôn	0	10168	3	5	1	1	20	20	20	20	20	1		50336	116704		1				
Lễ vật bị cướp	0	10169	3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\taoxizhen\npc\beijieheli.txt	1				
Hươu hung dữ	0	10174	0	5	10	1	20	20	20	20	20	1				\setting\map\map_info\taoxizhen\npc\baozaodelu.txt	1				
Lã Hộ Viện	0	10181	3	5	60	1	20	20	20	20	20	1		57280	106528		1				
Hươu	0	10255	0	5	5	1	20	20	20	20	20	1				\setting\map\map_info\taoxizhen\npc\lu.txt	1				
Hứa Sĩ Vĩ	0	3583	3	5	140	1	20	20	20	20	20	1		52992	105536		1				56
Thủy Tặc Tiêu Binh	0	10165	0	5	15	1	20	20	20	20	20	1				\setting\map\map_info\taoxizhen\npc\shuizeishaobin.txt	1				
Hứa Sĩ Vĩ	0	10246	3	5	140	1	20	20	20	20	20	1		62144	111360		1				
Thuyền Phu	0	10247	3	5	60	1	20	20	20	20	20	1		62816	111328		1				
Tử Thư Thanh	0	10248	3	5	60	1	20	20	20	20	20	1		53568	118784		1				
Cổ Phong Hà	0	3601	3	5	60	1	20	20	20	20	20	1		54624	102208		1				
6104	0	6104	5	5	1	1	20	20	20	20	20	1		60864	108192						
6104	0	6104	5	5	1	1	20	20	20	20	20	1		60896	108256						
6104	0	6104	5	5	1	1	20	20	20	20	20	1		60928	108192						
6105	0	6105	5	5	1	1	20	20	20	20	20	1		60800	108256						
6105	0	6105	5	5	1	1	20	20	20	20	20	1		60736	108352						
6056	0	6056	5	5	1	1	20	20	20	20	20	1		60672	108384						
6056	0	6056	5	5	1	1	20	20	20	20	20	1		60704	108480						
6056	0	6056	5	5	1	1	20	20	20	20	20	1		60640	108544						
