Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	1	3	428200		3级玄晶
		18	1	1	4	100000		4级玄晶
		18	1	1	5	50000		5级玄晶
		18	1	1	6	10000		6级玄晶
		18	1	1	7	1000		7级玄晶
		18	1	1	8	100		8级玄晶
		2	1	757	6	375		锤天狼牙锤（6级橙装PvsP）
		2	1	397	6	6370		锤天狼牙锤（6级紫装PvsP）
		2	1	756	5	750		锤天霹雳锤（5级橙装PvsP）
		2	1	396	5	12745		锤天霹雳锤（5级紫装PvsP）
		2	1	767	6	175		刀毒烈焰刀（6级橙装PvsP）
		2	1	407	6	3190		刀毒烈焰刀（6级紫装PvsP）
		2	1	766	5	375		刀毒月牙刀（5级橙装PvsP）
		2	1	406	5	6370		刀毒月牙刀（5级紫装PvsP）
500						300000		金钱500
5000						50000		金钱5000
		2	1	747	6	375		枪天豹尾枪（6级橙装PvsP）
		2	1	387	6	6370		枪天豹尾枪（6级紫装PvsP）
		2	1	746	5	750		枪天金钩枪（5级橙装PvsP）
		2	1	386	5	12745		枪天金钩枪（5级紫装PvsP）
		2	1	776	5	375		掌毒穿云缠手（5级橙装PvsP）
		2	1	416	5	6370		掌毒穿云缠手（5级紫装PvsP）
		2	1	777	6	175		掌毒含光缠手（6级橙装PvsP）
		2	1	417	6	3190		掌毒含光缠手（6级紫装PvsP）
