Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	1	3	433700		3级玄晶
		18	1	1	4	100000		4级玄晶
		18	1	1	5	50000		5级玄晶
		18	1	1	6	10000		6级玄晶
		18	1	1	7	1000		7级玄晶
		18	1	1	8	100		8级玄晶
		2	1	787	6	300		刀翠烈焰刀（6级橙装PvsP）
		2	1	427	6	4300		刀翠烈焰刀（6级紫装PvsP）
		2	1	786	5	600		刀翠月牙刀（5级橙装PvsP）
		2	1	426	5	8600		刀翠月牙刀（5级紫装PvsP）
		2	1	816	5	600		剑翠龙泉剑（5级橙装PvsP）
		2	1	456	5	8600		剑翠龙泉剑（5级紫装PvsP）
		2	1	817	6	300		剑翠万仞剑（6级橙装PvsP）
		2	1	457	6	4300		剑翠万仞剑（6级紫装PvsP）
500						300000		金钱500
5000						50000		金钱5000
		2	1	806	5	600		气段穿云缠手（5级橙装PvsP）
		2	1	446	5	8600		气段穿云缠手（5级紫装PvsP）
		2	1	807	6	300		气段含光缠手（6级橙装PvsP）
		2	1	447	6	4300		气段含光缠手（6级紫装PvsP）
		2	1	796	5	600		指段穿云缠手（5级橙装PvsP）
		2	1	436	5	8600		指段穿云缠手（5级紫装PvsP）
		2	1	797	6	300		指段含光缠手（6级橙装PvsP）
		2	1	437	6	4300		指段含光缠手（6级紫装PvsP）
