Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	1	3	440600		3级玄晶
		18	1	1	4	100000		4级玄晶
		18	1	1	5	50000		5级玄晶
		18	1	1	6	10000		6级玄晶
		18	1	1	7	1000		7级玄晶
		18	1	1	8	100		8级玄晶
		2	2	85	5	600		飞刀唐定军刀（5级橙装PvsP）
		2	2	45	5	8600		飞刀唐定军刀（5级紫装PvsP）
		2	2	86	6	300		飞刀唐狼吻刀（6级橙装PvsP）
		2	2	46	6	4300		飞刀唐狼吻刀（6级紫装PvsP）
500						300000		金钱500
5000						50000		金钱5000
		2	2	96	6	300		袖箭唐点唇箭（6级橙装PvsP）
		2	2	56	6	4300		袖箭唐点唇箭（6级紫装PvsP）
		2	2	95	5	600		袖箭唐连珠箭（5级橙装PvsP）
		2	2	55	5	8600		袖箭唐连珠箭（5级紫装PvsP）
		2	1	806	5	900		掌峨穿云缠手（5级橙装PvsP）
		2	1	446	5	12900		掌峨穿云缠手（5级紫装PvsP）
		2	1	807	6	450		掌峨含光缠手（6级橙装PvsP）
		2	1	447	6	6450		掌峨含光缠手（6级紫装PvsP）
