BATTLE_LEVEL	RULE_TYPE	NPC_RANK	NPC_LEVEL	NPC_NUM_1	NPC_NUM_2	SONGNPC_ID	JINNPC_ID		备注				
3	1	1	70	0	0	2509	2515		襄阳战场_杀戮模式_士兵				2
3	1	3	75	0	0	2510	2516		襄阳战场_杀戮模式_校尉				2
3	1	5	75	0	0	2511	2517		襄阳战场_杀戮模式_统领				2
3	1	7	75	0	0	2512	2518		襄阳战场_杀戮模式_副将				2
3	1	9	80	0	0	2513	2519		襄阳战场_杀戮模式_大将				2
3	1	10	80	0	0	2514	2520		襄阳战场_杀戮模式_元帅				2
1	2	1	70	45	22	2509	2515		扬州战场_元帅护卫模式_士兵				2
1	2	3	75	15	7	2510	2516		扬州战场_元帅护卫模式_校尉				2
1	2	5	75	10	5	2511	2517		扬州战场_元帅护卫模式_统领				2
1	2	7	75	10	5	2512	2518		扬州战场_元帅护卫模式_副将				2
1	2	9	80	5	5	2513	2519		扬州战场_元帅护卫模式_大将				2
1	2	10	80	1	1	2514	2520		扬州战场_元帅护卫模式_元帅				2
2	2	1	95	45	22	2509	2515		凤翔战场_元帅护卫模式_士兵				2
2	2	3	100	15	7	2510	2516		凤翔战场_元帅护卫模式_校尉				2
2	2	5	100	10	5	2511	2517		凤翔战场_元帅护卫模式_统领				2
2	2	7	100	10	5	2512	2518		凤翔战场_元帅护卫模式_副将				2
2	2	9	115	5	5	2513	2519		凤翔战场_元帅护卫模式_大将				2
2	2	10	115	1	1	2514	2520		凤翔战场_元帅护卫模式_元帅				2
3	2	1	120	45	22	2509	2515		襄阳战场_元帅护卫模式_士兵				2
3	2	3	125	15	7	2510	2516		襄阳战场_元帅护卫模式_校尉				2
3	2	5	125	10	5	2511	2517		襄阳战场_元帅护卫模式_统领				2
3	2	7	125	10	5	2512	2518		襄阳战场_元帅护卫模式_副将				2
3	2	9	130	5	5	2513	2519		襄阳战场_元帅护卫模式_大将				2
3	2	10	130	1	1	2514	2520		襄阳战场_元帅护卫模式_元帅				2
2	3	1	95	45	22	2509	2515		凤翔战场_护旗模式_士兵				2
2	3	3	100	15	7	2510	2516		凤翔战场_护旗模式_校尉				2
2	3	5	100	10	5	2511	2517		凤翔战场_护旗模式_统领				2
2	3	7	100	10	5	2512	2518		凤翔战场_护旗模式_副将				2
2	3	9	115	0	0	2513	2519		凤翔战场_护旗模式_大将				2
2	3	10	115	0	0	2514	2520		凤翔战场_护旗模式_元帅				2
3	3	1	120	45	22	2509	2515		襄阳战场_护旗模式_士兵				2
3	3	3	125	15	7	2510	2516		襄阳战场_护旗模式_校尉				2
3	3	5	125	10	5	2511	2517		襄阳战场_护旗模式_统领				2
3	3	7	125	10	5	2512	2518		襄阳战场_护旗模式_副将				2
3	3	9	130	0	0	2513	2519		襄阳战场_护旗模式_大将				2
3	3	10	130	0	0	2514	2520		襄阳战场_护旗模式_元帅				2
2	5	1	120	45	22	2509	2515		凤翔战场_大侠护卫模式_士兵				2
2	5	3	125	15	7	2510	2516		凤翔战场_大侠护卫模式_校尉				2
2	5	5	125	10	5	2511	2517		凤翔战场_大侠护卫模式_统领				2
2	5	7	125	10	5	2512	2518		凤翔战场_大侠护卫模式_副将				2
2	5	9	130	5	5	7034	7036		凤翔战场_大侠护卫模式_大将				2
2	5	10	130	1	1	7035	7037		凤翔战场_大侠护卫模式_元帅				2
2	6	1	95	0	0	2509	2515		凤翔战场_保护龙柱模式_士兵				2
2	6	3	100	0	0	2510	2516		凤翔战场_保护龙柱模式_校尉				2
2	6	5	100	0	0	2511	2517		凤翔战场_保护龙柱模式_统领				2
2	6	7	100	0	0	2512	2518		凤翔战场_保护龙柱模式_副将				2
2	6	9	115	0	0	2513	2519		凤翔战场_保护龙柱模式_大将				2
2	6	10	115	0	0	2514	2520		凤翔战场_保护龙柱模式_元帅				2
3	6	1	120	0	0	2509	2515		襄阳战场_保护龙柱模式_士兵				2
3	6	3	125	0	0	2510	2516		襄阳战场_保护龙柱模式_校尉				2
3	6	5	125	0	0	2511	2517		襄阳战场_保护龙柱模式_统领				2
3	6	7	125	0	0	2512	2518		襄阳战场_保护龙柱模式_副将				2
3	6	9	130	0	0	2513	2519		襄阳战场_保护龙柱模式_大将				2
3	6	10	130	0	0	2514	2520		襄阳战场_保护龙柱模式_元帅				2
