HonorLevel	Desc	Value	Probability	Name	BindMoney	Money	Coin	Genre	DetailType	ParticularType	Level	Series	EnhTimes	Amount	Exp	BaseExp	MKP	GTP	Bind	TimeLimit	Announce	FriendMsg
荣誉等级	随机宝箱	价值量	概率	开出东西	绑定银两	银两	绑定金币	大类	子类	详细类	等级	五行	强化	数量	经验	基准经验	精力	活力	绑定	有效期（格式同ItemTimeOut格式）	世界公告	好友公告
5	御空	2500	7000	6级玄晶				18	1	114	6								1			
5	御空	8500	2500	7级玄晶				18	1	114	7								1			
5	御空	30000	500	8级玄晶				18	1	114	8								1			
6	混天	2500	7000	6级玄晶				18	1	114	6								1			
6	混天	8500	2500	7级玄晶				18	1	114	7								1			
6	混天	30000	500	8级玄晶				18	1	114	8								1			
7	雏凤	2500	6000	6级玄晶				18	1	114	6								1			
7	雏凤	8500	3000	7级玄晶				18	1	114	7								1			
7	雏凤	30000	1000	8级玄晶				18	1	114	8								1			
8	潜龙	2500	5000	6级玄晶				18	1	114	6								1			
8	潜龙	8500	3000	7级玄晶				18	1	114	7								1			
8	潜龙	30000	2000	8级玄晶				18	1	114	8								1			
9	至尊	2500	3000	6级玄晶				18	1	114	6								1			
9	至尊	8500	3500	7级玄晶				18	1	114	7								1			
9	至尊	30000	3500	8级玄晶				18	1	114	8								1			
10	无双	2500	3000	6级玄晶				18	1	114	6								1			
10	无双	8500	3000	7级玄晶				18	1	114	7								1			
10	无双	30000	4000	8级玄晶				18	1	114	8								1			
11	战神	2500	3000	6级玄晶				18	1	114	6								1			
11	战神	8500	3000	7级玄晶				18	1	114	7								1			
11	战神	30000	4000	8级玄晶				18	1	114	8								1			
